ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
12385,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR30669,GL0001957,2021-01-02,,B-001,Land Bank of the Philippines,9886.80,0
12387,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR30669,GL0001958,2021-01-02,,B-001,Land Bank of the Philippines,2214.45,0
12388,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,PR30669,GL0001958,2021-01-02,,B-001,Land Bank of the Philippines,0,-2214.45
12386,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,PR30669,GL0001957,2021-01-02,,B-001,Land Bank of the Philippines,0,-9886.80
12389,ASCT-LT000045,JJJ Key Services,Payment,Cash in Bank (Peso),PR30670,GL0001978,2021-01-04,,B-001,Land Bank of the Philippines,6420.00,0
12391,ASCT-LT000045,JJJ Key Services,Payment,Cash in Bank (Peso),PR30670,GL0001979,2021-01-04,,B-001,Land Bank of the Philippines,2818.55,0
12392,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR30670,GL0001979,2021-01-04,,B-001,Land Bank of the Philippines,0,-2818.55
12390,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR30670,GL0001978,2021-01-04,,B-001,Land Bank of the Philippines,0,-6420.00
12397,ASCT-LT000043,K and K Cellshop and Services,Payment,Cash in Bank (Peso),PR30672,GL0001914,2021-01-05,,B-001,Land Bank of the Philippines,14248.50,0
12399,ASCT-LT000043,K and K Cellshop and Services,Payment,Cash in Bank (Peso),PR30672,GL0001974,2021-01-05,,B-001,Land Bank of the Philippines,9651.50,0
12393,ASCT-LT000055,PCSO Lotto,Payment,Cash in Bank (Peso),PR30671,GL0001985,2021-01-05,,B-001,Land Bank of the Philippines,6420.00,0
12395,ASCT-LT000055,PCSO Lotto,Payment,Cash in Bank (Peso),PR30671,GL0001986,2021-01-05,,B-001,Land Bank of the Philippines,2693.10,0
