ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
8185,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Cash in Bank (Peso),PRCHK#030446 / OR#030446,GL0001064,2020-01-02,,B-001,Land Bank of the Philippines,16050.00,0
8187,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Cash in Bank (Peso),PRCHK#030446 / OR#030446,GL0001065,2020-01-02,,B-001,Land Bank of the Philippines,2264.50,0
7525,ASCT-LT000017,BUKO FACTORY,Payment,Cash in Bank (Peso),PR030393,GL0001168,2020-01-03,,B-001,Land Bank of the Philippines,14124.00,0
7527,ASCT-LT000017,BUKO FACTORY,Payment,Cash in Bank (Peso),PR030393,GL0001169,2020-01-03,,B-001,Land Bank of the Philippines,1150.00,0
7529,ASCT-LT000036,M Lhuillier,Payment,Cash in Bank (Peso),PR030394,GL0001145,2020-01-06,,B-001,Land Bank of the Philippines,23540.00,0
7668,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),PRCHK# 1929350 / OR#030436,GL0001166,2020-01-06,,B-001,Land Bank of the Philippines,14124.00,0
7533,ASCT-LT000043,K and K Cellshop and Services,Payment,Cash in Bank (Peso),PR030395,GL0001153,2020-01-06,,B-001,Land Bank of the Philippines,12840.00,0
7670,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),PRCHK# 1929350 / OR#030436,GL0001167,2020-01-06,,B-001,Land Bank of the Philippines,7111.50,0
7531,ASCT-LT000036,M Lhuillier,Payment,Cash in Bank (Peso),PR030394,GL0001146,2020-01-06,,B-001,Land Bank of the Philippines,3515.90,0
7535,ASCT-LT000043,K and K Cellshop and Services,Payment,Cash in Bank (Peso),PR030395,GL0001154,2020-01-06,,B-001,Land Bank of the Philippines,3339.50,0
7644,ASCT-LT000046,Potato Corner,Payment,Cash in Bank (Peso),PRCHK#200000817 / OR#030434,GL0001147,2020-01-07,,B-001,Land Bank of the Philippines,16050.00,0
7553,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR030400,GL0001181,2020-01-07,,B-001,Land Bank of the Philippines,14124.00,0
7541,ASCT-LT000045,JJJ Key Services,Payment,Cash in Bank (Peso),PR030397,GL0001149,2020-01-07,,B-001,Land Bank of the Philippines,12840.00,0
7549,ASCT-LT000063,Sams Food and Beverage Kiosk,Payment,Cash in Bank (Peso),PR030399,GL0001126,2020-01-07,,B-001,Land Bank of the Philippines,12840.00,0
7557,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,Cash in Bank (Peso),PR030451,GL0001141,2020-01-07,,B-001,Land Bank of the Philippines,12840.00,0
7559,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,Cash in Bank (Peso),PR030451,GL0001142,2020-01-07,,B-001,Land Bank of the Philippines,12797.10,0
7648,ASCT-LT000009,Save N Earn,Payment,Cash in Bank (Peso),PRCHK#1501493 / OR#030435,GL0001179,2020-01-07,,B-001,Land Bank of the Philippines,11770.00,0
7537,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR030396,GL0001183,2020-01-07,,B-001,Land Bank of the Philippines,11770.00,0
