ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
1913,ASCT-LT000035,Lugaw ni Bossing,Payment,Rent Receivables,PR030037,GL0000300,2019-01-03,,B-001,Land Bank of the Philippines,0,-5564.00
2561,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PRPBI#974/JV#02-692,GL0000311,2019-01-03,,,,0,-38448.66
2565,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PRPBI#974/JV#02-692,GL0000354,2019-01-03,,,,0,-144182.50
1923,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR030039,GL0000275,2019-01-07,,B-001,Land Bank of the Philippines,0,-10700.00
1919,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,PR030038,GL0000279,2019-01-07,,B-001,Land Bank of the Philippines,0,-12840.00
1983,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PRCHECK1550843,GL0000270,2019-01-08,,B-001,Land Bank of the Philippines,0,-10700.00
1931,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,PR030041,GL0000283,2019-01-08,,B-001,Land Bank of the Philippines,0,-12840.00
1927,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,PR030040,GL0000277,2019-01-08,,B-001,Land Bank of the Philippines,0,-12840.00
1935,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR030042,GL0000298,2019-01-08,,B-001,Land Bank of the Philippines,0,-21400.00
1957,ASCT-LT000010,VIRGINIA FOODS,Payment,Rent Receivables,PR030112,GL0000302,2019-01-09,,B-001,Land Bank of the Philippines,0,-10443.34
1953,ASCT-LT000009,Save N Earn,Payment,Rent Receivables,PR030120,GL0000281,2019-01-09,,B-001,Land Bank of the Philippines,0,-10700.00
1939,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,PR030118,GL0000287,2019-01-09,,B-001,Land Bank of the Philippines,0,-10700.00
1943,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,PR030119,GL0000285,2019-01-09,,B-001,Land Bank of the Philippines,0,-12040.00
1947,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PR030121,GL0000296,2019-01-09,,B-001,Land Bank of the Philippines,0,-12840.00
1961,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,PR030043,GL0000294,2019-01-10,,B-001,Land Bank of the Philippines,0,-12840.00
2248,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000322,GL0000378,2019-01-31,2019-02-08,,,303555.86,0
2145,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0000308,GL0000354,2019-01-31,2019-02-08,,,144182.50,0
2132,ASCT-LT000038,ASC TECH,Invoice,Rent Receivables,ASCT-IC0000306,GL0000351,2019-01-31,2019-02-08,,,26750.00,0
2897,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000409,GL0000471,2019-01-31,2019-02-08,,,23540.00,0
2314,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000326,GL0000383,2019-01-31,2019-02-08,,,22192.33,0
2097,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Receivables,ASCT-IC0000300,GL0000342,2019-01-31,2019-02-08,,,21400.00,0
2005,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000279,GL0000321,2019-01-31,2019-02-08,,,19260.00,0
2079,ASCT-LT000017,BUKO FACTORY,Invoice,Rent Receivables,ASCT-IC0000296,GL0000338,2019-01-31,2019-02-08,,,12840.00,0
2088,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-IC0000298,GL0000340,2019-01-31,2019-02-08,,,12840.00,0
2031,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000285,GL0000327,2019-01-31,2019-02-08,,,12840.00,0
2106,ASCT-LT000035,Lugaw ni Bossing,Invoice,Rent Receivables,ASCT-IC0000302,GL0000344,2019-01-31,2019-02-08,,,12840.00,0
2050,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Receivables,ASCT-IC0000289,GL0000331,2019-01-31,2019-02-08,,,12840.00,0
2022,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000283,GL0000325,2019-01-31,2019-02-08,,,12840.00,0
2059,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000291,GL0000333,2019-01-31,2019-02-08,,,12840.00,0
2040,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000287,GL0000329,2019-01-31,2019-02-08,,,10700.00,0
2013,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000281,GL0000323,2019-01-31,2019-02-08,,,10700.00,0
1986,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000274,GL0000316,2019-01-31,2019-02-08,,,10700.00,0
