ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
12386,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,PR30669,GL0001957,2021-01-02,,B-001,Land Bank of the Philippines,0,-9886.80
12390,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR30670,GL0001978,2021-01-04,,B-001,Land Bank of the Philippines,0,-6420.00
12394,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,PR30671,GL0001985,2021-01-05,,B-001,Land Bank of the Philippines,0,-6420.00
12400,ASCT-LT000043,K and K Cellshop and Services,Payment,Rent Receivables,PR30672,GL0001974,2021-01-05,,B-001,Land Bank of the Philippines,0,-9651.50
12438,ASCT-LT000070,Boholanos Lechon House,Payment,Rent Receivables,PR30674,GL0001728,2021-01-07,,B-001,Land Bank of the Philippines,0,-5000.00
12434,ASCT-LT000073,PNB,Payment,Rent Receivables,PR30673,GL0002001,2021-01-07,,B-001,Land Bank of the Philippines,0,-40850.00
12525,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,PR30675,GL0001970,2021-01-09,,B-001,Land Bank of the Philippines,0,-8560.00
12539,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR30678,GL0001972,2021-01-11,,B-001,Land Bank of the Philippines,0,-1791.61
12533,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,PR30677,GL0001961,2021-01-11,,B-001,Land Bank of the Philippines,0,-3000.00
13153,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,PRCHCK#11108 / OR#030751,GL0001964,2021-01-11,,B-001,Land Bank of the Philippines,0,-9886.80
12535,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR30678,GL0001911,2021-01-11,,B-001,Land Bank of the Philippines,0,-9966.89
12529,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR30676,GL0001955,2021-01-11,,B-001,Land Bank of the Philippines,0,-16050.00
12961,ASCT-LT000010,VIRGINIA FOODS,Payment,Rent Receivables,PRCHCK#1637759 / OR#030649,GL0001950,2021-01-13,,B-001,Land Bank of the Philippines,0,-11770.00
12641,ASCT-LT000038,ASC TECH,Payment,Rent Receivables,PR030679,GL0001667,2021-01-14,,B-001,Land Bank of the Philippines,0,-14616.20
12670,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,Rent Receivables,PR30680,GL0001856,2021-01-16,,B-001,Land Bank of the Philippines,0,-6420.00
12676,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR30681,GL0002043,2021-01-18,,B-001,Land Bank of the Philippines,0,-12358.50
12682,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,PR30682,GL0001961,2021-01-19,,B-001,Land Bank of the Philippines,0,-3000.00
12684,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,PR30683,GL0002045,2021-01-19,,B-001,Land Bank of the Philippines,0,-6420.00
12688,ASCT-LT000043,K and K Cellshop and Services,Payment,Rent Receivables,PR30684,GL0001974,2021-01-19,,B-001,Land Bank of the Philippines,0,-7232.48
