ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
196,ASCT-ST000001,Suzuki,Invoice,Rent Receivables,ASCT-IC0000026,GL0000033,2018-06-15,2018-07-14,,,16050.00,0
201,ASCT-ST000001,Suzuki,Payment,Rent Receivables,PR25285,GL0000033,2018-06-18,,B-001,Land Bank of the Philippines,0,-16050.00
63,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000016,GL0000019,2018-06-30,2018-07-08,,,8132.00,0
84,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Receivables,ASCT-IC0000020,GL0000023,2018-06-30,2018-07-08,,,5564.00,0
48,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000012,GL0000016,2018-06-30,2018-07-08,,,5564.00,0
97,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000022,GL0000025,2018-06-30,2018-07-08,,,5564.00,0
76,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000018,GL0000021,2018-06-30,2018-07-08,,,4636.66,0
37,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000010,GL0000013,2018-06-30,2018-07-08,,,4636.66,0
29,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000008,GL0000011,2018-06-30,2018-07-08,,,4636.66,0
123,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,ASCT-B0000019,GL0000023,2018-06-30,,,,0,-5564.00
142,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,ASCT-B0000024,GL0000016,2018-06-30,,,,0,-5564.00
131,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,ASCT-B0000021,GL0000025,2018-06-30,,,,0,-5564.00
127,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,ASCT-B0000020,GL0000019,2018-06-30,,,,0,-8132.00
146,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR025301,GL0000013,2018-07-05,,B-001,Land Bank of the Philippines,0,-4636.66
152,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR025302,GL0000011,2018-07-09,,B-001,Land Bank of the Philippines,0,-4636.66
161,ASCT-LT000009,Save N Earn,Payment,Rent Receivables,PR025303,GL0000021,2018-07-10,,B-001,Land Bank of the Philippines,0,-4636.66
577,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000086,GL0000098,2018-07-31,2018-08-08,,,19260.00,0
325,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000047,GL0000054,2018-07-31,2018-08-08,,,12840.00,0
267,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Receivables,ASCT-IC0000037,GL0000044,2018-07-31,2018-08-08,,,12840.00,0
237,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000032,GL0000039,2018-07-31,2018-08-08,,,12840.00,0
276,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000039,GL0000046,2018-07-31,2018-08-08,,,12840.00,0
287,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000042,GL0000049,2018-07-31,2018-08-08,,,10700.00,0
226,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000030,GL0000037,2018-07-31,2018-08-08,,,10700.00,0
204,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000028,GL0000035,2018-07-31,2018-08-08,,,10700.00,0
346,ASCT-LT000010,VIRGINIA FOODS,Invoice,Rent Receivables,ASCT-IC0000049,GL0000056,2018-07-31,2018-08-08,,,10700.00,0
322,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,ASCT-B0000033,GL0000044,2018-07-31,,,,0,-1373.00
324,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,ASCT-B0000034,GL0000046,2018-07-31,,,,0,-1430.50
336,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,ASCT-B0000035,GL0000054,2018-07-31,,,,0,-2576.67
338,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,ASCT-B0000036,GL0000039,2018-07-31,,,,0,-5503.47
345,ASCT-LT000009,Save N Earn,Payment,Rent Receivables,ASCT-B0000037,GL0000049,2018-07-31,,,,0,-10700.00
236,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,ASCT-B0000029,GL0000037,2018-07-31,,,,0,-10700.00
215,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,ASCT-B0000028,GL0000035,2018-07-31,,,,0,-10700.00
590,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000062,GL0000098,2018-07-31,,,,0,-19260.00
364,ASCT-ST000002,LEYLAM - Exhibit,Invoice,Rent Receivables,ASCT-IC0000051,GL0000058,2018-08-01,2018-08-22,,,9630.00,0
401,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000002,GL0000054,2018-08-07,,B-001,Land Bank of the Philippines,0,-10263.33
361,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,PR030003,GL0000039,2018-08-09,,B-001,Land Bank of the Philippines,0,-7336.53
650,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000003,GL0000046,2018-08-09,,B-001,Land Bank of the Philippines,0,-11409.50
371,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,PR030004,GL0000044,2018-08-11,,B-001,Land Bank of the Philippines,0,-11467.00
397,ASCT-ST000002,LEYLAM - Exhibit,Payment,Rent Receivables,PR030006,GL0000058,2018-08-22,,B-001,Land Bank of the Philippines,0,-9630.00
462,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000071,GL0000082,2018-08-31,2018-09-08,,,19260.00,0
404,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000057,GL0000068,2018-08-31,2018-09-08,,,12840.00,0
444,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Receivables,ASCT-IC0000067,GL0000078,2018-08-31,2018-09-08,,,12840.00,0
433,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000064,GL0000075,2018-08-31,2018-09-08,,,12840.00,0
657,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000092,GL0000105,2018-08-31,2018-09-08,,,12840.00,0
638,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000090,GL0000103,2018-08-31,2018-09-08,,,12080.64,0
543,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000084,GL0000096,2018-08-31,2018-09-08,,,10700.00,0
424,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000062,GL0000073,2018-08-31,2018-09-08,,,10700.00,0
415,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000060,GL0000071,2018-08-31,2018-09-08,,,10700.00,0
482,ASCT-LT000010,VIRGINIA FOODS,Invoice,Rent Receivables,ASCT-IC0000073,GL0000084,2018-08-31,2018-09-08,,,10700.00,0
520,ASCT-LT000017,BUKO FACTORY,Invoice,Rent Receivables,ASCT-IC0000080,GL0000092,2018-08-31,2018-09-08,,,9940.64,0
511,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000078,GL0000090,2018-08-31,2018-09-08,,,8974.20,0
530,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,ASCT-B0000056,GL0000092,2018-08-31,,,,0,-9940.64
648,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,ASCT-B0000069,GL0000103,2018-08-31,,,,0,-10700.00
606,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000063,GL0000082,2018-08-31,,,,0,-19260.00
667,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,PR030007,GL0000075,2018-09-02,,B-001,Land Bank of the Philippines,0,-12840.00
671,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR030008,GL0000073,2018-09-03,,B-001,Land Bank of the Philippines,0,-10700.00
