ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
11,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Cash in Bank (Peso),PR025262 - 025261,GL0000006,2018-05-09,,B-001,Land Bank of the Philippines,36000.00,0
9,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Cash in Bank (Peso),PR025262 - 025261,GL0000005,2018-05-09,,B-001,Land Bank of the Philippines,12840.00,0
15,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR025263 - 025264,GL0000008,2018-05-18,,B-001,Land Bank of the Philippines,36000.00,0
19,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Cash in Bank (Peso),PR025265,GL0000010,2018-05-18,,B-001,Land Bank of the Philippines,36000.00,0
13,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR025263 - 025264,GL0000007,2018-05-18,,B-001,Land Bank of the Philippines,12840.00,0
17,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Cash in Bank (Peso),PR025265,GL0000009,2018-05-18,,B-001,Land Bank of the Philippines,12840.00,0
7,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR025266,GL0000004,2018-05-21,,B-001,Land Bank of the Philippines,30000.00,0
5,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PR025274,GL0000003,2018-05-25,,B-001,Land Bank of the Philippines,30000.00,0
202,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PR025275,GL0000034,2018-05-25,,B-001,Land Bank of the Philippines,10700.00,0
3,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR025279 - 025280,GL0000002,2018-06-08,,B-001,Land Bank of the Philippines,36000.00,0
1,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR025279 - 025280,GL0000001,2018-06-08,,B-001,Land Bank of the Philippines,12840.00,0
200,ASCT-ST000001,Suzuki,Payment,Cash in Bank (Peso),PR25285,GL0000033,2018-06-18,,B-001,Land Bank of the Philippines,16050.00,0
390,ASCT-LT000007,JEWELRICH,Payment,Cash in Bank (Peso),PR025290,GL0000065,2018-06-26,,B-001,Land Bank of the Philippines,20410.00,0
634,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Cash in Bank (Peso),PR025292,GL0000101,2018-07-04,,B-001,Land Bank of the Philippines,30000.00,0
636,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Cash in Bank (Peso),PR025292,GL0000102,2018-07-04,,B-001,Land Bank of the Philippines,10700.00,0
149,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR025301,GL0000029,2018-07-05,,B-001,Land Bank of the Philippines,10700.00,0
145,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR025301,GL0000013,2018-07-05,,B-001,Land Bank of the Philippines,4636.66,0
147,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR025301,GL0000014,2018-07-05,,B-001,Land Bank of the Philippines,2430.33,0
151,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PR025302,GL0000011,2018-07-09,,B-001,Land Bank of the Philippines,4636.66,0
153,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PR025302,GL0000012,2018-07-09,,B-001,Land Bank of the Philippines,1648.33,0
164,ASCT-LT000009,Save N Earn,Payment,Cash in Bank (Peso),PR025303,GL0000032,2018-07-10,,B-001,Land Bank of the Philippines,30000.00,0
162,ASCT-LT000009,Save N Earn,Payment,Cash in Bank (Peso),PR025303,GL0000031,2018-07-10,,B-001,Land Bank of the Philippines,10700.00,0
160,ASCT-LT000009,Save N Earn,Payment,Cash in Bank (Peso),PR025303,GL0000021,2018-07-10,,B-001,Land Bank of the Philippines,4636.66,0
168,ASCT-LT000009,Save N Earn,Payment,Cash in Bank (Peso),PR025303,GL0000030,2018-07-10,,B-001,Land Bank of the Philippines,1615.36,0
392,ASCT-LT000007,JEWELRICH,Payment,Cash in Bank (Peso),PR025298,GL0000066,2018-07-11,,B-001,Land Bank of the Philippines,20410.00,0
376,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),ASCT-UFT0000001,GL0000061,2018-07-17,,B-001,Land Bank of the Philippines,36000.00,0
374,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),ASCT-UFT0000001,GL0000060,2018-07-17,,B-001,Land Bank of the Philippines,12840.00,0
1124,ASCT-LT000037,Miche Cellphone Accessories,Payment,Cash in Bank (Peso),ASCT-UFT0000008,GL0000185,2018-07-18,,B-001,Land Bank of the Philippines,30000.00,0
1122,ASCT-LT000037,Miche Cellphone Accessories,Payment,Cash in Bank (Peso),ASCT-UFT0000008,GL0000184,2018-07-18,,B-001,Land Bank of the Philippines,10700.00,0
354,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR030001,GL0000038,2018-07-30,,B-001,Land Bank of the Philippines,1892.90,0
386,ASCT-LT000017,BUKO FACTORY,Payment,Cash in Bank (Peso),PR025299,GL0000064,2018-08-02,,B-001,Land Bank of the Philippines,72000.00,0
384,ASCT-LT000017,BUKO FACTORY,Payment,Cash in Bank (Peso),PR025299,GL0000063,2018-08-02,,B-001,Land Bank of the Philippines,12840.00,0
382,ASCT-LT000016,WAFFLE TIME,Payment,Cash in Bank (Peso),PR025300,GL0000062,2018-08-04,,B-001,Land Bank of the Philippines,30000.00,0
400,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),ASCT-UFT0000002,GL0000054,2018-08-07,,B-001,Land Bank of the Philippines,10263.33,0
649,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Cash in Bank (Peso),ASCT-UFT0000003,GL0000046,2018-08-09,,B-001,Land Bank of the Philippines,11409.50,0
360,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Cash in Bank (Peso),PR030003,GL0000039,2018-08-09,,B-001,Land Bank of the Philippines,7336.53,0
651,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Cash in Bank (Peso),ASCT-UFT0000003,GL0000047,2018-08-09,,B-001,Land Bank of the Philippines,3300.50,0
362,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Cash in Bank (Peso),PR030003,GL0000040,2018-08-09,,B-001,Land Bank of the Philippines,1175.30,0
356,ASCT-LT000009,Save N Earn,Payment,Cash in Bank (Peso),PR030002,GL0000055,2018-08-09,,B-001,Land Bank of the Philippines,1127.00,0
1226,ASCT-LT000033,ABENSON,Payment,Cash in Bank (Peso),PR030095,GL0000193,2018-08-10,,,,404250.00,0
1222,ASCT-LT000033,ABENSON,Payment,Cash in Bank (Peso),PR030095,GL0000191,2018-08-10,,,,144182.50,0
1224,ASCT-LT000033,ABENSON,Payment,Cash in Bank (Peso),PR030095,GL0000192,2018-08-10,,,,134750.00,0
370,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR030004,GL0000044,2018-08-11,,B-001,Land Bank of the Philippines,11467.00,0
372,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR030004,GL0000045,2018-08-11,,B-001,Land Bank of the Philippines,4887.50,0
388,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PR030005,GL0000036,2018-08-13,,B-001,Land Bank of the Philippines,3707.83,0
394,ASCT-LT000007,JEWELRICH,Payment,Cash in Bank (Peso),PR030055,GL0000067,2018-08-17,,B-001,Land Bank of the Philippines,40820.00,0
396,ASCT-ST000002,LEYLAM - Exhibit,Payment,Cash in Bank (Peso),PR030006,GL0000058,2018-08-22,,B-001,Land Bank of the Philippines,9630.00,0
