ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
196,ASCT-ST000001,Suzuki,Invoice,Rent Receivables,ASCT-IC0000026,GL0000033,2018-06-15,2018-07-14,,,16050.00,0
201,ASCT-ST000001,Suzuki,Payment,Rent Receivables,PR25285,GL0000033,2018-06-18,,B-001,Land Bank of the Philippines,0,-16050.00
139,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-DM0000001,GL0000028,2018-06-29,2018-07-08,,,89.70,0
63,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000016,GL0000019,2018-06-30,2018-07-08,,,8132.00,0
88,ASCT-LT000013,MASTER SIOMAI,Invoice,A/R  Non Trade External,ASCT-IC0000021,GL0000024,2018-06-30,2018-07-08,,,5903.33,0
101,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000023,GL0000026,2018-06-30,2018-07-08,,,5845.83,0
84,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Receivables,ASCT-IC0000020,GL0000023,2018-06-30,2018-07-08,,,5564.00,0
48,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000012,GL0000016,2018-06-30,2018-07-08,,,5564.00,0
97,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000022,GL0000025,2018-06-30,2018-07-08,,,5564.00,0
76,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000018,GL0000021,2018-06-30,2018-07-08,,,4636.66,0
37,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000010,GL0000013,2018-06-30,2018-07-08,,,4636.66,0
29,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000008,GL0000011,2018-06-30,2018-07-08,,,4636.66,0
41,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000011,GL0000014,2018-06-30,2018-07-08,,,2430.33,0
134,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000024,GL0000027,2018-06-30,2018-07-08,,,1682.83,0
33,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000009,GL0000012,2018-06-30,2018-07-08,,,1648.33,0
155,ASCT-LT000009,Save N Earn,Invoice,A/R  Non Trade External,ASCT-IC0000025,GL0000030,2018-06-30,2018-07-08,,,1615.36,0
67,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000017,GL0000020,2018-06-30,2018-07-08,,,797.33,0
260,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,ASCT-B0000024,GL0000028,2018-06-30,,,,0,-89.70
129,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,ASCT-B0000020,GL0000020,2018-06-30,,,,0,-797.33
144,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,ASCT-B0000024,GL0000027,2018-06-30,,,,0,-1682.83
123,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,ASCT-B0000019,GL0000023,2018-06-30,,,,0,-5564.00
142,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,ASCT-B0000024,GL0000016,2018-06-30,,,,0,-5564.00
131,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,ASCT-B0000021,GL0000025,2018-06-30,,,,0,-5564.00
133,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,ASCT-B0000021,GL0000026,2018-06-30,,,,0,-5845.83
125,ASCT-LT000013,MASTER SIOMAI,Payment,A/R  Non Trade External,ASCT-B0000019,GL0000024,2018-06-30,,,,0,-5903.33
127,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,ASCT-B0000020,GL0000019,2018-06-30,,,,0,-8132.00
148,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR025301,GL0000014,2018-07-05,,B-001,Land Bank of the Philippines,0,-2430.33
146,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR025301,GL0000013,2018-07-05,,B-001,Land Bank of the Philippines,0,-4636.66
154,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR025302,GL0000012,2018-07-09,,B-001,Land Bank of the Philippines,0,-1648.33
152,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR025302,GL0000011,2018-07-09,,B-001,Land Bank of the Philippines,0,-4636.66
169,ASCT-LT000009,Save N Earn,Payment,A/R  Non Trade External,PR025303,GL0000030,2018-07-10,,B-001,Land Bank of the Philippines,0,-1615.36
161,ASCT-LT000009,Save N Earn,Payment,Rent Receivables,PR025303,GL0000021,2018-07-10,,B-001,Land Bank of the Philippines,0,-4636.66
355,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR030001,GL0000038,2018-07-30,,B-001,Land Bank of the Philippines,0,-1892.90
577,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000086,GL0000098,2018-07-31,2018-08-08,,,19260.00,0
325,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000047,GL0000054,2018-07-31,2018-08-08,,,12840.00,0
267,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Receivables,ASCT-IC0000037,GL0000044,2018-07-31,2018-08-08,,,12840.00,0
237,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000032,GL0000039,2018-07-31,2018-08-08,,,12840.00,0
276,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000039,GL0000046,2018-07-31,2018-08-08,,,12840.00,0
287,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000042,GL0000049,2018-07-31,2018-08-08,,,10700.00,0
226,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000030,GL0000037,2018-07-31,2018-08-08,,,10700.00,0
204,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000028,GL0000035,2018-07-31,2018-08-08,,,10700.00,0
346,ASCT-LT000010,VIRGINIA FOODS,Invoice,Rent Receivables,ASCT-IC0000049,GL0000056,2018-07-31,2018-08-08,,,10700.00,0
271,ASCT-LT000013,MASTER SIOMAI,Invoice,A/R  Non Trade External,ASCT-IC0000038,GL0000045,2018-07-31,2018-08-08,,,4887.50,0
208,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000029,GL0000036,2018-07-31,2018-08-08,,,3707.83,0
280,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000040,GL0000047,2018-07-31,2018-08-08,,,3300.50,0
230,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000031,GL0000038,2018-07-31,2018-08-08,,,1892.90,0
301,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000045,GL0000052,2018-07-31,2018-08-08,,,1334.00,0
241,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000033,GL0000040,2018-07-31,2018-08-08,,,1175.30,0
581,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000087,GL0000099,2018-07-31,2018-08-08,,,1150.00,0
350,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-IC0000050,GL0000057,2018-07-31,2018-08-08,,,1150.00,0
339,ASCT-LT000009,Save N Earn,Invoice,A/R  Non Trade External,ASCT-IC0000048,GL0000055,2018-07-31,2018-08-08,,,1127.00,0
592,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000062,GL0000099,2018-07-31,,,,0,-1150.00
334,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,ASCT-B0000035,GL0000052,2018-07-31,,,,0,-1334.00
322,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,ASCT-B0000033,GL0000044,2018-07-31,,,,0,-1373.00
324,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,ASCT-B0000034,GL0000046,2018-07-31,,,,0,-1430.50
