ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
12388,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,PR30669,GL0001958,2021-01-02,,B-001,Land Bank of the Philippines,0,-2214.45
12392,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR30670,GL0001979,2021-01-04,,B-001,Land Bank of the Philippines,0,-2818.55
12396,ASCT-LT000055,PCSO Lotto,Payment,A/R  Non Trade External,PR30671,GL0001986,2021-01-05,,B-001,Land Bank of the Philippines,0,-2693.10
12398,ASCT-LT000043,K and K Cellshop and Services,Payment,A/R  Non Trade External,PR30672,GL0001914,2021-01-05,,B-001,Land Bank of the Philippines,0,-14248.50
12436,ASCT-LT000073,PNB,Payment,A/R  Non Trade External,PR30673,GL0002002,2021-01-07,,B-001,Land Bank of the Philippines,0,-19282.00
14907,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PROR# 030650,GL0001772,2021-01-08,,B-001,Land Bank of the Philippines,0,-4251.50
12527,ASCT-LT000017,BUKO FACTORY,Payment,A/R  Non Trade External,PR30675,GL0001971,2021-01-09,,B-001,Land Bank of the Philippines,0,-1759.50
12537,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR30678,GL0001912,2021-01-11,,B-001,Land Bank of the Philippines,0,-1676.50
12531,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR30676,GL0001956,2021-01-11,,B-001,Land Bank of the Philippines,0,-2342.25
13155,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,PRCHCK#11108 / OR#030751,GL0001965,2021-01-11,,B-001,Land Bank of the Philippines,0,-2865.50
14911,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PROR#030764,GL0001851,2021-01-12,,B-001,Land Bank of the Philippines,0,-3676.50
12959,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External,PRCHCK#1637759 / OR#030649,GL0001888,2021-01-13,,B-001,Land Bank of the Philippines,0,-262.72
12963,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External,PRCHCK#1637759 / OR#030649,GL0001951,2021-01-13,,B-001,Land Bank of the Philippines,0,-3614.78
12639,ASCT-LT000038,ASC TECH,Payment,A/R  Non Trade External,PR030679,GL0001607,2021-01-14,,B-001,Land Bank of the Philippines,0,-11045.90
12672,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,A/R  Non Trade External,PR30680,GL0001857,2021-01-16,,B-001,Land Bank of the Philippines,0,-7948.70
12678,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR30681,GL0002044,2021-01-18,,B-001,Land Bank of the Philippines,0,-9054.90
12690,ASCT-LT000043,K and K Cellshop and Services,Payment,A/R  Non Trade External,PR30684,GL0001975,2021-01-19,,B-001,Land Bank of the Philippines,0,-2500.00
12686,ASCT-LT000055,PCSO Lotto,Payment,A/R  Non Trade External,PR30683,GL0002046,2021-01-19,,B-001,Land Bank of the Philippines,0,-2621.00
12694,ASCT-LT000043,K and K Cellshop and Services,Payment,A/R  Non Trade External,PR30684,GL0002035,2021-01-19,,B-001,Land Bank of the Philippines,0,-2903.52
12696,ASCT-LT000063,Sams Food and Beverage Kiosk,Payment,A/R  Non Trade External,PR30688,GL0001361,2021-01-20,,B-001,Land Bank of the Philippines,0,-122.35
13085,ASCT-LT000009,Save N Earn,Payment,A/R  Non Trade External,PROR#030757,GL0002021,2021-01-20,,B-001,Land Bank of the Philippines,0,-2210.88
12702,ASCT-LT000066,Aiztea,Payment,A/R  Non Trade External,PR30687,GL0001935,2021-01-20,,B-001,Land Bank of the Philippines,0,-3195.30
12717,ASCT-LT000073,PNB,Payment,A/R  Non Trade External,PR30686,GL0002063,2021-01-20,,B-001,Land Bank of the Philippines,0,-19282.00
13159,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,PRCHCK#11152 / OR#030758,GL0002025,2021-01-21,,B-001,Land Bank of the Philippines,0,-2842.50
12721,ASCT-LT000013,MASTER SIOMAI,Payment,A/R  Non Trade External,PR30690,GL0001962,2021-01-23,,B-001,Land Bank of the Philippines,0,-2113.20
12725,ASCT-LT000056,Pat and Jane Franchising Corp.,Payment,A/R  Non Trade External,PR30685,GL0001446,2021-01-25,,B-001,Land Bank of the Philippines,0,-9284.50
12735,ASCT-LT000060,Marcela Chicken,Payment,A/R  Non Trade External,PR30692,GL0001930,2021-01-26,,B-001,Land Bank of the Philippines,0,-1152.59
12733,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,PR30691,GL0002017,2021-01-26,,B-001,Land Bank of the Philippines,0,-1883.40
12739,ASCT-LT000060,Marcela Chicken,Payment,A/R  Non Trade External,PR30692,GL0001990,2021-01-26,,B-001,Land Bank of the Philippines,0,-14054.91
15421,ASCT-LT000061,A and A Cafeteria,Payment,A/R  Non Trade External,PROR# 030759,GL0001861,2021-01-27,,B-001,Land Bank of the Philippines,0,-3683.50
15425,ASCT-LT000061,A and A Cafeteria,Payment,A/R  Non Trade External,PROR# 030759,GL0001933,2021-01-27,,B-001,Land Bank of the Philippines,0,-3718.00
15429,ASCT-LT000061,A and A Cafeteria,Payment,A/R  Non Trade External,PROR# 030759,GL0001992,2021-01-27,,B-001,Land Bank of the Philippines,0,-3764.00
