ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
139,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-DM0000001,GL0000028,2018-06-29,2018-07-08,,,89.70,0
88,ASCT-LT000013,MASTER SIOMAI,Invoice,A/R  Non Trade External,ASCT-IC0000021,GL0000024,2018-06-30,2018-07-08,,,5903.33,0
101,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000023,GL0000026,2018-06-30,2018-07-08,,,5845.83,0
41,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000011,GL0000014,2018-06-30,2018-07-08,,,2430.33,0
134,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000024,GL0000027,2018-06-30,2018-07-08,,,1682.83,0
33,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000009,GL0000012,2018-06-30,2018-07-08,,,1648.33,0
155,ASCT-LT000009,CIGNAL,Invoice,A/R  Non Trade External,ASCT-IC0000025,GL0000030,2018-06-30,2018-07-08,,,1615.36,0
67,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000017,GL0000020,2018-06-30,2018-07-08,,,797.33,0
260,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,ASCT-B0000024,GL0000028,2018-06-30,,,,0,-89.70
129,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,ASCT-B0000020,GL0000020,2018-06-30,,,,0,-797.33
144,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,ASCT-B0000024,GL0000027,2018-06-30,,,,0,-1682.83
133,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,ASCT-B0000021,GL0000026,2018-06-30,,,,0,-5845.83
125,ASCT-LT000013,MASTER SIOMAI,Payment,A/R  Non Trade External,ASCT-B0000019,GL0000024,2018-06-30,,,,0,-5903.33
148,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR025301,GL0000014,2018-07-05,,B-001,Land Bank of the Philippines,0,-2430.33
154,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR025302,GL0000012,2018-07-09,,B-001,Land Bank of the Philippines,0,-1648.33
169,ASCT-LT000009,CIGNAL,Payment,A/R  Non Trade External,PR025303,GL0000030,2018-07-10,,B-001,Land Bank of the Philippines,0,-1615.36
355,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR030001,GL0000038,2018-07-30,,B-001,Land Bank of the Philippines,0,-1892.90
271,ASCT-LT000013,MASTER SIOMAI,Invoice,A/R  Non Trade External,ASCT-IC0000038,GL0000045,2018-07-31,2018-08-08,,,4887.50,0
208,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000029,GL0000036,2018-07-31,2018-08-08,,,3707.83,0
280,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000040,GL0000047,2018-07-31,2018-08-08,,,3300.50,0
230,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000031,GL0000038,2018-07-31,2018-08-08,,,1892.90,0
301,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000045,GL0000052,2018-07-31,2018-08-08,,,1334.00,0
241,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000033,GL0000040,2018-07-31,2018-08-08,,,1175.30,0
581,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000087,GL0000099,2018-07-31,2018-08-08,,,1150.00,0
350,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-IC0000050,GL0000057,2018-07-31,2018-08-08,,,1150.00,0
339,ASCT-LT000009,CIGNAL,Invoice,A/R  Non Trade External,ASCT-IC0000048,GL0000055,2018-07-31,2018-08-08,,,1127.00,0
592,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000062,GL0000099,2018-07-31,,,,0,-1150.00
334,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,ASCT-B0000035,GL0000052,2018-07-31,,,,0,-1334.00
368,ASCT-ST000002,LEYLAM - Exhibit,Invoice,A/R  Non Trade External,ASCT-IC0000052,GL0000059,2018-08-01,2018-08-22,,,500.00,0
357,ASCT-LT000009,CIGNAL,Payment,A/R  Non Trade External,PR030002,GL0000055,2018-08-09,,B-001,Land Bank of the Philippines,0,-1127.00
363,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,PR030003,GL0000040,2018-08-09,,B-001,Land Bank of the Philippines,0,-1175.30
652,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000003,GL0000047,2018-08-09,,B-001,Land Bank of the Philippines,0,-3300.50
373,ASCT-LT000013,MASTER SIOMAI,Payment,A/R  Non Trade External,PR030004,GL0000045,2018-08-11,,B-001,Land Bank of the Philippines,0,-4887.50
389,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030005,GL0000036,2018-08-13,,B-001,Land Bank of the Philippines,0,-3707.83
399,ASCT-ST000002,LEYLAM - Exhibit,Payment,A/R  Non Trade External,PR030006,GL0000059,2018-08-22,,B-001,Land Bank of the Philippines,0,-500.00
642,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000091,GL0000104,2018-08-31,2018-09-08,,,5032.26,0
448,ASCT-LT000013,MASTER SIOMAI,Invoice,A/R  Non Trade External,ASCT-IC0000068,GL0000079,2018-08-31,2018-09-08,,,4971.45,0
538,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000083,GL0000095,2018-08-31,2018-09-08,,,4489.48,0
661,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000093,GL0000106,2018-08-31,2018-09-08,,,3105.00,0
419,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000061,GL0000072,2018-08-31,2018-09-08,,,2411.55,0
616,ASCT-LT000009,CIGNAL,Invoice,A/R  Non Trade External,ASCT-IC0000088,GL0000100,2018-08-31,2018-09-08,,,1989.15,0
428,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000063,GL0000074,2018-08-31,2018-09-08,,,1913.60,0
524,ASCT-LT000017,BUKO FACTORY,Invoice,A/R  Non Trade External,ASCT-IC0000081,GL0000093,2018-08-31,2018-09-08,,,1347.18,0
506,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000077,GL0000089,2018-08-31,2018-09-08,,,1346.65,0
437,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000065,GL0000076,2018-08-31,2018-09-08,,,1260.40,0
466,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000072,GL0000083,2018-08-31,2018-09-08,,,1150.00,0
486,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-IC0000074,GL0000085,2018-08-31,2018-09-08,,,1150.00,0
490,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-B0000052,GL0000086,2018-08-31,2018-08-08,,,237.00,0
442,ASCT-LT000013,MASTER SIOMAI,Invoice,A/R  Non Trade External,ASCT-IC0000066,GL0000077,2018-08-31,2018-09-08,,,21.10,0
413,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000059,GL0000070,2018-08-31,2018-09-08,,,7.18,0
608,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000063,GL0000083,2018-08-31,,,,0,-1150.00
532,ASCT-LT000017,BUKO FACTORY,Payment,A/R  Non Trade External,ASCT-B0000056,GL0000093,2018-08-31,,,,0,-1347.18
669,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,PR030007,GL0000076,2018-09-02,,B-001,Land Bank of the Philippines,0,-1260.40
