ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
16212,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR31155,GL0002682,2022-01-02,,B-001,Land Bank of the Philippines,12655.00,0
16213,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Unearned Rent Income,PR31155,GL0002682,2022-01-02,,B-001,Land Bank of the Philippines,0,-12655.00
16218,ASCT-LT000060,Marcela Chicken,Payment,Cash in Bank (Peso),PR31156,GL0002684,2022-01-04,,B-001,Land Bank of the Philippines,27230.00,0
16219,ASCT-LT000060,Marcela Chicken,Payment,Unearned Rent Income,PR31156,GL0002684,2022-01-04,,B-001,Land Bank of the Philippines,0,-27230.00
16222,ASCT-LT000037,Miche Cellphone Accessories,Payment,Cash in Bank (Peso),PR31158,GL0002686,2022-01-11,,B-001,Land Bank of the Philippines,18267.00,0
16220,ASCT-LT000078,Sticker Race Prints and Design,Payment,Cash in Bank (Peso),PR31157,GL0002685,2022-01-11,,B-001,Land Bank of the Philippines,12457.25,0
16221,ASCT-LT000078,Sticker Race Prints and Design,Payment,Unearned Rent Income,PR31157,GL0002685,2022-01-11,,B-001,Land Bank of the Philippines,0,-12457.25
16223,ASCT-LT000037,Miche Cellphone Accessories,Payment,Unearned Rent Income,PR31158,GL0002686,2022-01-11,,B-001,Land Bank of the Philippines,0,-18267.00
16224,ASCT-LT000214,The Buzz Cafe,Payment,Cash in Bank (Peso),PR31159,GL0002687,2022-01-14,,B-001,Land Bank of the Philippines,133255.30,0
16225,ASCT-LT000214,The Buzz Cafe,Payment,Unearned Rent Income,PR31159,GL0002687,2022-01-14,,B-001,Land Bank of the Philippines,0,-133255.30
16226,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR031160,GL0002688,2022-01-15,,B-001,Land Bank of the Philippines,3700.00,0
16227,ASCT-LT000013,MASTER SIOMAI,Payment,Unearned Rent Income,PR031160,GL0002688,2022-01-15,,B-001,Land Bank of the Philippines,0,-3700.00
16228,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR31161,GL0002689,2022-01-17,,B-001,Land Bank of the Philippines,3586.75,0
16229,ASCT-LT000013,MASTER SIOMAI,Payment,Unearned Rent Income,PR31161,GL0002689,2022-01-17,,B-001,Land Bank of the Philippines,0,-3586.75
16230,ASCT-LT000210,Toyota Bohol,Payment,Cash in Bank (Peso),PR31162,GL0002690,2022-01-26,,B-001,Land Bank of the Philippines,19260.00,0
16231,ASCT-LT000210,Toyota Bohol,Payment,Unearned Rent Income,PR31162,GL0002690,2022-01-26,,B-001,Land Bank of the Philippines,0,-19260.00
16608,ASCT-LT000238,Robotic Touch Massage Services,Invoice,Rent Receivables,ASCT-IC0002260,GL0002797,2022-01-31,2022-02-08,,,10700.00,0
16612,ASCT-LT000238,Robotic Touch Massage Services,Invoice,A/R  Non Trade External,ASCT-IC0002261,GL0002798,2022-01-31,2022-02-08,,,1414.00,0
16610,ASCT-LT000238,Robotic Touch Massage Services,Invoice,Creditable WHT Receivable,ASCT-IC0002260,GL0002797,2022-01-31,2022-02-08,,,500.00,0
16606,ASCT-LT000238,Robotic Touch Massage Services,Invoice,A/R  Non Trade External,ASCT-IC0002259,GL0002796,2022-01-31,2022-02-08,,,176.00,0
16607,ASCT-LT000238,Robotic Touch Massage Services,Invoice,MI-Penalties,ASCT-IC0002259,GL0002796,2022-01-31,2022-02-08,,,0,-176.00
16614,ASCT-LT000238,Robotic Touch Massage Services,Invoice,MI-Light and Power,ASCT-IC0002261,GL0002798,2022-01-31,2022-02-08,,,0,-414.00
16615,ASCT-LT000238,Robotic Touch Massage Services,Invoice,MI-Charges,ASCT-IC0002261,GL0002798,2022-01-31,2022-02-08,,,0,-500.00
16613,ASCT-LT000238,Robotic Touch Massage Services,Invoice,MI-Common Utilities,ASCT-IC0002261,GL0002798,2022-01-31,2022-02-08,,,0,-500.00
16609,ASCT-LT000238,Robotic Touch Massage Services,Invoice,VAT Output,ASCT-IC0002260,GL0002797,2022-01-31,2022-02-08,,,0,-1200.00
