ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
16877,ASCT-LT000214,The Buzz Cafe,Payment,Cash in Bank (Peso),PR31367,GL0002880,2022-06-30,,B-001,Land Bank of the Philippines,117210.65,0
16753,ASCT-ST000011,Du Ek Sam,Invoice,Rent Receivables,ASCT-IC0002274,GL0002844,2022-06-30,2022-07-08,,,16050.00,0
16875,ASCT-LT000055,PCSO Lotto,Payment,Cash in Bank (Peso),PR31368,GL0002879,2022-06-30,,B-001,Land Bank of the Philippines,13834.50,0
16983,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Rent Receivables,ASCT-IC0002299,GL0002909,2022-06-30,2022-07-08,,,11770.00,0
16987,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,A/R  Non Trade External,ASCT-IC0002300,GL0002910,2022-06-30,2022-07-08,,,4285.00,0
16755,ASCT-ST000011,Du Ek Sam,Invoice,Creditable WHT Receivable,ASCT-IC0002274,GL0002844,2022-06-30,2022-07-08,,,750.00,0
16985,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Creditable WHT Receivable,ASCT-IC0002299,GL0002909,2022-06-30,2022-07-08,,,550.00,0
16981,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,A/R  Non Trade External,ASCT-IC0002298,GL0002908,2022-06-30,2022-07-08,,,123.88,0
16982,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,MI-Penalties,ASCT-IC0002298,GL0002908,2022-06-30,2022-07-08,,,0,-123.88
16988,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,MI-Aircon Charges,ASCT-IC0002300,GL0002910,2022-06-30,2022-07-08,,,0,-500.00
16989,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,MI-Common Utilities,ASCT-IC0002300,GL0002910,2022-06-30,2022-07-08,,,0,-1000.00
16984,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,VAT Output,ASCT-IC0002299,GL0002909,2022-06-30,2022-07-08,,,0,-1320.00
16754,ASCT-ST000011,Du Ek Sam,Invoice,VAT Output,ASCT-IC0002274,GL0002844,2022-06-30,2022-07-08,,,0,-1800.00
16990,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,MI-Charges,ASCT-IC0002300,GL0002910,2022-06-30,2022-07-08,,,0,-2785.00
16986,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Rent Income,ASCT-IC0002299,GL0002909,2022-06-30,2022-07-08,,,0,-11000.00
16876,ASCT-LT000055,PCSO Lotto,Payment,Unearned Rent Income,PR31368,GL0002879,2022-06-30,,B-001,Land Bank of the Philippines,0,-13834.50
16756,ASCT-ST000011,Du Ek Sam,Invoice,Rent Income,ASCT-IC0002274,GL0002844,2022-06-30,2022-07-08,,,0,-15000.00
16878,ASCT-LT000214,The Buzz Cafe,Payment,Unearned Rent Income,PR31367,GL0002880,2022-06-30,,B-001,Land Bank of the Philippines,0,-117210.65
16879,ASCT-LT000037,Miche Cellphone Accessories,Payment,Cash in Bank (Peso),PR031369,GL0002881,2022-07-04,,B-001,Land Bank of the Philippines,18200.00,0
16880,ASCT-LT000037,Miche Cellphone Accessories,Payment,Unearned Rent Income,PR031369,GL0002881,2022-07-04,,B-001,Land Bank of the Philippines,0,-18200.00
16881,ASCT-LT000221,Golden Locket Jewelry Shop,Payment,Cash in Bank (Peso),PR31370,GL0002882,2022-07-06,,B-001,Land Bank of the Philippines,10860.00,0
16882,ASCT-LT000221,Golden Locket Jewelry Shop,Payment,Unearned Rent Income,PR31370,GL0002882,2022-07-06,,B-001,Land Bank of the Philippines,0,-10860.00
16883,ASCT-LT000073,PNB,Payment,Cash in Bank (Peso),PR31371,GL0002883,2022-07-07,,B-001,Land Bank of the Philippines,66432.00,0
16885,ASCT-LT000073,PNB,Payment,Cash in Bank (Peso),PR31372,GL0002884,2022-07-07,,B-001,Land Bank of the Philippines,12840.00,0
16886,ASCT-LT000073,PNB,Payment,Unearned Rent Income,PR31372,GL0002884,2022-07-07,,B-001,Land Bank of the Philippines,0,-12840.00
16884,ASCT-LT000073,PNB,Payment,Unearned Rent Income,PR31371,GL0002883,2022-07-07,,B-001,Land Bank of the Philippines,0,-66432.00
16893,ASCT-LT000036,M Lhuillier,Payment,Cash in Bank (Peso),PR31376,GL0002888,2022-07-08,,B-001,Land Bank of the Philippines,34108.45,0
16889,ASCT-LT000043,K AND K VIBE AND AUZOCA PROPERTIES 01,Payment,Cash in Bank (Peso),PR31374,GL0002886,2022-07-08,,B-001,Land Bank of the Philippines,27455.00,0
16891,ASCT-LT000254,GOOGOO SWEET CAKE SHOP,Payment,Cash in Bank (Peso),PR31375,GL0002887,2022-07-08,,B-001,Land Bank of the Philippines,18800.25,0
16887,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR31373,GL0002885,2022-07-08,,B-001,Land Bank of the Philippines,18510.50,0
16895,ASCT-LT000237,Terays Food Hub,Payment,Cash in Bank (Peso),PR31378,GL0002889,2022-07-08,,B-001,Land Bank of the Philippines,1000.00,0
16896,ASCT-LT000237,Terays Food Hub,Payment,Unearned Rent Income,PR31378,GL0002889,2022-07-08,,B-001,Land Bank of the Philippines,0,-1000.00
16888,ASCT-LT000008,TECHNOCARE,Payment,Unearned Rent Income,PR31373,GL0002885,2022-07-08,,B-001,Land Bank of the Philippines,0,-18510.50
16892,ASCT-LT000254,GOOGOO SWEET CAKE SHOP,Payment,Unearned Rent Income,PR31375,GL0002887,2022-07-08,,B-001,Land Bank of the Philippines,0,-18800.25
16890,ASCT-LT000043,K AND K VIBE AND AUZOCA PROPERTIES 01,Payment,Unearned Rent Income,PR31374,GL0002886,2022-07-08,,B-001,Land Bank of the Philippines,0,-27455.00
16894,ASCT-LT000036,M Lhuillier,Payment,Unearned Rent Income,PR31376,GL0002888,2022-07-08,,B-001,Land Bank of the Philippines,0,-34108.45
16897,ASCT-LT000263,GOODIE-H FOOD HUB,Payment,Cash in Bank (Peso),PR31377,GL0002890,2022-07-09,,B-001,Land Bank of the Philippines,17244.55,0
16898,ASCT-LT000263,GOODIE-H FOOD HUB,Payment,Unearned Rent Income,PR31377,GL0002890,2022-07-09,,B-001,Land Bank of the Philippines,0,-17244.55
16899,ASCT-LT000078,Sticker Race Prints and Design,Payment,Cash in Bank (Peso),PR031379,GL0002891,2022-07-11,,B-001,Land Bank of the Philippines,15046.50,0
16901,ASCT-LT000045,JJJ Key Services,Payment,Cash in Bank (Peso),PR031380,GL0002892,2022-07-11,,B-001,Land Bank of the Philippines,13638.00,0
16902,ASCT-LT000045,JJJ Key Services,Payment,Unearned Rent Income,PR031380,GL0002892,2022-07-11,,B-001,Land Bank of the Philippines,0,-13638.00
16900,ASCT-LT000078,Sticker Race Prints and Design,Payment,Unearned Rent Income,PR031379,GL0002891,2022-07-11,,B-001,Land Bank of the Philippines,0,-15046.50
16905,ASCT-LT000262,K AND K VIBE AND AUZOCA PROPERTIES 02,Payment,Cash in Bank (Peso),PR31381,GL0002894,2022-07-13,,B-001,Land Bank of the Philippines,36000.00,0
16903,ASCT-LT000262,K AND K VIBE AND AUZOCA PROPERTIES 02,Payment,Cash in Bank (Peso),PR31381,GL0002893,2022-07-13,,B-001,Land Bank of the Philippines,12840.00,0
16904,ASCT-LT000262,K AND K VIBE AND AUZOCA PROPERTIES 02,Payment,Unearned Rent Income,PR31381,GL0002893,2022-07-13,,B-001,Land Bank of the Philippines,0,-12840.00
16906,ASCT-LT000262,K AND K VIBE AND AUZOCA PROPERTIES 02,Payment,Security Deposit Payable,PR31381,GL0002894,2022-07-13,,B-001,Land Bank of the Philippines,0,-36000.00
17003,ASCT-LT000038,ASC TECH,Payment,Cash in Bank (Peso),PR31383,GL0002914,2022-07-14,,B-001,Land Bank of the Philippines,42941.10,0
17005,ASCT-LT000066,Aiztea,Payment,Check Receivable - PDC,PR31384,GL0002915,2022-07-14,,B-001,Land Bank of the Philippines,11184.00,0
17001,ASCT-LT000237,Terays Food Hub,Payment,Cash in Bank (Peso),PR31382,GL0002913,2022-07-14,,B-001,Land Bank of the Philippines,1000.00,0
17002,ASCT-LT000237,Terays Food Hub,Payment,Unearned Rent Income,PR31382,GL0002913,2022-07-14,,B-001,Land Bank of the Philippines,0,-1000.00
17006,ASCT-LT000066,Aiztea,Payment,Unearned Rent Income-PDC,PR31384,GL0002915,2022-07-14,,B-001,Land Bank of the Philippines,0,-11184.00
