ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
2562,ASCT-LT000033,ABENSON,Payment,Cash in Bank (Peso),PRPBI#974/JV#02-692,GL0000312,2019-01-03,,,,189600.11,0
2564,ASCT-LT000033,ABENSON,Payment,Cash in Bank (Peso),PRPBI#974/JV#02-692,GL0000354,2019-01-03,,,,144182.50,0
2560,ASCT-LT000033,ABENSON,Payment,Cash in Bank (Peso),PRPBI#974/JV#02-692,GL0000311,2019-01-03,,,,38448.66,0
2566,ASCT-LT000033,ABENSON,Payment,Cash in Bank (Peso),PRPBI#974/JV#02-692,GL0000355,2019-01-03,,,,24080.51,0
1912,ASCT-LT000035,Lugaw ni Bossing,Payment,Cash in Bank (Peso),PR030037,GL0000300,2019-01-03,,B-001,Land Bank of the Philippines,5564.00,0
1914,ASCT-LT000035,Lugaw ni Bossing,Payment,Cash in Bank (Peso),PR030037,GL0000301,2019-01-03,,B-001,Land Bank of the Philippines,2428.67,0
1916,ASCT-LT000035,Lugaw ni Bossing,Payment,Cash in Bank (Peso),PR030037,GL0000313,2019-01-03,,B-001,Land Bank of the Philippines,7.33,0
1917,ASCT-LT000035,Lugaw ni Bossing,Payment,Unearned Rent Income,PR030037,GL0000313,2019-01-03,,B-001,Land Bank of the Philippines,0,-7.33
1915,ASCT-LT000035,Lugaw ni Bossing,Payment,A/R  Non Trade External,PR030037,GL0000301,2019-01-03,,B-001,Land Bank of the Philippines,0,-2428.67
1913,ASCT-LT000035,Lugaw ni Bossing,Payment,Rent Receivables,PR030037,GL0000300,2019-01-03,,B-001,Land Bank of the Philippines,0,-5564.00
2567,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PRPBI#974/JV#02-692,GL0000355,2019-01-03,,,,0,-24080.51
2561,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PRPBI#974/JV#02-692,GL0000311,2019-01-03,,,,0,-38448.66
2565,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PRPBI#974/JV#02-692,GL0000354,2019-01-03,,,,0,-144182.50
2563,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PRPBI#974/JV#02-692,GL0000312,2019-01-03,,,,0,-189600.11
1918,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR030038,GL0000279,2019-01-07,,B-001,Land Bank of the Philippines,12840.00,0
1922,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR030039,GL0000275,2019-01-07,,B-001,Land Bank of the Philippines,10700.00,0
1924,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR030039,GL0000276,2019-01-07,,B-001,Land Bank of the Philippines,1836.55,0
1920,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR030038,GL0000280,2019-01-07,,B-001,Land Bank of the Philippines,1334.00,0
1921,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,PR030038,GL0000280,2019-01-07,,B-001,Land Bank of the Philippines,0,-1334.00
1925,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR030039,GL0000276,2019-01-07,,B-001,Land Bank of the Philippines,0,-1836.55
1923,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR030039,GL0000275,2019-01-07,,B-001,Land Bank of the Philippines,0,-10700.00
1919,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,PR030038,GL0000279,2019-01-07,,B-001,Land Bank of the Philippines,0,-12840.00
1934,ASCT-LT000037,Miche Cellphone Accessories,Payment,Cash in Bank (Peso),PR030042,GL0000298,2019-01-08,,B-001,Land Bank of the Philippines,21400.00,0
1930,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR030041,GL0000283,2019-01-08,,B-001,Land Bank of the Philippines,12840.00,0
1926,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Cash in Bank (Peso),PR030040,GL0000277,2019-01-08,,B-001,Land Bank of the Philippines,12840.00,0
1982,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PRCHECK1550843,GL0000270,2019-01-08,,B-001,Land Bank of the Philippines,10700.00,0
1932,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR030041,GL0000284,2019-01-08,,B-001,Land Bank of the Philippines,4633.35,0
1936,ASCT-LT000037,Miche Cellphone Accessories,Payment,Cash in Bank (Peso),PR030042,GL0000299,2019-01-08,,B-001,Land Bank of the Philippines,2343.50,0
1984,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PRCHECK1550843,GL0000271,2019-01-08,,B-001,Land Bank of the Philippines,2102.20,0
1928,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Cash in Bank (Peso),PR030040,GL0000278,2019-01-08,,B-001,Land Bank of the Philippines,1259.25,0
1929,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,PR030040,GL0000278,2019-01-08,,B-001,Land Bank of the Philippines,0,-1259.25
1985,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PRCHECK1550843,GL0000271,2019-01-08,,B-001,Land Bank of the Philippines,0,-2102.20
1937,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR030042,GL0000299,2019-01-08,,B-001,Land Bank of the Philippines,0,-2343.50
1933,ASCT-LT000013,MASTER SIOMAI,Payment,A/R  Non Trade External,PR030041,GL0000284,2019-01-08,,B-001,Land Bank of the Philippines,0,-4633.35
1983,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PRCHECK1550843,GL0000270,2019-01-08,,B-001,Land Bank of the Philippines,0,-10700.00
1931,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,PR030041,GL0000283,2019-01-08,,B-001,Land Bank of the Philippines,0,-12840.00
1927,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,PR030040,GL0000277,2019-01-08,,B-001,Land Bank of the Philippines,0,-12840.00
1935,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR030042,GL0000298,2019-01-08,,B-001,Land Bank of the Philippines,0,-21400.00
1946,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),PR030121,GL0000296,2019-01-09,,B-001,Land Bank of the Philippines,12840.00,0
1942,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Cash in Bank (Peso),PR030119,GL0000285,2019-01-09,,B-001,Land Bank of the Philippines,12040.00,0
1952,ASCT-LT000009,SAVE N EARN,Payment,Cash in Bank (Peso),PR030120,GL0000281,2019-01-09,,B-001,Land Bank of the Philippines,10700.00,0
1938,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Cash in Bank (Peso),PR030118,GL0000287,2019-01-09,,B-001,Land Bank of the Philippines,10700.00,0
1956,ASCT-LT000010,VIRGINIA HOTDOG,Payment,Cash in Bank (Peso),PR030112,GL0000302,2019-01-09,,B-001,Land Bank of the Philippines,10443.34,0
1948,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),PR030121,GL0000297,2019-01-09,,B-001,Land Bank of the Philippines,7475.00,0
1940,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Cash in Bank (Peso),PR030118,GL0000288,2019-01-09,,B-001,Land Bank of the Philippines,3822.60,0
1944,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Cash in Bank (Peso),PR030119,GL0000286,2019-01-09,,B-001,Land Bank of the Philippines,2921.00,0
1954,ASCT-LT000009,SAVE N EARN,Payment,Cash in Bank (Peso),PR030120,GL0000282,2019-01-09,,B-001,Land Bank of the Philippines,1352.40,0
1958,ASCT-LT000010,VIRGINIA HOTDOG,Payment,Cash in Bank (Peso),PR030112,GL0000303,2019-01-09,,B-001,Land Bank of the Philippines,1150.00,0
1950,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),PR030121,GL0000304,2019-01-09,,B-001,Land Bank of the Philippines,200.00,0
1951,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030121,GL0000304,2019-01-09,,B-001,Land Bank of the Philippines,0,-200.00
1959,ASCT-LT000010,VIRGINIA HOTDOG,Payment,A/R  Non Trade External,PR030112,GL0000303,2019-01-09,,B-001,Land Bank of the Philippines,0,-1150.00
1955,ASCT-LT000009,SAVE N EARN,Payment,A/R  Non Trade External,PR030120,GL0000282,2019-01-09,,B-001,Land Bank of the Philippines,0,-1352.40
1945,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,PR030119,GL0000286,2019-01-09,,B-001,Land Bank of the Philippines,0,-2921.00
1941,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,PR030118,GL0000288,2019-01-09,,B-001,Land Bank of the Philippines,0,-3822.60
1949,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030121,GL0000297,2019-01-09,,B-001,Land Bank of the Philippines,0,-7475.00
1957,ASCT-LT000010,VIRGINIA HOTDOG,Payment,Rent Receivables,PR030112,GL0000302,2019-01-09,,B-001,Land Bank of the Philippines,0,-10443.34
1953,ASCT-LT000009,SAVE N EARN,Payment,Rent Receivables,PR030120,GL0000281,2019-01-09,,B-001,Land Bank of the Philippines,0,-10700.00
1939,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,PR030118,GL0000287,2019-01-09,,B-001,Land Bank of the Philippines,0,-10700.00
1943,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,PR030119,GL0000285,2019-01-09,,B-001,Land Bank of the Philippines,0,-12040.00
1947,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PR030121,GL0000296,2019-01-09,,B-001,Land Bank of the Philippines,0,-12840.00
1960,ASCT-LT000017,BUKO FACTORY,Payment,Cash in Bank (Peso),PR030043,GL0000294,2019-01-10,,B-001,Land Bank of the Philippines,12840.00,0
