ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
18718,ASCT-LT000009,SAVE N EARN,Invoice,MI-Light and Power,ASCT-IC0002529,GL0003230,2022-01-31,2022-02-08,,,0,-54.00
19333,ASCT-LT000209,Oppo,Invoice,MI-Penalties,ASCT-IC0002627,GL0003340,2022-01-31,2022-02-08,,,0,-65.34
19643,ASCT-LT000172,SAVE N EARN 02,Invoice,MI-Penalties,ASCT-IC0002679,GL0003392,2022-01-31,2022-02-08,,,0,-65.34
20153,ASCT-LT000038,ASC TECH,Invoice,MI-Water,ASCT-IC0002750,GL0003465,2022-01-31,2022-02-08,,,0,-74.00
18354,ASCT-LT000008,TECHNOCARE,Invoice,MI-Light and Power,ASCT-IC0002477,GL0003178,2022-01-31,2022-02-08,,,0,-160.20
18184,ASCT-LT000007,JEWELRICH,Invoice,MI-Charges,ASCT-IC0002450,GL0003151,2022-01-31,2022-02-08,,,0,-250.00
18545,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,MI-Charges,ASCT-IC0002504,GL0003205,2022-01-31,2022-02-08,,,0,-250.00
20398,ASCT-LT000037,Miche Cellphone Accessories,Invoice,MI-Charges,ASCT-IC0002782,GL0003503,2022-01-31,2022-02-08,,,0,-250.00
18719,ASCT-LT000009,SAVE N EARN,Invoice,MI-Charges,ASCT-IC0002529,GL0003230,2022-01-31,2022-02-08,,,0,-250.00
18355,ASCT-LT000008,TECHNOCARE,Invoice,MI-Charges,ASCT-IC0002477,GL0003178,2022-01-31,2022-02-08,,,0,-250.00
16920,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,MI-Charges,ASCT-IC0002287,GL0002897,2022-01-31,2022-02-08,,,0,-250.00
19016,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,MI-Charges,ASCT-IC0002575,GL0003280,2022-01-31,2022-02-08,,,0,-250.00
20152,ASCT-LT000038,ASC TECH,Invoice,MI-Charges,ASCT-IC0002750,GL0003465,2022-01-31,2022-02-08,,,0,-322.30
20397,ASCT-LT000037,Miche Cellphone Accessories,Invoice,MI-Light and Power,ASCT-IC0002782,GL0003503,2022-01-31,2022-02-08,,,0,-396.00
20396,ASCT-LT000037,Miche Cellphone Accessories,Invoice,MI-Common Utilities,ASCT-IC0002782,GL0003503,2022-01-31,2022-02-08,,,0,-400.00
16614,ASCT-LT000238,Robotic Touch Massage Services,Invoice,MI-Light and Power,ASCT-IC0002261,GL0002798,2022-01-31,2022-02-08,,,0,-414.00
18183,ASCT-LT000007,JEWELRICH,Invoice,MI-Common Utilities,ASCT-IC0002450,GL0003151,2022-01-31,2022-02-08,,,0,-500.00
18544,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,MI-Common Utilities,ASCT-IC0002504,GL0003205,2022-01-31,2022-02-08,,,0,-500.00
19801,ASCT-LT000013,MASTER SIOMAI,Invoice,MI-Common Utilities,ASCT-IC0002703,GL0003417,2022-01-31,2022-02-08,,,0,-500.00
19339,ASCT-LT000209,Oppo,Invoice,MI-Common Utilities,ASCT-IC0002629,GL0003342,2022-01-31,2022-02-08,,,0,-500.00
19340,ASCT-LT000209,Oppo,Invoice,MI-Charges,ASCT-IC0002629,GL0003342,2022-01-31,2022-02-08,,,0,-500.00
16613,ASCT-LT000238,Robotic Touch Massage Services,Invoice,MI-Common Utilities,ASCT-IC0002261,GL0002798,2022-01-31,2022-02-08,,,0,-500.00
16615,ASCT-LT000238,Robotic Touch Massage Services,Invoice,MI-Charges,ASCT-IC0002261,GL0002798,2022-01-31,2022-02-08,,,0,-500.00
18717,ASCT-LT000009,SAVE N EARN,Invoice,MI-Common Utilities,ASCT-IC0002529,GL0003230,2022-01-31,2022-02-08,,,0,-500.00
19649,ASCT-LT000172,SAVE N EARN 02,Invoice,MI-Aircon Charges,ASCT-IC0002681,GL0003394,2022-01-31,2022-02-08,,,0,-500.00
17888,ASCT-LT000078,Sticker Race Prints and Design,Invoice,MI-Common Utilities,ASCT-IC0002417,GL0003093,2022-01-31,2022-02-08,,,0,-500.00
