ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
17337,ASCT-LT000237,Terays Food Hub,Invoice,Rent Income,ASCT-IC0002343,GL0002999,2022-01-31,2022-02-08,,,0,-5000.00
19337,ASCT-LT000209,Oppo,Invoice,Rent Income,ASCT-IC0002628,GL0003341,2022-01-31,2022-02-08,,,0,-7741.94
19647,ASCT-LT000172,SAVE N EARN 02,Invoice,Rent Income,ASCT-IC0002680,GL0003393,2022-01-31,2022-02-08,,,0,-7741.94
17886,ASCT-LT000078,Sticker Race Prints and Design,Invoice,Rent Income,ASCT-IC0002416,GL0003092,2022-01-31,2022-02-08,,,0,-8000.00
19012,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Income,ASCT-IC0002574,GL0003279,2022-01-31,2022-02-08,,,0,-8000.00
16916,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Rent Income,ASCT-IC0002286,GL0002896,2022-01-31,2022-02-08,,,0,-8161.29
18542,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Income,ASCT-IC0002503,GL0003204,2022-01-31,2022-02-08,,,0,-10000.00
19799,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Income,ASCT-IC0002702,GL0003416,2022-01-31,2022-02-08,,,0,-10000.00
16611,ASCT-LT000238,Robotic Touch Massage Services,Invoice,Rent Income,ASCT-IC0002260,GL0002797,2022-01-31,2022-02-08,,,0,-10000.00
18715,ASCT-LT000009,SAVE N EARN,Invoice,Rent Income,ASCT-IC0002528,GL0003229,2022-01-31,2022-02-08,,,0,-11000.00
18181,ASCT-LT000007,JEWELRICH,Invoice,Rent Income,ASCT-IC0002449,GL0003150,2022-01-31,2022-02-08,,,0,-12000.00
20341,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Income,ASCT-IC0002775,GL0003495,2022-01-31,2022-02-08,,,0,-15000.00
20394,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Income,ASCT-IC0002781,GL0003502,2022-01-31,2022-02-08,,,0,-15000.00
18351,ASCT-LT000008,TECHNOCARE,Invoice,Rent Income,ASCT-IC0002476,GL0003177,2022-01-31,2022-02-08,,,0,-15000.00
20148,ASCT-LT000038,ASC TECH,Invoice,Rent Income,ASCT-IC0002749,GL0003464,2022-01-31,2022-02-08,,,0,-19250.00
20882,ASCT-LT000214,The Buzz Cafe,Invoice,Rent Income,ASCT-IC0002857,GL0003580,2022-01-31,2022-02-08,,,0,-33746.25
20652,ASCT-LT000073,PNB,Invoice,Rent Income,ASCT-IC0002828,GL0003550,2022-01-31,2022-02-08,,,0,-43000.00
17353,ASCT-LT000237,Terays Food Hub,Invoice,Rent Income,ASCT-IC0002345,GL0003001,2022-02-28,2022-03-08,,,0,-5000.00
17901,ASCT-LT000078,Sticker Race Prints and Design,Invoice,Rent Income,ASCT-IC0002418,GL0003094,2022-02-28,2022-03-08,,,0,-8000.00
19028,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Income,ASCT-IC0002577,GL0003282,2022-02-28,2022-03-08,,,0,-8000.00
18555,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Income,ASCT-IC0002505,GL0003206,2022-02-28,2022-03-08,,,0,-10000.00
19820,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Income,ASCT-IC0002704,GL0003418,2022-02-28,2022-03-08,,,0,-10000.00
19351,ASCT-LT000209,Oppo,Invoice,Rent Income,ASCT-IC0002631,GL0003344,2022-02-28,2022-03-08,,,0,-10000.00
16625,ASCT-LT000238,Robotic Touch Massage Services,Invoice,Rent Income,ASCT-IC0002263,GL0002800,2022-02-28,2022-03-08,,,0,-10000.00
19663,ASCT-LT000172,SAVE N EARN 02,Invoice,Rent Income,ASCT-IC0002683,GL0003396,2022-02-28,2022-03-08,,,0,-10000.00
18730,ASCT-LT000009,SAVE N EARN,Invoice,Rent Income,ASCT-IC0002531,GL0003232,2022-02-28,2022-03-08,,,0,-11000.00
16924,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Rent Income,ASCT-IC0002288,GL0002898,2022-02-28,2022-03-08,,,0,-11000.00
18194,ASCT-LT000007,JEWELRICH,Invoice,Rent Income,ASCT-IC0002451,GL0003152,2022-02-28,2022-03-08,,,0,-12000.00
18365,ASCT-LT000008,TECHNOCARE,Invoice,Rent Income,ASCT-IC0002478,GL0003179,2022-02-28,2022-03-08,,,0,-15000.00
20163,ASCT-LT000038,ASC TECH,Invoice,Rent Income,ASCT-IC0002751,GL0003466,2022-02-28,2022-03-08,,,0,-19250.00
20902,ASCT-LT000214,The Buzz Cafe,Invoice,Rent Income,ASCT-IC0002859,GL0003583,2022-02-28,2022-03-08,,,0,-33746.25
20665,ASCT-LT000073,PNB,Invoice,Rent Income,ASCT-IC0002830,GL0003552,2022-02-28,2022-03-08,,,0,-43000.00
16570,ASCT-LT000254,GOOGOO SWEET CAKE SHOP,Invoice,Rent Income,ASCT-IC0002253,GL0002789,2022-03-31,2022-04-08,,,0,-2322.58
17373,ASCT-LT000237,Terays Food Hub,Invoice,Rent Income,ASCT-IC0002347,GL0003003,2022-03-31,2022-04-08,,,0,-5000.00
17916,ASCT-LT000078,Sticker Race Prints and Design,Invoice,Rent Income,ASCT-IC0002420,GL0003096,2022-03-31,2022-04-08,,,0,-8000.00
19043,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Income,ASCT-IC0002580,GL0003285,2022-03-31,2022-04-08,,,0,-8000.00
18570,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Income,ASCT-IC0002507,GL0003208,2022-03-31,2022-04-08,,,0,-10000.00
19843,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Income,ASCT-IC0002706,GL0003421,2022-03-31,2022-04-08,,,0,-10000.00
19366,ASCT-LT000209,Oppo,Invoice,Rent Income,ASCT-IC0002634,GL0003347,2022-03-31,2022-04-08,,,0,-10000.00
16640,ASCT-LT000238,Robotic Touch Massage Services,Invoice,Rent Income,ASCT-IC0002266,GL0002803,2022-03-31,2022-04-08,,,0,-10000.00
19679,ASCT-LT000172,SAVE N EARN 02,Invoice,Rent Income,ASCT-IC0002686,GL0003399,2022-03-31,2022-04-08,,,0,-10000.00
18748,ASCT-LT000009,SAVE N EARN,Invoice,Rent Income,ASCT-IC0002534,GL0003236,2022-03-31,2022-04-08,,,0,-11000.00
16937,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Rent Income,ASCT-IC0002290,GL0002900,2022-03-31,2022-04-08,,,0,-11000.00
18209,ASCT-LT000007,JEWELRICH,Invoice,Rent Income,ASCT-IC0002453,GL0003154,2022-03-31,2022-04-08,,,0,-12000.00
18381,ASCT-LT000008,TECHNOCARE,Invoice,Rent Income,ASCT-IC0002480,GL0003181,2022-03-31,2022-04-08,,,0,-15000.00
20176,ASCT-LT000038,ASC TECH,Invoice,Rent Income,ASCT-IC0002753,GL0003468,2022-03-31,2022-04-08,,,0,-19250.00
17398,ASCT-LT000237,Terays Food Hub,Invoice,Rent Income,ASCT-IC0002349,GL0003005,2022-04-30,2022-05-08,,,0,-5000.00
19379,ASCT-LT000209,Oppo,Invoice,Rent Income,ASCT-IC0002636,GL0003349,2022-04-30,2022-05-08,,,0,-10000.00
16650,ASCT-LT000238,Robotic Touch Massage Services,Invoice,Rent Income,ASCT-IC0002268,GL0002805,2022-04-30,2022-05-08,,,0,-10000.00
19693,ASCT-LT000172,SAVE N EARN 02,Invoice,Rent Income,ASCT-IC0002688,GL0003401,2022-04-30,2022-05-08,,,0,-10000.00
17931,ASCT-LT000078,Sticker Race Prints and Design,Invoice,Rent Income,ASCT-IC0002422,GL0003098,2022-04-30,2022-05-08,,,0,-10000.00
18763,ASCT-LT000009,SAVE N EARN,Invoice,Rent Income,ASCT-IC0002536,GL0003238,2022-04-30,2022-05-08,,,0,-11000.00
16946,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Rent Income,ASCT-IC0002292,GL0002902,2022-04-30,2022-05-08,,,0,-11000.00
16582,ASCT-LT000254,GOOGOO SWEET CAKE SHOP,Invoice,Rent Income,ASCT-IC0002255,GL0002791,2022-04-30,2022-05-08,,,0,-12000.00
18585,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Income,ASCT-IC0002509,GL0003210,2022-04-30,2022-05-08,,,0,-13200.00
19865,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Income,ASCT-IC0002708,GL0003423,2022-04-30,2022-05-08,,,0,-13200.00
19060,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Income,ASCT-IC0002583,GL0003288,2022-04-30,2022-05-08,,,0,-13200.00
18224,ASCT-LT000007,JEWELRICH,Invoice,Rent Income,ASCT-IC0002455,GL0003156,2022-04-30,2022-05-08,,,0,-15000.00
18397,ASCT-LT000008,TECHNOCARE,Invoice,Rent Income,ASCT-IC0002482,GL0003183,2022-04-30,2022-05-08,,,0,-15000.00
20192,ASCT-LT000038,ASC TECH,Invoice,Rent Income,ASCT-IC0002755,GL0003470,2022-04-30,2022-05-08,,,0,-22000.00
16702,ASCT-ST000018,NEW IMAGE ALPHA LIPID LIFELINE,Invoice,Rent Income,ASCT-IC0002273,GL0002820,2022-05-15,2022-05-23,,,0,-1500.00
17410,ASCT-LT000237,Terays Food Hub,Invoice,Rent Income,ASCT-IC0002351,GL0003007,2022-05-31,2022-06-08,,,0,-5000.00
16795,ASCT-LT000263,GOODIE-H FOOD HUB,Invoice,Rent Income,ASCT-IC0002277,GL0002857,2022-05-31,2022-06-08,,,0,-7096.77
16780,ASCT-LT000256,GANGNAM OPPA CAFE,Invoice,Rent Income,ASCT-IC0002275,GL0002854,2022-05-31,2022-06-08,,,0,-7741.94
19392,ASCT-LT000209,Oppo,Invoice,Rent Income,ASCT-IC0002638,GL0003351,2022-05-31,2022-06-08,,,0,-10000.00
16831,ASCT-LT000238,Robotic Touch Massage Services,Invoice,Rent Income,ASCT-IC0002282,GL0002862,2022-05-31,2022-06-08,,,0,-10000.00
19709,ASCT-LT000172,SAVE N EARN 02,Invoice,Rent Income,ASCT-IC0002690,GL0003403,2022-05-31,2022-06-08,,,0,-10000.00
17948,ASCT-LT000078,Sticker Race Prints and Design,Invoice,Rent Income,ASCT-IC0002424,GL0003100,2022-05-31,2022-06-08,,,0,-10000.00
18778,ASCT-LT000009,SAVE N EARN,Invoice,Rent Income,ASCT-IC0002538,GL0003240,2022-05-31,2022-06-08,,,0,-11000.00
