ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
199,ASCT-ST000001,Suzuki,Invoice,Rent Income,ASCT-IC0000026,GL0000033,2018-06-15,2018-07-14,,,0,-15000.00
79,ASCT-LT000009,SAVE N EARN,Invoice,Rent Income,ASCT-IC0000018,GL0000021,2018-06-30,2018-07-08,,,0,-4333.33
40,ASCT-LT000008,TECHNOCARE,Invoice,Rent Income,ASCT-IC0000010,GL0000013,2018-06-30,2018-07-08,,,0,-4333.33
32,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Income,ASCT-IC0000008,GL0000011,2018-06-30,2018-07-08,,,0,-4333.33
87,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Income,ASCT-IC0000020,GL0000023,2018-06-30,2018-07-08,,,0,-5200.00
51,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Income,ASCT-IC0000012,GL0000016,2018-06-30,2018-07-08,,,0,-5200.00
100,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Income,ASCT-IC0000022,GL0000025,2018-06-30,2018-07-08,,,0,-5200.00
66,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Income,ASCT-IC0000016,GL0000019,2018-06-30,2018-07-08,,,0,-7600.00
290,ASCT-LT000009,SAVE N EARN,Invoice,Rent Income,ASCT-IC0000042,GL0000049,2018-07-31,2018-08-08,,,0,-10000.00
229,ASCT-LT000008,TECHNOCARE,Invoice,Rent Income,ASCT-IC0000030,GL0000037,2018-07-31,2018-08-08,,,0,-10000.00
207,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Income,ASCT-IC0000028,GL0000035,2018-07-31,2018-08-08,,,0,-10000.00
349,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Rent Income,ASCT-IC0000049,GL0000056,2018-07-31,2018-08-08,,,0,-10000.00
328,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Income,ASCT-IC0000047,GL0000054,2018-07-31,2018-08-08,,,0,-12000.00
270,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Income,ASCT-IC0000037,GL0000044,2018-07-31,2018-08-08,,,0,-12000.00
240,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Income,ASCT-IC0000032,GL0000039,2018-07-31,2018-08-08,,,0,-12000.00
279,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Income,ASCT-IC0000039,GL0000046,2018-07-31,2018-08-08,,,0,-12000.00
580,ASCT-LT000007,JEWELRICH,Invoice,Rent Income,ASCT-IC0000086,GL0000098,2018-07-31,2018-08-08,,,0,-18000.00
367,ASCT-ST000002,LEYLAM - Exhibit,Invoice,Rent Income,ASCT-IC0000051,GL0000058,2018-08-01,2018-08-22,,,0,-9000.00
514,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Income,ASCT-IC0000078,GL0000090,2018-08-31,2018-09-08,,,0,-8387.10
523,ASCT-LT000017,BUKO FACTORY,Invoice,Rent Income,ASCT-IC0000080,GL0000092,2018-08-31,2018-09-08,,,0,-9290.32
546,ASCT-LT000009,SAVE N EARN,Invoice,Rent Income,ASCT-IC0000084,GL0000096,2018-08-31,2018-09-08,,,0,-10000.00
427,ASCT-LT000008,TECHNOCARE,Invoice,Rent Income,ASCT-IC0000062,GL0000073,2018-08-31,2018-09-08,,,0,-10000.00
418,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Income,ASCT-IC0000060,GL0000071,2018-08-31,2018-09-08,,,0,-10000.00
485,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,Rent Income,ASCT-IC0000073,GL0000084,2018-08-31,2018-09-08,,,0,-10000.00
641,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Income,ASCT-IC0000090,GL0000103,2018-08-31,2018-09-08,,,0,-11290.32
