ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
24550,ASCT-LT000237,Terays Food Hub,Invoice,MI-Water,ASCT-IC0003292,GL0004150,2023-01-31,2023-02-08,,,0,-222.00
22744,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,MI-Light and Power,ASCT-IC0003060,GL0003900,2023-01-31,2023-02-08,,,0,-232.50
26898,ASCT-LT000066,Aiztea,Invoice,MI-Charges,ASCT-IC0003633,GL0004491,2023-01-31,2023-02-08,,,0,-250.00
27668,ASCT-LT000074,J.A.C.M. A. Food Hub,Invoice,MI-Charges,ASCT-IC0003745,GL0004602,2023-01-31,2023-02-08,,,0,-250.00
21762,ASCT-LT000007,JEWELRICH,Invoice,MI-Charges,ASCT-IC0002942,GL0003782,2023-01-31,2023-02-08,,,0,-250.00
23542,ASCT-LT000019,LEYLAM,Invoice,MI-Charges,ASCT-IC0003172,GL0004015,2023-01-31,2023-02-08,,,0,-250.00
22745,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,MI-Charges,ASCT-IC0003060,GL0003900,2023-01-31,2023-02-08,,,0,-250.00
22992,ASCT-LT000013,MASTER SIOMAI,Invoice,MI-Charges,ASCT-IC0003096,GL0003937,2023-01-31,2023-02-08,,,0,-250.00
29664,ASCT-LT000037,Miche Cellphone Accessories,Invoice,MI-Charges,ASCT-IC0004031,GL0004909,2023-01-31,2023-02-08,,,0,-250.00
26271,ASCT-LT000046,Potato Corner,Invoice,MI-Charges,ASCT-IC0003541,GL0004399,2023-01-31,2023-02-08,,,0,-250.00
22821,ASCT-LT000009,SAVE N EARN,Invoice,MI-Charges,ASCT-IC0003072,GL0003912,2023-01-31,2023-02-08,,,0,-250.00
21846,ASCT-LT000008,TECHNOCARE,Invoice,MI-Charges,ASCT-IC0002954,GL0003794,2023-01-31,2023-02-08,,,0,-250.00
21684,ASCT-LT000010,VIRGINIA HOTDOG,Invoice,MI-Charges,ASCT-IC0002930,GL0003770,2023-01-31,2023-02-08,,,0,-250.00
30620,ASCT-LT000016,WAFFLE TIME,Invoice,MI-Charges,ASCT-IC0004158,GL0005038,2023-01-31,2023-02-08,,,0,-250.00
23080,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,MI-Charges,ASCT-IC0003108,GL0003949,2023-01-31,2023-02-08,,,0,-250.00
21761,ASCT-LT000007,JEWELRICH,Invoice,MI-Light and Power,ASCT-IC0002942,GL0003782,2023-01-31,2023-02-08,,,0,-270.00
24833,ASCT-LT000073,PNB,Invoice,MI-Water,ASCT-IC0003332,GL0004190,2023-01-31,2023-02-08,,,0,-296.00
22145,ASCT-LT000034,RED RIBBON,Invoice,MI-Water,ASCT-IC0002997,GL0003837,2023-01-31,2023-02-08,,,0,-296.00
30618,ASCT-LT000016,WAFFLE TIME,Invoice,MI-Common Utilities,ASCT-IC0004158,GL0005038,2023-01-31,2023-02-08,,,0,-400.00
25795,ASCT-LT000045,JJJ Key Services,Invoice,MI-Light and Power,ASCT-IC0003472,GL0004330,2023-01-31,2023-02-08,,,0,-433.50
29374,ASCT-LT000070,Boholanos Lechon House,Invoice,MI-Charges,ASCT-IC0003991,GL0004869,2023-01-31,2023-02-08,,,0,-500.00
27347,ASCT-LT000221,Golden Locket Jewelry Shop,Invoice,MI-Charges,ASCT-IC0003698,GL0004555,2023-01-31,2023-02-08,,,0,-500.00
27344,ASCT-LT000221,Golden Locket Jewelry Shop,Invoice,MI-Aircon Charges,ASCT-IC0003698,GL0004555,2023-01-31,2023-02-08,,,0,-500.00
27018,ASCT-LT000263,GOODIE-H FOOD HUB,Invoice,MI-Charges,ASCT-IC0003651,GL0004509,2023-01-31,2023-02-08,,,0,-500.00
25422,ASCT-LT000254,GOOGOO SWEET CAKE SHOP,Invoice,MI-Charges,ASCT-IC0003420,GL0004278,2023-01-31,2023-02-08,,,0,-500.00
26323,ASCT-LT000002,IDEAL VISION CENTER,Invoice,MI-Charges,ASCT-IC0003551,GL0004409,2023-01-31,2023-02-08,,,0,-500.00
27665,ASCT-LT000074,J.A.C.M. A. Food Hub,Invoice,MI-Aircon Charges,ASCT-IC0003745,GL0004602,2023-01-31,2023-02-08,,,0,-500.00
21759,ASCT-LT000007,JEWELRICH,Invoice,MI-Aircon Charges,ASCT-IC0002942,GL0003782,2023-01-31,2023-02-08,,,0,-500.00
25796,ASCT-LT000045,JJJ Key Services,Invoice,MI-Charges,ASCT-IC0003472,GL0004330,2023-01-31,2023-02-08,,,0,-500.00
24914,ASCT-LT000043,K AND K VIBE AND AUZOCA PROPERTIES 01,Invoice,MI-Charges,ASCT-IC0003345,GL0004203,2023-01-31,2023-02-08,,,0,-500.00
