ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
21371,ASCT-LT000237,Terays Food Hub,Payment,Rent Receivables,PR31586,GL0003010,2023-01-02,,B-001,Land Bank of the Philippines,0,-4430.08
21519,ASCT-ST000022,DJ MARCO EVENTS AND MANAGEMENT,Payment,Rent Receivables,PROR#31610,GL0003665,2023-01-05,,B-001,Land Bank of the Philippines,0,-21400.00
23531,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PROR#031612,GL0004012,2023-01-06,,B-001,Land Bank of the Philippines,0,-13482.00
26313,ASCT-LT000002,IDEAL VISION CENTER,Payment,Rent Receivables,PROR#031613,GL0004401,2023-01-06,,B-001,Land Bank of the Philippines,0,-34240.00
21385,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR31588,GL0003502,2023-01-07,,B-001,Land Bank of the Philippines,0,-2909.45
22824,ASCT-LT000009,SAVE N EARN,Payment,Rent Receivables,PROR#031611,GL0003909,2023-01-07,,B-001,Land Bank of the Philippines,0,-11770.00
21383,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR31588,GL0003495,2023-01-07,,B-001,Land Bank of the Philippines,0,-16050.00
22884,ASCT-LT000172,SAVE N EARN 02,Payment,Rent Receivables,PROR#031611,GL0003920,2023-01-07,,B-001,Land Bank of the Philippines,0,-74900.00
30645,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PROR#031615,GL0005033,2023-01-09,,B-001,Land Bank of the Philippines,0,-11770.00
31489,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PROR#031614,GL0005131,2023-01-10,,B-001,Land Bank of the Philippines,0,-151391.62
21399,ASCT-LT000262,K AND K VIBE AND AUZOCA PROPERTIES 02,Payment,Rent Receivables,PR31596,GL0003632,2023-01-11,,B-001,Land Bank of the Philippines,0,-6234.45
22599,ASCT-LT000077,CHOWKING,Payment,Rent Receivables,PRJV#01000123,GL0003881,2023-01-12,,,,0,-69935.43
31104,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PROR#031632,GL0005058,2023-01-12,,B-001,Land Bank of the Philippines,0,-396088.06
21673,ASCT-LT000010,VIRGINIA HOTDOG,Payment,Rent Receivables,PROR#31625,GL0003767,2023-01-13,,B-001,Land Bank of the Philippines,0,-11770.00
21413,ASCT-LT000214,The Buzz Cafe,Payment,Rent Receivables,PR31701,GL0003583,2023-01-16,,B-001,Land Bank of the Philippines,0,-28364.40
23069,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,PROR#031624,GL0003946,2023-01-17,,B-001,Land Bank of the Philippines,0,-14124.00
21425,ASCT-LT000256,GANGNAM OPPA CAFE,Payment,Rent Receivables,PR31704,GL0003311,2023-01-20,,B-001,Land Bank of the Philippines,0,-9547.07
21431,ASCT-LT000256,GANGNAM OPPA CAFE,Payment,Rent Receivables,PR31707,GL0003311,2023-01-25,,B-001,Land Bank of the Philippines,0,-1152.93
29438,ASCT-LT000058,For Me,Payment,Rent Receivables,PROR#031616,GL0004878,2023-01-26,,B-001,Land Bank of the Philippines,0,-16209.45
31957,ASCT-LT000059,Penshoppe,Payment,Rent Receivables,PROR#031616,GL0005206,2023-01-26,,B-001,Land Bank of the Philippines,0,-43870.00
30804,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0004180,GL0005060,2023-01-31,2023-02-08,,,283984.43,0
31370,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0004240,GL0005129,2023-01-31,2023-02-08,,,207406.59,0
31978,ASCT-LT000059,Penshoppe,Invoice,Rent Receivables,ASCT-IC0004313,GL0005211,2023-01-31,2023-02-08,,,94320.50,0
22887,ASCT-LT000172,SAVE N EARN 02,Invoice,Rent Receivables,ASCT-IC0003081,GL0003922,2023-01-31,2023-02-08,,,74900.00,0
22624,ASCT-LT000077,CHOWKING,Invoice,Rent Receivables,ASCT-IC0003045,GL0003885,2023-01-31,2023-02-08,,,59684.40,0
24266,ASCT-LT000214,The Buzz Cafe,Invoice,Rent Receivables,ASCT-IC0003251,GL0004109,2023-01-31,2023-02-08,,,48144.65,0
24828,ASCT-LT000073,PNB,Invoice,Rent Receivables,ASCT-IC0003331,GL0004189,2023-01-31,2023-02-08,,,40850.00,0
26316,ASCT-LT000002,IDEAL VISION CENTER,Invoice,Rent Receivables,ASCT-IC0003550,GL0004408,2023-01-31,2023-02-08,,,34240.00,0
23856,ASCT-LT000038,ASC TECH,Invoice,Rent Receivables,ASCT-IC0003207,GL0004058,2023-01-31,2023-02-08,,,29425.00,0
28377,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0003850,GL0004728,2023-01-31,2023-02-08,,,24717.00,0
21838,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0002953,GL0003793,2023-01-31,2023-02-08,,,23540.00,0
