ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
258900,ATT-LT000001,LEYLAM,Payment,Cash in Bank (Peso),PR02546,GL0039736,2022-06-06,,B-0001,PNB - ATT,42800.00,0
258904,ATT-LT000006,TURKS,Payment,Cash in Bank (Peso),PR02545/05022,GL0039754,2022-06-06,,B-0001,PNB - ATT,21400.00,0
258902,ATT-LT000001,LEYLAM,Payment,Cash in Bank (Peso),PR02546,GL0039737,2022-06-06,,B-0001,PNB - ATT,11170.55,0
258906,ATT-LT000006,TURKS,Payment,Cash in Bank (Peso),PR02545/05022,GL0039755,2022-06-06,,B-0001,PNB - ATT,8767.80,0
258907,ATT-LT000006,TURKS,Payment,A/R  Non Trade External,PR02545/05022,GL0039755,2022-06-06,,B-0001,PNB - ATT,0,-8767.80
258903,ATT-LT000001,LEYLAM,Payment,A/R  Non Trade External,PR02546,GL0039737,2022-06-06,,B-0001,PNB - ATT,0,-11170.55
258905,ATT-LT000006,TURKS,Payment,Rent Receivables,PR02545/05022,GL0039754,2022-06-06,,B-0001,PNB - ATT,0,-21400.00
258901,ATT-LT000001,LEYLAM,Payment,Rent Receivables,PR02546,GL0039736,2022-06-06,,B-0001,PNB - ATT,0,-42800.00
257455,ATT-LT000009,ALTURAS BREAD COTTAGE,Payment,Cash in Bank (Peso),PR02193,GL0039779,2022-06-07,,B-0001,PNB - ATT,97612.20,0
257453,ATT-LT000009,ALTURAS BREAD COTTAGE,Payment,Cash in Bank (Peso),PR02193,GL0039759,2022-06-07,,B-0001,PNB - ATT,28890.00,0
257454,ATT-LT000009,ALTURAS BREAD COTTAGE,Payment,Rent Receivables,PR02193,GL0039759,2022-06-07,,B-0001,PNB - ATT,0,-28890.00
257456,ATT-LT000009,ALTURAS BREAD COTTAGE,Payment,A/R  Non Trade External,PR02193,GL0039779,2022-06-07,,B-0001,PNB - ATT,0,-97612.20
257574,ATT-LT000029,SAVE N EARN WIRELESS,Payment,Cash in Bank (Peso),PR02543/05020,GL0039747,2022-06-09,,B-0001,PNB - ATT,21400.00,0
257576,ATT-LT000029,SAVE N EARN WIRELESS,Payment,Cash in Bank (Peso),PR02543/05020,GL0039748,2022-06-09,,B-0001,PNB - ATT,72.00,0
257577,ATT-LT000029,SAVE N EARN WIRELESS,Payment,A/R  Non Trade External,PR02543/05020,GL0039748,2022-06-09,,B-0001,PNB - ATT,0,-72.00
257575,ATT-LT000029,SAVE N EARN WIRELESS,Payment,Rent Receivables,PR02543/05020,GL0039747,2022-06-09,,B-0001,PNB - ATT,0,-21400.00
258124,ATT-LT000002,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR2557/5057,GL0039752,2022-06-10,,B-0001,PNB - ATT,26750.00,0
258126,ATT-LT000002,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR2557/5057,GL0039753,2022-06-10,,B-0001,PNB - ATT,6816.00,0
258127,ATT-LT000002,MASTER SIOMAI,Payment,A/R  Non Trade External,PR2557/5057,GL0039753,2022-06-10,,B-0001,PNB - ATT,0,-6816.00
258125,ATT-LT000002,MASTER SIOMAI,Payment,Rent Receivables,PR2557/5057,GL0039752,2022-06-10,,B-0001,PNB - ATT,0,-26750.00
