ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
245708,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0038552,GL0038310,2022-01-31,2022-02-08,,,0,-18000.00
245568,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0038543,GL0038297,2022-02-28,2022-03-08,,,0,-20000.00
245733,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0038556,GL0038315,2022-02-28,2022-03-08,,,0,-25000.00
246160,ATT-LT000006,TURKS,Invoice Adjustment,Rent Income,IC0038547,GL0038304,2022-03-31,2022-04-08,,,20000.00,0
245678,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0038550,GL0038308,2022-03-31,2022-04-08,,,0,-18000.00
245667,ATT-LT000006,TURKS,Invoice,Rent Income,IC0038548,GL0038306,2022-03-31,2022-04-08,,,0,-18709.64
246772,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0038587,GL0038356,2022-03-31,2022-04-08,,,0,-20000.00
245548,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0038541,GL0038295,2022-03-31,2022-04-08,,,0,-20000.00
245631,ATT-LT000006,TURKS,Invoice,Rent Income,IC0038547,GL0038304,2022-03-31,2022-04-08,,,0,-20000.00
245583,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0038545,GL0038300,2022-03-31,2022-04-08,,,0,-20000.00
245520,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0038539,GL0038293,2022-03-31,2022-04-08,,,0,-25000.00
245722,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0038554,GL0038313,2022-03-31,2022-04-08,,,0,-25000.00
245948,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0038574,GL0038333,2022-03-31,2022-04-08,,,0,-27000.00
246313,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0038581,GL0038347,2022-03-31,2022-04-08,,,0,-40000.00
245418,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0038537,GL0038287,2022-03-31,2022-04-08,,,0,-40000.00
250208,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0039180,GL0038975,2022-04-30,2022-05-08,,,0,-18000.00
250121,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0039163,GL0038958,2022-04-30,2022-05-08,,,0,-20000.00
250189,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0039176,GL0038971,2022-04-30,2022-05-08,,,0,-20000.00
250111,ATT-LT000006,TURKS,Invoice,Rent Income,IC0039161,GL0038956,2022-04-30,2022-05-08,,,0,-20000.00
250083,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0039156,GL0038951,2022-04-30,2022-05-08,,,0,-20000.00
250090,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0039158,GL0038953,2022-04-30,2022-05-08,,,0,-25000.00
250221,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0039184,GL0038979,2022-04-30,2022-05-08,,,0,-25000.00
250231,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0039186,GL0038981,2022-04-30,2022-05-08,,,0,-27000.00
250214,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0039182,GL0038977,2022-04-30,2022-05-08,,,0,-40000.00
250151,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0039169,GL0038964,2022-04-30,2022-05-08,,,0,-40000.00
256579,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0039900,GL0039757,2022-05-31,2022-06-08,,,0,-18000.00
256543,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0039891,GL0039747,2022-05-31,2022-06-08,,,0,-20000.00
256551,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0039893,GL0039750,2022-05-31,2022-06-08,,,0,-20000.00
256573,ATT-LT000006,TURKS,Invoice,Rent Income,IC0039897,GL0039754,2022-05-31,2022-06-08,,,0,-20000.00
256526,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0039889,GL0039743,2022-05-31,2022-06-08,,,0,-20000.00
256558,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0039895,GL0039752,2022-05-31,2022-06-08,,,0,-25000.00
256503,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0039886,GL0039740,2022-05-31,2022-06-08,,,0,-25000.00
256585,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0039902,GL0039759,2022-05-31,2022-06-08,,,0,-27000.00
256495,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0039884,GL0039738,2022-05-31,2022-06-08,,,0,-40000.00
256486,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0039882,GL0039736,2022-05-31,2022-06-08,,,0,-40000.00
262565,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0040641,GL0040575,2022-06-30,2022-07-08,,,0,-18000.00
262525,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0040633,GL0040567,2022-06-30,2022-07-08,,,0,-20000.00
262546,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0040639,GL0040573,2022-06-30,2022-07-08,,,0,-20000.00
