ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
304891,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0045912,GL0046321,2023-01-31,2023-02-08,,,0,-18000.00
304877,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0045908,GL0046317,2023-01-31,2023-02-08,,,0,-20000.00
304897,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0045914,GL0046323,2023-01-31,2023-02-08,,,0,-20000.00
304871,ATT-LT000006,TURKS,Invoice,Rent Income,IC0045906,GL0046315,2023-01-31,2023-02-08,,,0,-20000.00
304833,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0045896,GL0046305,2023-01-31,2023-02-08,,,0,-20000.00
304864,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0045904,GL0046313,2023-01-31,2023-02-08,,,0,-25000.00
304909,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0045918,GL0046327,2023-01-31,2023-02-08,,,0,-25000.00
305033,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0045941,GL0046350,2023-01-31,2023-02-08,,,0,-27000.00
304791,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0045892,GL0046301,2023-01-31,2023-02-08,,,0,-40000.00
304740,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0045882,GL0046291,2023-01-31,2023-02-08,,,0,-40000.00
311687,ATT-LT000029,SAVE N EARN WIRELESS,Invoice Adjustment,Rent Income,IC0046768,GL0047238,2023-02-28,2023-03-08,,,0,-2000.00
311567,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0046750,GL0047220,2023-02-28,2023-03-08,,,0,-18000.00
311621,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0046759,GL0047229,2023-02-28,2023-03-08,,,0,-20000.00
311464,ATT-LT000006,TURKS,Invoice,Rent Income,IC0046733,GL0047203,2023-02-28,2023-03-08,,,0,-20000.00
311426,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0046725,GL0047195,2023-02-28,2023-03-08,,,0,-20000.00
311673,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0046768,GL0047238,2023-02-28,2023-03-08,,,0,-22000.00
311485,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0046737,GL0047207,2023-02-28,2023-03-08,,,0,-25000.00
311644,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0046763,GL0047233,2023-02-28,2023-03-08,,,0,-25000.00
311652,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0046765,GL0047235,2023-02-28,2023-03-08,,,0,-27000.00
311374,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0046714,GL0047184,2023-02-28,2023-03-08,,,0,-40000.00
311347,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0046710,GL0047178,2023-02-28,2023-03-08,,,0,-40000.00
318628,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0047603,GL0048130,2023-03-31,2023-04-08,,,0,-18000.00
318580,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0047592,GL0048119,2023-03-31,2023-04-08,,,0,-20000.00
318614,ATT-LT000006,TURKS,Invoice,Rent Income,IC0047600,GL0048127,2023-03-31,2023-04-08,,,0,-20000.00
318591,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0047594,GL0048121,2023-03-31,2023-04-08,,,0,-20000.00
318608,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0047598,GL0048125,2023-03-31,2023-04-08,,,0,-22000.00
318559,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0047587,GL0048114,2023-03-31,2023-04-08,,,0,-25000.00
318573,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0047590,GL0048117,2023-03-31,2023-04-08,,,0,-25000.00
318639,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0047606,GL0048133,2023-03-31,2023-04-08,,,0,-27000.00
318525,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0047581,GL0048108,2023-03-31,2023-04-08,,,0,-40000.00
318541,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0047584,GL0048111,2023-03-31,2023-04-08,,,0,-40000.00
