ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
299343,ATT-LT000003,POTATO CORNER,Payment,Rent Receivables,PR2657/5113,GL0043023,2023-01-05,,B-0001,PNB - ATT,0,-26750.00
299339,ATT-LT000001,LEYLAM,Payment,Rent Receivables,PR2658,GL0045237,2023-01-06,,B-0001,PNB - ATT,0,-42800.00
299351,ATT-LT000029,SAVE N EARN WIRELESS,Payment,Rent Receivables,PR2660/5115,GL0045276,2023-01-09,,B-0001,PNB - ATT,0,-21400.00
299363,ATT-LT000006,TURKS,Payment,Rent Receivables,PR2659,GL0045301,2023-01-09,,B-0001,PNB - ATT,0,-21400.00
299367,ATT-LT000009,ALTURAS BREAD COTTAGE,Payment,Rent Receivables,PR2333,GL0045306,2023-01-10,,B-0001,PNB - ATT,0,-28890.00
299862,ATT-LT000002,MASTER SIOMAI,Payment,Rent Receivables,PR2569,GL0045266,2023-01-11,,B-0001,PNB - ATT,0,-26750.00
318487,ATT-LT000003,POTATO CORNER,Payment,Rent Receivables,PR2679/5125,GL0043840,2023-01-16,,B-0001,PNB - ATT,0,-26750.00
300677,ATT-LT000008,MFI-MARCELA CHICKEN,Payment,Rent Receivables,PR2418,GL0044647,2023-01-17,,B-0001,PNB - ATT,0,-19260.00
300681,ATT-LT000007,ZAGU,Payment,Rent Receivables,PR2662/5116,GL0045271,2023-01-17,,B-0001,PNB - ATT,0,-21400.00
301447,ATT-LT000008,MFI-MARCELA CHICKEN,Payment,Rent Receivables,PR2324,GL0045296,2023-01-24,,B-0001,PNB - ATT,0,-19260.00
302120,ATT-LT000004,GOLDILOCKS,Payment,Rent Receivables,PR2663,GL0045226,2023-01-26,,B-0001,PNB - ATT,0,-42800.00
304790,ATT-LT000004,GOLDILOCKS,Invoice,Rent Receivables,IC0045892,GL0046301,2023-01-31,2023-02-08,,,42800.00,0
304739,ATT-LT000001,LEYLAM,Invoice,Rent Receivables,IC0045882,GL0046291,2023-01-31,2023-02-08,,,42800.00,0
305032,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Receivables,IC0045941,GL0046350,2023-01-31,2023-02-08,,,28890.00,0
304863,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Receivables,IC0045904,GL0046313,2023-01-31,2023-02-08,,,26750.00,0
304908,ATT-LT000003,POTATO CORNER,Invoice,Rent Receivables,IC0045918,GL0046327,2023-01-31,2023-02-08,,,26750.00,0
304876,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Receivables,IC0045908,GL0046317,2023-01-31,2023-02-08,,,21400.00,0
304896,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Receivables,IC0045914,GL0046323,2023-01-31,2023-02-08,,,21400.00,0
304870,ATT-LT000006,TURKS,Invoice,Rent Receivables,IC0045906,GL0046315,2023-01-31,2023-02-08,,,21400.00,0
304832,ATT-LT000007,ZAGU,Invoice,Rent Receivables,IC0045896,GL0046305,2023-01-31,2023-02-08,,,21400.00,0
304890,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Receivables,IC0045912,GL0046321,2023-01-31,2023-02-08,,,19260.00,0
304916,ATT-LT000003,POTATO CORNER,Invoice,MI-Water,IC0045920,GL0046329,2023-01-31,2023-02-08,,,0,-16.00
304902,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Water,IC0045915,GL0046324,2023-01-31,2023-02-08,,,0,-16.00
304869,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Water,IC0045905,GL0046314,2023-01-31,2023-02-08,,,0,-64.00
304848,ATT-LT000007,ZAGU,Invoice,MI-Water,IC0045897,GL0046306,2023-01-31,2023-02-08,,,0,-80.00
304755,ATT-LT000001,LEYLAM,Invoice,MI-Water,IC0045885,GL0046294,2023-01-31,2023-02-08,,,0,-81.60
305040,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Water,IC0045942,GL0046351,2023-01-31,2023-02-08,,,0,-84.00
304886,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,MI-Light and Power,IC0045910,GL0046319,2023-01-31,2023-02-08,,,0,-140.00
304901,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Light and Power,IC0045915,GL0046324,2023-01-31,2023-02-08,,,0,-1062.00
304847,ATT-LT000007,ZAGU,Invoice,MI-Light and Power,IC0045897,GL0046306,2023-01-31,2023-02-08,,,0,-3360.00
304868,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Light and Power,IC0045905,GL0046314,2023-01-31,2023-02-08,,,0,-7720.00
304915,ATT-LT000003,POTATO CORNER,Invoice,MI-Light and Power,IC0045920,GL0046329,2023-01-31,2023-02-08,,,0,-8600.00
304875,ATT-LT000006,TURKS,Invoice,MI-Light and Power,IC0045907,GL0046316,2023-01-31,2023-02-08,,,0,-9682.00
304754,ATT-LT000001,LEYLAM,Invoice,MI-Light and Power,IC0045885,GL0046294,2023-01-31,2023-02-08,,,0,-13020.00
304891,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0045912,GL0046321,2023-01-31,2023-02-08,,,0,-18000.00
304877,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0045908,GL0046317,2023-01-31,2023-02-08,,,0,-20000.00
