ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
177196,ICM-LT000120,THE SUN SHOP,Payment,Rent Receivables-ARNTI,IP0000104,GL0023602,2020-10-01,,,,0,-7115.68
151723,ICM-LT000106,VANILLA ICE PEARL,Payment,Rent Receivables,PR040044,GL0023376,2020-10-01,,B-007,Land Bank of the Philippines,0,-10700.00
177194,ICM-LT000120,THE SUN SHOP,Payment,Rent Receivables-ARNTI,IP0000104,GL0023601,2020-10-01,,,,0,-53859.52
151949,ICM-LT000030,WATCH CENTRAL,Payment,Rent Receivables,PR040047,GL0023983,2020-10-02,,B-007,Land Bank of the Philippines,0,-13602.17
151836,ICM-LT000095,GARCIA PAWNSHOP,Payment,Rent Receivables,PR040046,GL0023143,2020-10-02,,B-007,Land Bank of the Philippines,0,-14747.70
152828,ICM-LT000004,RAI RAI KEN,Payment,Rent Receivables-RR Clearing,UFT0002543,GL0023711,2020-10-02,,B-012,Banks of the Philippine Islands,0,-15903.62
167490,ICM-LT000019,BENCH,Payment,Rent Receivables-RR Clearing,UFT0002931,GL0022372,2020-10-02,,B-012,Banks of the Philippine Islands,0,-56599.17
151978,ICM-LT000496,ORYSPA,Payment,Rent Receivables-PDC,PR040048,GL0023498,2020-10-03,,B-007,Land Bank of the Philippines,0,-10700.00
151990,ICM-LT000040,MOLE CELLPHONE SHOP,Payment,Rent Receivables,PR040050,GL0024065,2020-10-03,,B-007,Land Bank of the Philippines,0,-14830.20
151982,ICM-LT000098,THE RIGHT FIT,Payment,Rent Receivables,PR040049,GL0024243,2020-10-03,,B-007,Land Bank of the Philippines,0,-19983.69
148773,ICM-ST000565,Jojies Pa-initang Bol-anon - Exhibit 2,Invoice,Rent Receivables,IC0019368,GL0023847,2020-10-05,2020-10-13,,,16050.00,0
152636,ICM-LT000479,LEVIS,Payment,Rent Receivables-RR Clearing,UFT0002537,GL0023796,2020-10-05,,B-012,Banks of the Philippine Islands,0,-3831.57
152171,ICM-LT000217,JJJ KEY SERVICES,Payment,Rent Receivables,PR040053,GL0024299,2020-10-05,,B-007,Land Bank of the Philippines,0,-10700.00
152163,ICM-LT000096,METROBANK ATM,Payment,Rent Receivables,PR040051,GL0023351,2020-10-05,,B-007,Land Bank of the Philippines,0,-13196.05
152167,ICM-LT000049,WRENLEYS MOTOR PLAZA,Payment,Rent Receivables-PDC,PR040052,GL0024276,2020-10-05,,B-007,Land Bank of the Philippines,0,-38902.50
167494,ICM-LT000019,BENCH,Payment,Rent Receivables-RR Clearing,UFT0002932,GL0023090,2020-10-05,,B-012,Banks of the Philippine Islands,0,-56599.17
153726,ICM-LT000884,Gateway Motors Cebu Inc.,Payment,Rent Receivables-RR Clearing,UFT0002576,GL0023125,2020-10-05,,B-022,Banks of the Philippine Islands,0,-64200.00
152380,ICM-ST000052,TOYOTA,Payment,Rent Receivables,PR040057,GL0018786,2020-10-06,,B-007,Land Bank of the Philippines,0,-80.25
152392,ICM-LT000039,CELLPOINT,Payment,Rent Receivables,PR040059,GL0024069,2020-10-06,,B-007,Land Bank of the Philippines,0,-14830.20
152293,ICM-ST000228,JOJIES PA-INITANG BOL-ANON - SHORTERM,Payment,Rent Receivables,PR040055,GL0023846,2020-10-06,,B-007,Land Bank of the Philippines,0,-19260.00
177605,ICM-LT000492,POTATO CORNER- LG,Payment,Rent Receivables-RR Clearing,UFT0003191,GL0023210,2020-10-06,,B-011,BPI Alturas Supermarket Corp,0,-23968.00
152382,ICM-LT000043,PET CENTRAL ANIMAL CLINIC AND PET SHOP,Payment,Rent Receivables-PDC,PR040058,GL0024223,2020-10-06,,B-007,Land Bank of the Philippines,0,-31443.16
152388,ICM-LT000009,GOLDILOCKS,Payment,Rent Receivables-PDC,PR040056,GL0023759,2020-10-06,,B-007,Land Bank of the Philippines,0,-84300.12
151035,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,Rent Receivables,IC0020130,GL0024214,2020-10-07,2020-10-15,,,64200.00,0
152662,ICM-ST000123,BUKO JUICE,Payment,Rent Receivables,PR040062,GL0022073,2020-10-07,,B-007,Land Bank of the Philippines,0,-999.52
152664,ICM-ST000123,BUKO JUICE,Payment,Rent Receivables,PR040062,GL0022693,2020-10-07,,B-007,Land Bank of the Philippines,0,-1500.48
152437,ICM-LT000159,THE LEMON CO,Payment,Rent Receivables,PR040061,GL0024280,2020-10-07,,B-007,Land Bank of the Philippines,0,-10700.00
152506,ICM-LT000158,ZAMIN FOREIGN EXCHANGE,Payment,Rent Receivables,PR040066,GL0024173,2020-10-07,,B-007,Land Bank of the Philippines,0,-10700.00
152433,ICM-LT000113,MOBILE WORKS,Payment,Rent Receivables,PR040060,GL0024132,2020-10-07,,B-007,Land Bank of the Philippines,0,-12976.42
