ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
165502,ICM-LT000050,ALVAS CHICHARON,Payment,Cash in Bank (Peso),PR040231,GL0025786,2021-01-04,,B-007,Land Bank of the Philippines,18684.40,0
165625,ICM-LT000082,THIRSTY - LG,Payment,Cash in Bank (Peso),PR040237,GL0025819,2021-01-04,,B-007,Land Bank of the Philippines,17695.12,0
165615,ICM-LT000112,THIRSTY - UG,Payment,Cash in Bank (Peso),PR040236,GL0024780,2021-01-04,,B-007,Land Bank of the Philippines,15483.22,0
165611,ICM-LT000095,GARCIA PAWNSHOP,Payment,Cash in Bank (Peso),PR040238,GL0025798,2021-01-04,,B-007,Land Bank of the Philippines,14747.70,0
165522,ICM-LT000113,MOBILE WORKS,Payment,Cash in Bank (Peso),PR040234,GL0026580,2021-01-04,,B-007,Land Bank of the Philippines,12976.42,0
169501,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,PR042842,GL0022980,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169493,ICM-LT000177,SUNNIES STUDIOS,Payment,Cash in Bank (Peso),UFT0002993,GL0022980,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169509,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,PR042843,GL0023294,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169505,ICM-LT000177,SUNNIES STUDIOS,Payment,Cash in Bank (Peso),UFT0002994,GL0023294,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169521,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,PR042844,GL0024450,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169517,ICM-LT000177,SUNNIES STUDIOS,Payment,Cash in Bank (Peso),UFT0002995,GL0024450,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169529,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,PR042845,GL0024757,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169525,ICM-LT000177,SUNNIES STUDIOS,Payment,Cash in Bank (Peso),UFT0002996,GL0024757,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169537,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,PR042846,GL0025671,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
169533,ICM-LT000177,SUNNIES STUDIOS,Payment,Cash in Bank (Peso),UFT0002997,GL0025671,2021-01-04,,B-012,Banks of the Philippine Islands,11770.00,0
165579,ICM-LT000217,JJJ KEY SERVICES,Payment,Cash in Bank (Peso),PR040235,GL0026446,2021-01-04,,B-007,Land Bank of the Philippines,10700.00,0
165500,ICM-LT000050,ALVAS CHICHARON,Payment,Cash in Bank (Peso),PR040231,GL0025782,2021-01-04,,B-007,Land Bank of the Philippines,9897.70,0
