ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
173,ICM-LT000018,X-QUISITE,Payment,Unearned Rent Income,PRLSOR-033018,GL0000032,2018-01-18,0000-00-00,B-006-BPI,Banks of the Philippine Islands,0,-51627.78
183,ICM-LT000018,X-QUISITE,Payment,Unearned Rent Income,B0000017,GL0000032,2018-01-31,0000-00-00,,,51185.60,0
8396,ICM-LT000162,CIGNAL TV INC,Payment,Unearned Rent Income,PRLSOR-033043,GL0001367,2018-02-06,,B-007,Land Bank of the Philippines,0,-32100.00
5791,ICM-LT000171,SMART ANTENNA - Rent,Payment,Unearned Rent Income,PRLSOR-033190-D,GL0000964,2018-02-21,,B-012,Banks of the Philippine Islands,0,-33768.50
11625,ICM-LT000160,THE SCENTS CO,Payment,Unearned Rent Income,PRLSOR-033199,GL0001924,2018-02-23,,B-012,Banks of the Philippine Islands,0,-21400.00
1353,ICM-LT000018,X-QUISITE,Payment,Unearned Rent Income,B0000132,GL0000032,2018-02-28,0000-00-00,,,442.18,0
4029,ICM-LT000158,ZAMIN FOREIGN EXCHANGE,Payment,Unearned Rent Income-Preop Clearing,UFT0000052,GL0000660,2018-02-28,,B-012,Banks of the Philippine Islands,0,-21400.00
8367,ICM-LT000156,TECHNOCARE GADGETS REPAIR,Payment,Unearned Rent Income-Preop Clearing,UFT0000157,GL0001361,2018-03-01,,B-012,Banks of the Philippine Islands,0,-21400.00
2710,ICM-LT000084,BPI ATM 02 - LAC,Payment,Unearned Rent Income,PR-LSOR-033237,GL0000465,2018-03-05,0000-00-00,B-012,Banks of the Philippine Islands,0,-13329.36
2697,ICM-LT000105,BPI ATM 01 - LAC,Payment,Unearned Rent Income,PR-LSOR-033236,GL0000462,2018-03-05,0000-00-00,B-012,Banks of the Philippine Islands,0,-15270.98
3701,ICM-LT000018,X-QUISITE,Payment,Unearned Rent Income-URI Clearing,UFT0000050,GL0000629,2018-03-06,0000-00-00,B-012,Banks of the Philippine Islands,0,-3689.22
