ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
38689,ICM-LT000132,SNOWPY ICE CREAM,Payment,Rent Receivables,PR036007,GL0005967,2019-01-02,,B-007,Land Bank of the Philippines,0,-29016.33
39190,ICM-LT000018,X-QUISITE,Payment,Rent Receivables-RR Clearing,UFT0000627,GL0005670,2019-01-02,,B-012,Banks of the Philippine Islands,0,-33551.57
39180,ICM-LT000018,X-QUISITE,Payment,Rent Receivables-RR Clearing,UFT0000626,GL0004928,2019-01-02,,B-012,Banks of the Philippine Islands,0,-34205.74
44221,ICM-LT000105,BPI ATM 01 - LAC,Payment,Rent Receivables-RR Clearing,UFT0000724,GL0006550,2019-01-03,,B-012,Banks of the Philippine Islands,0,-240.74
38697,ICM-LT000153,DMU FOOD SNACKS,Payment,Rent Receivables,PR036009,GL0005769,2019-01-03,,B-007,Land Bank of the Philippines,0,-21400.00
38705,ICM-LT000040,MOLE CELLPHONE SHOP,Payment,Rent Receivables,PR036010,GL0005773,2019-01-03,,B-007,Land Bank of the Philippines,0,-23540.00
40302,ICM-LT000196,APN DRUG TESTING CENTER,Payment,Rent Receivables,PR036012,GL0004625,2019-01-03,,B-007,Land Bank of the Philippines,0,-34242.92
38755,ICM-LT000005,BOS COFFEE,Payment,Rent Receivables,PR036011,GL0005663,2019-01-03,,B-007,Land Bank of the Philippines,0,-63228.58
39305,ICM-ST000222,UNIVERSITY OF THE PHILIPPINES - ILOILO,Invoice,Rent Receivables,IC0005112,GL0006435,2019-01-04,2019-01-12,,,5000.00,0
38915,ICM-ST000125,URSOS STREET FOOD,Payment,Rent Receivables,PR036025,GL0006123,2019-01-04,,B-007,Land Bank of the Philippines,0,-3000.00
39310,ICM-ST000222,UNIVERSITY OF THE PHILIPPINES - ILOILO,Payment,Rent Receivables,B0002771,GL0006435,2019-01-04,,,,0,-5000.00
43908,ICM-ST000004,ABENSON BILLBOARD,Payment,Rent Receivables-RR Clearing,UFT0000713,GL0006944,2019-01-04,,B-012,Banks of the Philippine Islands,0,-7490.00
38879,ICM-LT000077,FCB ATM,Payment,Rent Receivables,PR036016,GL0006079,2019-01-04,,B-007,Land Bank of the Philippines,0,-9951.74
38883,ICM-LT000133,AFICIONADO,Payment,Rent Receivables,PR036017,GL0006069,2019-01-04,,B-007,Land Bank of the Philippines,0,-15607.11
40634,ICM-ST000001,NATIONAL BOOKSTORE BILLBOARD,Payment,Rent Receivables-RR Clearing,UFT0000658,GL0005943,2019-01-04,,B-012,Banks of the Philippine Islands,0,-16852.50
38907,ICM-LT000031,REAL ME,Payment,Rent Receivables,PR036023,GL0005828,2019-01-04,,B-007,Land Bank of the Philippines,0,-18579.89
38903,ICM-LT000047,MY PHONE,Payment,Rent Receivables,PR036022,GL0005824,2019-01-04,,B-007,Land Bank of the Philippines,0,-19464.64
38938,ICM-LT000046,M LHUILLIER,Payment,Rent Receivables,PR036013,GL0006192,2019-01-04,,B-007,Land Bank of the Philippines,0,-20484.33
40800,ICM-LT000154,MASTER SIOMAI - WS,Payment,Rent Receivables-RR Clearing,UFT0000668,GL0006168,2019-01-04,,B-012,Banks of the Philippine Islands,0,-26750.00
38942,ICM-LT000029,UCPB ATM,Payment,Rent Receivables,PR036014,GL0006073,2019-01-04,,B-007,Land Bank of the Philippines,0,-27113.11
38899,ICM-LT000037,OPPO,Payment,Rent Receivables,PR036021,GL0005820,2019-01-04,,B-007,Land Bank of the Philippines,0,-29425.00
38891,ICM-LT000162,CIGNAL TV INC,Payment,Rent Receivables,PR036019,GL0005782,2019-01-04,,B-007,Land Bank of the Philippines,0,-32100.00
38895,ICM-LT000093,HUAWEI,Payment,Rent Receivables,PR036020,GL0005780,2019-01-04,,B-007,Land Bank of the Philippines,0,-35310.00
40606,ICM-ST000053,ORO CHINA PAWNSHOP - EXHIBIT,Payment,Rent Receivables-RR Clearing,UFT0000653,GL0005759,2019-01-04,,B-012,Banks of the Philippine Islands,0,-37450.00
