ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
110524,ICM-ST000052,TOYOTA,Payment,Cash in Bank (Peso),PR038735,GL0016297,2020-01-02,,B-007,Land Bank of the Philippines,57245.00,0
110611,ICM-LT000040,MOLE CELLPHONE SHOP,Payment,Cash in Bank (Peso),PR038737,GL0017490,2020-01-02,,B-007,Land Bank of the Philippines,24717.00,0
110595,ICM-LT000305,ISLAND TEA CO,Payment,Cash in Bank (Peso),PR038736,GL0017730,2020-01-02,,B-007,Land Bank of the Philippines,19260.00,0
110843,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0001882,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110847,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0001885,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110851,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0002351,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110855,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0003067,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110859,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0003937,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110863,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0004533,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110867,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0005584,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110871,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0006176,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110875,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0007204,2020-01-02,,B-007,Land Bank of the Philippines,11235.00,0
110877,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0007205,2020-01-02,,B-007,Land Bank of the Philippines,8566.80,0
110845,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0001883,2020-01-02,,B-007,Land Bank of the Philippines,4882.00,0
110849,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0001892,2020-01-02,,B-007,Land Bank of the Philippines,4607.00,0
110865,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0004534,2020-01-02,,B-007,Land Bank of the Philippines,4519.00,0
110861,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0003938,2020-01-02,,B-007,Land Bank of the Philippines,4365.00,0
110857,ICM-LT000045,EBA PRINTERS,Payment,Cash in Bank (Peso),PR038734,GL0003068,2020-01-02,,B-007,Land Bank of the Philippines,4156.00,0
