ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
17,ICM-LT000006,KFC,Invoice,A/R  Non Trade External,IC0000004,GL0000004,2018-01-31,2018-02-15,,,261711.72,0
164,ICM-LT000004,RAI RAI KEN,Invoice,A/R  Non Trade External,IC0000031,GL0000031,2018-01-31,2018-02-15,,,96143.09,0
77,ICM-LT000010,PENSHOPPE,Invoice,A/R  Non Trade External,IC0000014,GL0000014,2018-01-31,2018-02-15,,,65309.65,0
1462,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Invoice,A/R  Non Trade External,IC0000264,GL0000270,2018-01-31,2018-02-15,,,63919.11,0
5,ICM-LT000009,GOLDILOCKS,Invoice,A/R  Non Trade External,IC0000002,GL0000002,2018-01-31,2018-02-15,,,53086.60,0
40,ICM-LT000019,BENCH,Invoice,A/R  Non Trade External,IC0000008,GL0000008,2018-01-31,2018-02-15,,,45082.85,0
123,ICM-LT000016,GIBI,Invoice,A/R  Non Trade External,IC0000022,GL0000022,2018-01-31,2018-02-15,,,32751.40,0
30,ICM-LT000007,FOR ME,Invoice,A/R  Non Trade External,IC0000006,GL0000006,2018-01-31,2018-02-15,,,23624.86,0
141,ICM-LT000022,CLN,Invoice,A/R  Non Trade External,IC0000026,GL0000026,2018-01-31,2018-02-15,,,23607.71,0
132,ICM-LT000021,SPORTS BASIC,Invoice,A/R  Non Trade External,IC0000024,GL0000024,2018-01-31,2018-02-15,,,18436.30,0
178,ICM-LT000018,X-QUISITE,Invoice,A/R  Non Trade External,IC0000033,GL0000034,2018-01-31,2018-02-15,,,17320.08,0
155,ICM-LT000025,REGATTA,Invoice,A/R  Non Trade External,IC0000029,GL0000029,2018-01-31,2018-02-15,,,14817.60,0
9751,ICM-LT000119,CD-R KING,Invoice,A/R  Non Trade External,IC0001286,GL0001545,2018-01-31,2018-02-08,,,11922.82,0
149,ICM-LT000027,CLN - Storage,Invoice,A/R  Non Trade External,IC0000027,GL0000027,2018-01-31,2018-02-15,,,10700.00,0
11348,ICM-LT000045,EBA PRINTERS,Invoice,A/R  Non Trade External,IC0001556,GL0001874,2018-01-31,2018-02-08,,,4600.79,0
9713,ICM-LT000120,THE SUN SHOP,Invoice,A/R  Non Trade External,IC0001279,GL0001534,2018-01-31,2018-02-08,,,2429.01,0
9438,ICM-LT000140,NETOPIA,Invoice,A/R  Non Trade External,IC0001262,GL0001503,2018-01-31,2018-02-08,,,789.07,0
11402,ICM-LT000045,EBA PRINTERS,Invoice,A/R  Non Trade External,IC0001566,GL0001884,2018-01-31,2018-02-08,,,113.38,0
186,ICM-LT000018,X-QUISITE,Payment,A/R  Non Trade External,B0000017,GL0000034,2018-01-31,0000-00-00,,,0,-17320.08
1551,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Payment,A/R  Non Trade External-PDC,PRLSOR-033092,GL0000270,2018-02-10,0000-00-00,B-007,Land Bank of the Philippines,0,-63919.11
1597,ICM-LT000025,REGATTA,Payment,A/R  Non Trade External-AR Clearing,UFT0000009,GL0000029,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,0,-14817.60
1567,ICM-LT000007,FOR ME,Payment,A/R  Non Trade External-AR Clearing,UFT0000007,GL0000006,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,0,-23624.86
