ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
62,ICM-LT000014,CHOWKING,Invoice,A/R Non Trade Internal,IC0000012,GL0000012,2018-01-31,2018-02-15,,,437598.22,0
87,ICM-LT000015,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0000016,GL0000016,2018-01-31,2018-02-15,,,431855.06,0
50,ICM-LT000012,GREENWICH,Invoice,A/R Non Trade Internal,IC0000010,GL0000010,2018-01-31,2018-02-15,,,187589.25,0
111,ICM-LT000017,MANG INASAL,Invoice,A/R Non Trade Internal,IC0000020,GL0000020,2018-01-31,2018-02-15,,,175404.14,0
100,ICM-LT000013,RED RIBBON,Invoice,A/R Non Trade Internal,IC0000018,GL0000018,2018-01-31,2018-02-15,,,50416.80,0
229,ICM-LT000011,GUESS,Invoice,A/R Non Trade Internal,IC0000036,GL0000038,2018-01-31,2018-02-15,,,44147.56,0
238,ICM-LT000011,GUESS,Payment,A/R Non Trade Internal,PRICM-JVBU-08144,GL0000038,2018-01-31,0000-00-00,,,0,-44147.56
1537,ICM-LT000015,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0000276,GL0000283,2018-02-28,2018-03-15,,,414445.84,0
1486,ICM-LT000014,CHOWKING,Invoice,A/R Non Trade Internal,IC0000268,GL0000274,2018-02-28,2018-03-15,,,403726.72,0
1427,ICM-LT000012,GREENWICH,Invoice,A/R Non Trade Internal,IC0000261,GL0000265,2018-02-28,2018-03-15,,,313875.52,0
1203,ICM-LT000129,THE PRAWN FARM,Invoice,A/R Non Trade Internal,IC0000241,GL0000244,2018-02-28,2018-03-10,,,306200.31,0
1439,ICM-LT000017,MANG INASAL,Invoice,A/R Non Trade Internal,IC0000262,GL0000267,2018-02-28,2018-03-15,,,183141.20,0
1503,ICM-LT000118,SARILING HAIN,Invoice,A/R Non Trade Internal,IC0000270,GL0000277,2018-02-28,2018-03-15,,,138320.75,0
4114,ICM-LT000011,GUESS,Invoice,A/R Non Trade Internal,IC0000600,GL0000671,2018-02-28,2018-03-15,,,59230.32,0
1631,ICM-LT000013,RED RIBBON,Invoice,A/R Non Trade Internal,IC0000288,GL0000296,2018-02-28,2018-03-15,,,49697.30,0
460,ICM-LT000087,POTATO CORNER,Invoice,A/R Non Trade Internal,IC0000086,GL0000089,2018-02-28,2018-03-08,,,14727.00,0
451,ICM-LT000062,RED RIBBON KIOSK,Invoice,A/R Non Trade Internal,IC0000084,GL0000087,2018-02-28,2018-03-08,,,13269.00,0
18498,ICM-LT000087,POTATO CORNER,Payment,A/R Non Trade Internal,PRICM-JVBU-08211,GL0000411,2018-02-28,,,,0,-12129.00
16712,ICM-LT000011,GUESS,Payment,A/R Non Trade Internal,PRJVBU-08187,GL0000671,2018-02-28,,,,0,-59230.32
21910,ICM-LT000118,SARILING HAIN,Payment,A/R Non Trade Internal,PRICM-JVBU-08281,GL0000277,2018-02-28,,,,0,-138320.75
5766,ICM-LT000129,THE PRAWN FARM,Payment,A/R Non Trade Internal,PRJV-03000224,GL0000244,2018-03-07,,,,0,-306200.31
5575,ICM-LT000062,RED RIBBON KIOSK,Payment,A/R Non Trade Internal,PRJV03001378,GL0000087,2018-03-27,,,,0,-13269.00
4061,ICM-LT000013,RED RIBBON,Payment,A/R Non Trade Internal,PRJV-03001874,GL0000018,2018-03-27,,,,0,-50416.80
4057,ICM-LT000012,GREENWICH,Payment,A/R Non Trade Internal,PRJV-03001872,GL0000010,2018-03-27,,,,0,-187589.23
4051,ICM-LT000015,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV03001888,GL0000016,2018-03-27,,,,0,-431855.06
9240,ICM-LT000017,MANG INASAL,Payment,A/R Non Trade Internal,PRJV-03001339,GL0000020,2018-03-28,,,,0,-175404.13
3477,ICM-LT000012,GREENWICH,Invoice,A/R Non Trade Internal,IC0000550,GL0000595,2018-03-31,2018-04-16,,,619705.50,0
3422,ICM-LT000017,MANG INASAL,Invoice,A/R Non Trade Internal,IC0000542,GL0000584,2018-03-31,2018-04-16,,,510543.22,0
4011,ICM-LT000015,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0000595,GL0000655,2018-03-31,2018-04-16,,,396978.56,0
3528,ICM-LT000014,CHOWKING,Invoice,A/R Non Trade Internal,IC0000555,GL0000602,2018-03-31,2018-04-16,,,387245.56,0
3259,ICM-LT000129,THE PRAWN FARM,Invoice,A/R Non Trade Internal,IC0000526,GL0000566,2018-03-31,2018-04-10,,,285226.59,0
3462,ICM-LT000118,SARILING HAIN,Invoice,A/R Non Trade Internal,IC0000548,GL0000592,2018-03-31,2018-04-16,,,128378.45,0
3770,ICM-LT000013,RED RIBBON,Invoice,A/R Non Trade Internal,IC0000584,GL0000637,2018-03-31,2018-04-16,,,47477.80,0
