ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
110473,ICM-LT000124,LFAFA,Invoice,Rent Receivables,DM0000028,GL0018047,2020-01-02,2020-01-12,,,7062.00,0
110880,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0008569,2020-01-02,,B-007,Land Bank of the Philippines,0,-3650.52
110844,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0001882,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110848,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0001885,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110852,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0002351,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110856,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0003067,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110860,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0003937,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110864,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0004533,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110868,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0005584,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110872,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0006176,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110876,ICM-LT000045,EBA PRINTERS,Payment,Rent Receivables,PR038734,GL0007204,2020-01-02,,B-007,Land Bank of the Philippines,0,-11235.00
110596,ICM-LT000305,ISLAND TEA CO,Payment,Rent Receivables,PR038736,GL0017730,2020-01-02,,B-007,Land Bank of the Philippines,0,-19260.00
110612,ICM-LT000040,MOLE CELLPHONE SHOP,Payment,Rent Receivables,PR038737,GL0017490,2020-01-02,,B-007,Land Bank of the Philippines,0,-24717.00
110525,ICM-ST000052,TOYOTA,Payment,Rent Receivables,PR038735,GL0016297,2020-01-02,,B-007,Land Bank of the Philippines,0,-57245.00
107797,ICM-ST000489,LitMus Dise-Syete,Invoice,Rent Receivables,IC0012991,GL0017487,2020-01-03,2020-01-11,,,5000.00,0
110461,ICM-ST000493,Vocal Enhanced Kids,Invoice,Rent Receivables,IC0013432,GL0018045,2020-01-03,2020-01-11,,,5000.00,0
113154,ICM-ST000020,ISUZU BOHOL,Payment,Rent Receivables-RR Clearing,UFT0001821,GL0013205,2020-01-03,,B-012,Banks of the Philippine Islands,0,-2.82
122991,ICM-ST000402,Greenwich GTG,Payment,Rent Receivables,PRJV-01001808,GL0016923,2020-01-03,,,,0,-5350.00
113156,ICM-ST000020,ISUZU BOHOL,Payment,Rent Receivables-RR Clearing,UFT0001821,GL0016298,2020-01-03,,B-012,Banks of the Philippine Islands,0,-18722.22
113132,ICM-LT000358,iLOVE BUBBLE WAFFLE,Payment,Rent Receivables-RR Clearing,UFT0001819,GL0016494,2020-01-03,,B-012,Banks of the Philippine Islands,0,-21400.00
111099,ICM-LT000132,SNOWPY ICE CREAM,Payment,Rent Receivables,PR038739,GL0017617,2020-01-03,,B-007,Land Bank of the Philippines,0,-29016.33
118961,ICM-LT000013,RED RIBBON,Payment,Rent Receivables,PRJV-01001852,GL0017220,2020-01-03,,,,0,-54303.18
111023,ICM-LT000009,GOLDILOCKS,Payment,Rent Receivables,PR038738,GL0017252,2020-01-03,,B-007,Land Bank of the Philippines,0,-106977.89
119766,ICM-LT000012,GREENWICH,Payment,Rent Receivables,PRJV-01001807,GL0017171,2020-01-03,,,,0,-199386.95
120715,ICM-LT000017,MANG INASAL,Payment,Rent Receivables,PRJV-01001825,GL0017198,2020-01-03,,,,0,-322554.11
118828,ICM-LT000015,JOLLIBEE,Payment,Rent Receivables,PRJV-01001805,GL0017176,2020-01-03,,,,0,-491221.87
99111,ICM-ST000459,BOHOL GROUP TOYOTA CEBU CITY INC.,Invoice,Rent Receivables,IC0012014,GL0016209,2020-01-04,2020-01-12,,,9000.00,0
111327,ICM-LT000102,P and  P S KIDDIE CARTS RENTALS,Payment,Rent Receivables,PR038742,GL0012797,2020-01-04,,B-007,Land Bank of the Philippines,0,-4233.18
111331,ICM-LT000102,P and  P S KIDDIE CARTS RENTALS,Payment,Rent Receivables,PR038742,GL0013928,2020-01-04,,B-007,Land Bank of the Philippines,0,-14638.90
111268,ICM-LT000072,BANCO DE ORO ATM,Payment,Rent Receivables,PR038740,GL0017878,2020-01-04,,B-007,Land Bank of the Philippines,0,-18955.70
111429,ICM-LT000039,CELLPOINT,Payment,Rent Receivables,PR038744,GL0017688,2020-01-04,,B-007,Land Bank of the Philippines,0,-24717.00
111272,ICM-LT000030,WATCH CENTRAL,Payment,Rent Receivables,PR038741,GL0017713,2020-01-04,,B-007,Land Bank of the Philippines,0,-27204.34
111371,ICM-ST000021,AUTOPREMIUM INCORPORATED,Payment,Rent Receivables,PR038743,GL0017927,2020-01-04,,B-007,Land Bank of the Philippines,0,-64200.00
111441,ICM-LT000098,THE RIGHT FIT,Payment,Rent Receivables,PR038745,GL0017843,2020-01-05,,B-007,Land Bank of the Philippines,0,-25952.85
106677,ICM-ST000019,ABENSON - EXHIBIT,Invoice,Rent Receivables,IC0012835,GL0017288,2020-01-06,2020-01-14,,,21400.00,0
114907,ICM-LT000105,BPI ATM 01 - LAC,Payment,Rent Receivables-RR Clearing,UFT0001867,GL0017888,2020-01-06,,B-012,Banks of the Philippine Islands,0,-1634.32
111530,ICM-LT000352,PERPAX LAUNDRY AND DRY CLEANING - SR,Payment,Rent Receivables-PDC,PR038757,GL0017801,2020-01-06,,B-007,Land Bank of the Philippines,0,-2140.00
111490,ICM-ST000125,URSOS STREET FOOD,Payment,Rent Receivables,PR038749,GL0017745,2020-01-06,,B-007,Land Bank of the Philippines,0,-3000.00
113267,ICM-LT000144,NATIONAL BOOKSTORE - SR,Payment,Rent Receivables-RR Clearing,UFT0001831,GL0017645,2020-01-06,,B-012,Banks of the Philippine Islands,0,-9293.29
113144,ICM-LT000218,LANDBANK ATM 1,Payment,Rent Receivables-RR Clearing,UFT0001820,GL0017882,2020-01-06,,B-007,Land Bank of the Philippines,0,-10710.00
117255,ICM-LT000219,LANDBANK ATM 2,Payment,Rent Receivables-RR Clearing,UFT0001893,GL0017947,2020-01-06,,B-012,Banks of the Philippine Islands,0,-10710.00
111624,ICM-LT000217,JJJ KEY SERVICES,Payment,Rent Receivables,PR038759,GL0017873,2020-01-06,,B-007,Land Bank of the Philippines,0,-14124.00
111526,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Rent Receivables-PDC,PR038756,GL0017798,2020-01-06,,B-007,Land Bank of the Philippines,0,-15808.77
111522,ICM-LT000104,PEANUTWORLD,Payment,Rent Receivables-PDC,PR038755,GL0017838,2020-01-06,,B-007,Land Bank of the Philippines,0,-16066.05
