ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
141153,ICM-LT000109,IDEAL VISION,Payment,Rent Receivables-RR Clearing,PR040710,GL0021465,2020-07-01,,B-012,Banks of the Philippine Islands,32324.54,0
141166,ICM-LT000053,YOUR EYEWEAR SPECIALISTS - YES,Payment,Rent Receivables-RR Clearing,PR040711,GL0021702,2020-07-01,,B-012,Banks of the Philippine Islands,20715.20,0
141400,ICM-LT000068,SST LAPTOP,Payment,Rent Receivables-RR Clearing,PR040724,GL0021494,2020-07-01,,B-012,Banks of the Philippine Islands,9289.94,0
141401,ICM-LT000068,SST LAPTOP,Payment,Rent Receivables,PR040724,GL0021494,2020-07-01,,B-012,Banks of the Philippine Islands,0,-9289.94
141397,ICM-LT000068,SST LAPTOP,Payment,Rent Receivables-RR Clearing,UFT0002286,GL0021494,2020-07-01,,B-012,Banks of the Philippine Islands,0,-9289.94
137019,ICM-LT000036,CELL DEPOT,Payment,Rent Receivables,PR039830,GL0021565,2020-07-01,,B-007,Land Bank of the Philippines,0,-14712.50
141167,ICM-LT000053,YOUR EYEWEAR SPECIALISTS - YES,Payment,Rent Receivables,PR040711,GL0021702,2020-07-01,,B-012,Banks of the Philippine Islands,0,-20715.20
141158,ICM-LT000053,YOUR EYEWEAR SPECIALISTS - YES,Payment,Rent Receivables-RR Clearing,UFT0002281,GL0021702,2020-07-01,,B-012,Banks of the Philippine Islands,0,-20715.20
141154,ICM-LT000109,IDEAL VISION,Payment,Rent Receivables,PR040710,GL0021465,2020-07-01,,B-012,Banks of the Philippine Islands,0,-32324.54
141140,ICM-LT000109,IDEAL VISION,Payment,Rent Receivables-RR Clearing,UFT0002280,GL0021465,2020-07-01,,B-012,Banks of the Philippine Islands,0,-32324.54
141404,ICM-LT000004,RAI RAI KEN,Payment,Rent Receivables-RR Clearing,PR040726,GL0020310,2020-07-02,,B-012,Banks of the Philippine Islands,68307.00,0
144631,ICM-LT000054,FORTRESS,Payment,Rent Receivables-RR Clearing,PR040766,GL0021469,2020-07-02,,B-012,Banks of the Philippine Islands,28439.44,0
148677,ICM-LT000154,MASTER SIOMAI - WS,Payment,Rent Receivables-RR Clearing,PR040782,GL0021599,2020-07-02,,B-012,Banks of the Philippine Islands,16050.00,0
137269,ICM-LT000159,THE LEMON CO,Payment,Rent Receivables,PR039831,GL0021644,2020-07-02,,B-007,Land Bank of the Philippines,0,-11770.00
148678,ICM-LT000154,MASTER SIOMAI - WS,Payment,Rent Receivables,PR040782,GL0021599,2020-07-02,,B-012,Banks of the Philippine Islands,0,-16050.00
145209,ICM-LT000154,MASTER SIOMAI - WS,Payment,Rent Receivables-RR Clearing,UFT0002364,GL0021599,2020-07-02,,B-012,Banks of the Philippine Islands,0,-16050.00
144632,ICM-LT000054,FORTRESS,Payment,Rent Receivables,PR040766,GL0021469,2020-07-02,,B-012,Banks of the Philippine Islands,0,-28439.44
142222,ICM-LT000054,FORTRESS,Payment,Rent Receivables-RR Clearing,UFT0002307,GL0021469,2020-07-02,,B-012,Banks of the Philippine Islands,0,-28439.44
141405,ICM-LT000004,RAI RAI KEN,Payment,Rent Receivables,PR040726,GL0020310,2020-07-02,,B-012,Banks of the Philippine Islands,0,-68307.00
139436,ICM-LT000004,RAI RAI KEN,Payment,Rent Receivables-RR Clearing,UFT0002248,GL0020310,2020-07-02,,B-012,Banks of the Philippine Islands,0,-68307.00
148597,ICM-LT000034,DIGITALCOM SERVICES,Payment,Rent Receivables-RR Clearing,PR040700,GL0015866,2020-07-03,,B-012,Banks of the Philippine Islands,25894.00,0
148601,ICM-LT000034,DIGITALCOM SERVICES,Payment,Rent Receivables-RR Clearing,PR040700,GL0017035,2020-07-03,,B-012,Banks of the Philippine Islands,23852.84,0
148593,ICM-LT000034,DIGITALCOM SERVICES,Payment,Rent Receivables-RR Clearing,PR040700,GL0014773,2020-07-03,,B-012,Banks of the Philippine Islands,3918.36,0
148594,ICM-LT000034,DIGITALCOM SERVICES,Payment,Rent Receivables,PR040700,GL0014773,2020-07-03,,B-012,Banks of the Philippine Islands,0,-3918.36
