ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
165509,ICM-LT000382,ALVAS FOOD PROCESSING - CANTEEN,Payment,Rent Receivables,PR040233,GL0025887,2021-01-04,,B-007,Land Bank of the Philippines,0,-4750.00
165505,ICM-LT000101,ST. PATRICK ROASTED PORK,Payment,Rent Receivables,PR040232,GL0025758,2021-01-04,,B-007,Land Bank of the Philippines,0,-8847.56
165501,ICM-LT000050,ALVAS CHICHARON,Payment,Rent Receivables,PR040231,GL0025782,2021-01-04,,B-007,Land Bank of the Philippines,0,-9897.70
165580,ICM-LT000217,JJJ KEY SERVICES,Payment,Rent Receivables,PR040235,GL0026446,2021-01-04,,B-007,Land Bank of the Philippines,0,-10700.00
169494,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,UFT0002993,GL0022980,2021-01-04,,B-012,Banks of the Philippine Islands,0,-11770.00
169506,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,UFT0002994,GL0023294,2021-01-04,,B-012,Banks of the Philippine Islands,0,-11770.00
169518,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,UFT0002995,GL0024450,2021-01-04,,B-012,Banks of the Philippine Islands,0,-11770.00
169526,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,UFT0002996,GL0024757,2021-01-04,,B-012,Banks of the Philippine Islands,0,-11770.00
169534,ICM-LT000177,SUNNIES STUDIOS,Payment,Rent Receivables-RR Clearing,UFT0002997,GL0025671,2021-01-04,,B-012,Banks of the Philippine Islands,0,-11770.00
165523,ICM-LT000113,MOBILE WORKS,Payment,Rent Receivables,PR040234,GL0026580,2021-01-04,,B-007,Land Bank of the Philippines,0,-12976.42
165612,ICM-LT000095,GARCIA PAWNSHOP,Payment,Rent Receivables,PR040238,GL0025798,2021-01-04,,B-007,Land Bank of the Philippines,0,-14747.70
165616,ICM-LT000112,THIRSTY - UG,Payment,Rent Receivables,PR040236,GL0024780,2021-01-04,,B-007,Land Bank of the Philippines,0,-15483.22
165626,ICM-LT000082,THIRSTY - LG,Payment,Rent Receivables,PR040237,GL0025819,2021-01-04,,B-007,Land Bank of the Philippines,0,-17695.12
162745,ICM-ST000565,Jojies Pa-initang Bol-anon - Exhibit 2,Invoice,Rent Receivables,IC0024214,GL0026080,2021-01-05,2021-01-13,,,16050.00,0
165785,ICM-LT000101,ST. PATRICK ROASTED PORK,Payment,Rent Receivables,PR040240-B,GL0022892,2021-01-05,,B-007,Land Bank of the Philippines,0,-4134.37
167861,ICM-LT000068,SST LAPTOP,Payment,Rent Receivables-RR Clearing,UFT0002952,GL0026421,2021-01-05,,B-022,Banks of the Philippine Islands,0,-13005.92
165905,ICM-LT000095,GARCIA PAWNSHOP,Payment,Rent Receivables,PR040242,GL0026302,2021-01-05,,B-007,Land Bank of the Philippines,0,-14747.70
165845,ICM-ST000228,JOJIES PA-INITANG BOL-ANON - SHORTERM,Payment,Rent Receivables,PR040241,GL0026081,2021-01-05,,B-007,Land Bank of the Philippines,0,-19260.00
165686,ICM-LT000056,THE BUZZ CAFE,Payment,Rent Receivables,PR040239,GL0023071,2021-01-05,,B-007,Land Bank of the Philippines,0,-27892.95
170184,ICM-LT000071,JEMS BARBER SHOP,Payment,Rent Receivables-RR Clearing,UFT0003020,GL0026436,2021-01-05,,B-012,Banks of the Philippine Islands,0,-41726.38
165690,ICM-LT000056,THE BUZZ CAFE,Payment,Rent Receivables,PR040239,GL0023630,2021-01-05,,B-007,Land Bank of the Philippines,0,-79526.36
165694,ICM-LT000056,THE BUZZ CAFE,Payment,Rent Receivables,PR040239,GL0024452,2021-01-05,,B-007,Land Bank of the Philippines,0,-79526.36
166056,ICM-LT000352,PERPAX LAUNDRY AND DRY CLEANING - SR,Payment,Rent Receivables,PR040250,GL0023525,2021-01-06,,B-007,Land Bank of the Philippines,0,-2140.00
166058,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Rent Receivables,PR040251,GL0024267,2021-01-06,,B-007,Land Bank of the Philippines,0,-7904.39
166048,ICM-LT000104,PEANUTWORLD,Payment,Rent Receivables,PR040248,GL0024231,2021-01-06,,B-007,Land Bank of the Philippines,0,-8033.02
166052,ICM-LT000042,BODY AND SOLE,Payment,Rent Receivables,PR040249,GL0025005,2021-01-06,,B-007,Land Bank of the Philippines,0,-11128.06
166044,ICM-LT000091,YSTILO SALON,Payment,Rent Receivables,PR040247,GL0024865,2021-01-06,,B-007,Land Bank of the Philippines,0,-11241.96
169576,ICM-LT000393,TURKS SHAWARMA,Payment,Rent Receivables-RR Clearing,UFT0003002,GL0026386,2021-01-06,,B-022,Banks of the Philippine Islands,0,-17120.00
166020,ICM-LT000046,M LHUILLIER,Payment,Rent Receivables,PR040244,GL0026288,2021-01-06,,B-007,Land Bank of the Philippines,0,-21459.77
169568,ICM-LT000001,COLOURS DIGITAL FOTO,Payment,Rent Receivables-RR Clearing,UFT0003001,GL0026270,2021-01-06,,B-007,Land Bank of the Philippines,0,-33590.40
169604,ICM-LT000038,RC GOLDLINE,Payment,Rent Receivables-RR Clearing,UFT0003004,GL0026462,2021-01-06,,B-012,Banks of the Philippine Islands,0,-34603.80
166016,ICM-LT000033,DAVIDS SALON,Payment,Rent Receivables,PR040243,GL0026498,2021-01-06,,B-007,Land Bank of the Philippines,0,-36122.13
166028,ICM-LT000090,BOHECO I AND II,Payment,Rent Receivables,PR040245,GL0026433,2021-01-06,,B-007,Land Bank of the Philippines,0,-37160.24
170670,ICM-LT000226,THINK MOBILE,Payment,Rent Receivables-RR Clearing,UFT0003023,GL0026507,2021-01-06,,B-012,Banks of the Philippine Islands,0,-41957.11
170678,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0003025,GL0026486,2021-01-06,,B-012,Banks of the Philippine Islands,0,-74641.31
179406,ICM-LT000018,X-QUISITE,Payment,Rent Receivables-RR Clearing,UFT0003224,GL0024558,2021-01-07,,B-022,Banks of the Philippine Islands,0,-780.27
179402,ICM-LT000018,X-QUISITE,Payment,Rent Receivables-RR Clearing,UFT0003224,GL0023705,2021-01-07,,B-022,Banks of the Philippine Islands,0,-2310.94
179398,ICM-LT000018,X-QUISITE,Payment,Rent Receivables-RR Clearing,UFT0003224,GL0023011,2021-01-07,,B-022,Banks of the Philippine Islands,0,-3183.89
179392,ICM-LT000018,X-QUISITE,Payment,Rent Receivables-RR Clearing,UFT0003224,GL0022170,2021-01-07,,B-022,Banks of the Philippine Islands,0,-5779.46
166155,ICM-LT000066,LOTTO,Payment,Rent Receivables,PR040253,GL0026655,2021-01-07,,B-007,Land Bank of the Philippines,0,-6000.00
166259,ICM-LT000158,ZAMIN FOREIGN EXCHANGE,Payment,Rent Receivables,PR040257,GL0026574,2021-01-07,,B-007,Land Bank of the Philippines,0,-10700.00
168444,ICM-LT000031,REAL ME,Payment,Rent Receivables-RR Clearing,UFT0002973,GL0026543,2021-01-07,,B-007,Land Bank of the Philippines,0,-13005.93
168452,ICM-LT000047,MY PHONE,Payment,Rent Receivables-RR Clearing,UFT0002974,GL0026549,2021-01-07,,B-007,Land Bank of the Philippines,0,-14306.51
168510,ICM-LT000477,ROCKSPACE,Payment,Rent Receivables-RR Clearing,UFT0002980,GL0026552,2021-01-07,,B-007,Land Bank of the Philippines,0,-18725.00
166227,ICM-LT000039,CELLPOINT,Payment,Rent Receivables,PR040255,GL0026482,2021-01-07,,B-007,Land Bank of the Philippines,0,-19773.60
166163,ICM-LT000040,MOLE CELLPHONE SHOP,Payment,Rent Receivables,PR040254,GL0026578,2021-01-07,,B-007,Land Bank of the Philippines,0,-19773.60
168486,ICM-LT000356,VIVO,Payment,Rent Receivables-RR Clearing,UFT0002977,GL0026555,2021-01-07,,B-007,Land Bank of the Philippines,0,-20597.50
167853,ICM-LT000026,ORO CHINA,Payment,Rent Receivables-RR Clearing,UFT0002951,GL0026521,2021-01-07,,B-012,Banks of the Philippine Islands,0,-22806.84
166124,ICM-LT000029,UCPB ATM,Payment,Rent Receivables,PR040252,GL0026357,2021-01-07,,B-007,Land Bank of the Philippines,0,-25500.00
168472,ICM-LT000162,CIGNAL TV INC,Payment,Rent Receivables-RR Clearing,UFT0002976,GL0026564,2021-01-07,,B-007,Land Bank of the Philippines,0,-28248.00
168494,ICM-LT000093,HUAWEI,Payment,Rent Receivables-RR Clearing,UFT0002978,GL0026569,2021-01-07,,B-007,Land Bank of the Philippines,0,-28248.00
166245,ICM-LT000049,WRENLEYS MOTOR PLAZA,Payment,Rent Receivables-PDC,PR040256,GL0026455,2021-01-07,,B-007,Land Bank of the Philippines,0,-38902.50
168460,ICM-LT000089,SAMSUNG,Payment,Rent Receivables-RR Clearing,UFT0002975,GL0026567,2021-01-07,,B-007,Land Bank of the Philippines,0,-40403.39
170342,ICM-LT000069,SALON DE ROSE,Payment,Rent Receivables-RR Clearing,UFT0003021,GL0026517,2021-01-07,,B-012,Banks of the Philippine Islands,0,-42708.95
168436,ICM-LT000063,SAVE N EARN,Payment,Rent Receivables-RR Clearing,UFT0002972,GL0026587,2021-01-07,,B-007,Land Bank of the Philippines,0,-44522.96
166597,ICM-LT000030,WATCH CENTRAL,Payment,Rent Receivables,PR040259,GL0026659,2021-01-08,,B-007,Land Bank of the Philippines,0,-19043.04
175185,ICM-LT000148,GLOBE ANTENNA,Payment,Rent Receivables-RR Clearing,UFT0003099,GL0022569,2021-01-08,,B-012,Banks of the Philippine Islands,0,-27214.38
175183,ICM-LT000148,GLOBE ANTENNA,Payment,Rent Receivables-RR Clearing,UFT0003099,GL0022481,2021-01-08,,B-012,Banks of the Philippine Islands,0,-27769.71
169650,ICM-LT000092,PRIMARY HOMES,Payment,Rent Receivables-RR Clearing,UFT0003009,GL0026475,2021-01-08,,B-012,Banks of the Philippine Islands,0,-38841.00
168696,ICM-LT000109,IDEAL VISION,Payment,Rent Receivables-RR Clearing,UFT0002983,GL0026672,2021-01-08,,B-022,Banks of the Philippine Islands,0,-45254.34
166353,ICM-LT000056,THE BUZZ CAFE,Payment,Rent Receivables,PR040258,GL0025954,2021-01-08,,B-007,Land Bank of the Philippines,0,-79526.36
166625,ICM-ST000125,URSOS STREET FOOD,Payment,Rent Receivables,PR040260,GL0026242,2021-01-09,,B-007,Land Bank of the Philippines,0,-3000.00
166635,ICM-LT000156,TECHNOCARE GADGETS REPAIR,Payment,Rent Receivables,PR040262,GL0026429,2021-01-09,,B-007,Land Bank of the Philippines,0,-17120.00
166641,ICM-LT000499,XUNDD,Payment,Rent Receivables,PR040261,GL0026465,2021-01-09,,B-007,Land Bank of the Philippines,0,-18725.00
162313,ICM-ST000015,NISSAN,Invoice,Rent Receivables,IC0024166,GL0026036,2021-01-10,2021-01-18,,,42800.00,0
166671,ICM-LT000070,BOHOL DENTAL CARE,Payment,Rent Receivables,PR040266,GL0022934,2021-01-10,,B-007,Land Bank of the Philippines,0,-18096.55
166675,ICM-LT000070,BOHOL DENTAL CARE,Payment,Rent Receivables,PR040266,GL0023593,2021-01-10,,B-007,Land Bank of the Philippines,0,-18096.55
