ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
13132,ICM-LT000103,SILVANAS WORLD,Payment,Cash in Bank (Peso),PRLSAR250011,GL0002101,2018-01-03,2018-01-03,B-007,Land Bank of the Philippines,60000.00,0
172,ICM-LT000018,X-QUISITE,Payment,Cash in Bank (Peso),PRLSOR-033018,GL0000032,2018-01-18,0000-00-00,B-006-BPI,Banks of the Philippine Islands,51627.78,0
64317,ICM-LT000106,VANILLA ICE PEARL,Payment,Cash in Bank (Peso),AR#250018,GL0010629,2018-01-30,,B-007,Landbank of the Philippines,7906.89,0
235,ICM-LT000011,GUESS,Payment,Advances to/from ICM,PRICM-JVBU-08144,GL0000037,2018-01-31,0000-00-00,,,93493.41,0
237,ICM-LT000011,GUESS,Payment,Advances to/from ICM,PRICM-JVBU-08144,GL0000038,2018-01-31,0000-00-00,,,44147.56,0
4218,ICM-ST000041,BCS AIKIDO RYU,Payment,Cash in Bank (Peso),PRLSOR-032994,GL0000581,2018-01-31,,B-007,Land Bank of the Philippines,3000.00,0
8391,ICM-LT000162,CIGNAL TV INC,Payment,Cash in Bank (Peso),PRLSAR-250019,GL0001365,2018-02-06,,B-007,Land Bank of the Philippines,90000.00,0
8395,ICM-LT000162,CIGNAL TV INC,Payment,Cash in Bank (Peso),PRLSOR-033043,GL0001367,2018-02-06,,B-007,Land Bank of the Philippines,32100.00,0
8393,ICM-LT000162,CIGNAL TV INC,Payment,Cash in Bank (Peso),PRLSAR-250019,GL0001366,2018-02-06,,B-007,Land Bank of the Philippines,30000.00,0
4216,ICM-ST000026,RIPPED CITY GYM,Payment,Cash in Bank (Peso),PRLSOR-033067,GL0000651,2018-02-08,,B-007,Land Bank of the Philippines,64200.00,0
1550,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Payment,Check Receivable - PDC,PRLSOR-033092,GL0000270,2018-02-10,0000-00-00,B-007,Land Bank of the Philippines,63919.11,0
1548,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Payment,Check Receivable - PDC,PRLSOR-033092,GL0000269,2018-02-10,0000-00-00,B-007,Land Bank of the Philippines,42800.00,0
1579,ICM-LT000010,PENSHOPPE,Payment,Cash in Bank (Peso),UFT0000008,GL0000013,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,169131.48,0
1377,ICM-LT000019,BENCH,Payment,Cash in Bank (Peso),UFT0000006,GL0000007,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,93552.34,0
173590,ICM-LT000010,PENSHOPPE,Payment,Cash in Bank (Peso),LSAR-250028,GL0027809,2018-02-12,,B-012,Banks of the Philippine Islands,66908.53,0
1581,ICM-LT000010,PENSHOPPE,Payment,Cash in Bank (Peso),UFT0000008,GL0000014,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,65309.65,0
1564,ICM-LT000007,FOR ME,Payment,Cash in Bank (Peso),UFT0000007,GL0000005,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,52651.22,0
1594,ICM-LT000025,REGATTA,Payment,Cash in Bank (Peso),UFT0000009,GL0000028,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,48962.10,0
1379,ICM-LT000019,BENCH,Payment,Cash in Bank (Peso),UFT0000006,GL0000008,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,45082.84,0
1566,ICM-LT000007,FOR ME,Payment,Cash in Bank (Peso),UFT0000007,GL0000006,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,23624.86,0
1596,ICM-LT000025,REGATTA,Payment,Cash in Bank (Peso),UFT0000009,GL0000029,2018-02-12,0000-00-00,B-012,Banks of the Philippine Islands,14817.60,0
3544,ICM-LT000006,KFC,Payment,Cash in Bank (Peso),UFT0000048,GL0000004,2018-02-14,0000-00-00,B-012,Banks of the Philippine Islands,259988.08,0
3542,ICM-LT000006,KFC,Payment,Cash in Bank (Peso),UFT0000048,GL0000003,2018-02-14,0000-00-00,B-012,Banks of the Philippine Islands,137394.41,0
187,ICM-LT000009,GOLDILOCKS,Payment,Cash in Bank (Peso),PRLSOR-033165,GL0000001,2018-02-15,0000-00-00,B-007,Land Bank of the Philippines,104088.67,0
239,ICM-LT000016,GIBI,Payment,Cash in Bank (Peso),UFT0000005,GL0000021,2018-02-15,0000-00-00,B-012,Banks of the Philippine Islands,79776.51,0
195,ICM-LT000022,CLN,Payment,Cash in Bank (Peso),UFT0000002,GL0000025,2018-02-15,0000-00-00,B-012,Banks of the Philippine Islands,75532.73,0
74021,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Payment,Cash in Bank (Peso),PDC0000051,GL0000270,2018-02-15,,B-007,Land Bank of the Philippines,63919.11,0
189,ICM-LT000009,GOLDILOCKS,Payment,Cash in Bank (Peso),PRLSOR-033165,GL0000002,2018-02-15,0000-00-00,B-007,Land Bank of the Philippines,53086.60,0
205,ICM-LT000021,SPORTS BASIC,Payment,Cash in Bank (Peso),UFT0000003,GL0000023,2018-02-15,0000-00-00,B-012,Banks of the Philippine Islands,48925.48,0
74019,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Payment,Cash in Bank (Peso),PDC0000051,GL0000269,2018-02-15,,B-007,Land Bank of the Philippines,42800.00,0
241,ICM-LT000016,GIBI,Payment,Cash in Bank (Peso),UFT0000005,GL0000022,2018-02-15,0000-00-00,B-012,Banks of the Philippine Islands,32751.40,0
197,ICM-LT000022,CLN,Payment,Cash in Bank (Peso),UFT0000002,GL0000026,2018-02-15,0000-00-00,B-012,Banks of the Philippine Islands,23607.71,0
207,ICM-LT000021,SPORTS BASIC,Payment,Cash in Bank (Peso),UFT0000003,GL0000024,2018-02-15,0000-00-00,B-012,Banks of the Philippine Islands,18436.30,0
191,ICM-LT000027,CLN - Storage,Payment,Cash in Bank (Peso),UFT0000001,GL0000027,2018-02-15,0000-00-00,B-006-BPI,Banks of the Philippine Islands,10700.00,0
74020,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Payment,Check Receivable - PDC,PDC0000051,GL0000269,2018-02-15,,B-007,Land Bank of the Philippines,0,-42800.00
74022,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Payment,Check Receivable - PDC,PDC0000051,GL0000270,2018-02-15,,B-007,Land Bank of the Philippines,0,-63919.11
