ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
85,ICM-LT000015,JOLLIBEE,Invoice,Creditable WHT Receivable,IC0000015,GL0000015,2018-01-31,2018-02-15,,,21703.57,0
109,ICM-LT000017,MANG INASAL,Invoice,Creditable WHT Receivable,IC0000019,GL0000019,2018-01-31,2018-02-15,,,14352.87,0
60,ICM-LT000014,CHOWKING,Invoice,Creditable WHT Receivable,IC0000011,GL0000011,2018-01-31,2018-02-15,,,12357.52,0
48,ICM-LT000012,GREENWICH,Invoice,Creditable WHT Receivable,IC0000009,GL0000009,2018-01-31,2018-02-15,,,9152.23,0
75,ICM-LT000010,PENSHOPPE,Invoice,Creditable WHT Receivable,IC0000013,GL0000013,2018-01-31,2018-02-15,,,7903.34,0
15,ICM-LT000006,KFC,Invoice,Creditable WHT Receivable,IC0000003,GL0000003,2018-01-31,2018-02-15,,,6420.30,0
3,ICM-LT000009,GOLDILOCKS,Invoice,Creditable WHT Receivable,IC0000001,GL0000001,2018-01-31,2018-02-15,,,4863.96,0
38,ICM-LT000019,BENCH,Invoice,Creditable WHT Receivable,IC0000007,GL0000007,2018-01-31,2018-02-15,,,4371.61,0
227,ICM-LT000011,GUESS,Invoice,Creditable WHT Receivable,IC0000035,GL0000037,2018-01-31,2018-02-15,,,4368.85,0
121,ICM-LT000016,GIBI,Invoice,Creditable WHT Receivable,IC0000021,GL0000021,2018-01-31,2018-02-15,,,3727.87,0
139,ICM-LT000022,CLN,Invoice,Creditable WHT Receivable,IC0000025,GL0000025,2018-01-31,2018-02-15,,,3529.57,0
162,ICM-LT000004,RAI RAI KEN,Invoice,Creditable WHT Receivable,IC0000030,GL0000030,2018-01-31,2018-02-15,,,2763.57,0
28,ICM-LT000007,FOR ME,Invoice,Creditable WHT Receivable,IC0000005,GL0000005,2018-01-31,2018-02-15,,,2460.34,0
153,ICM-LT000025,REGATTA,Invoice,Creditable WHT Receivable,IC0000028,GL0000028,2018-01-31,2018-02-15,,,2287.95,0
130,ICM-LT000021,SPORTS BASIC,Invoice,Creditable WHT Receivable,IC0000023,GL0000023,2018-01-31,2018-02-15,,,2286.24,0
98,ICM-LT000013,RED RIBBON,Invoice,Creditable WHT Receivable,IC0000017,GL0000017,2018-01-31,2018-02-15,,,2090.40,0
1456,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Invoice,Creditable WHT Receivable,IC0000263,GL0000269,2018-01-31,2018-02-15,,,2000.00,0
