ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
11403,ICM-LT000045,EBA PRINTERS,Invoice,MI-Penalties,IC0001566,GL0001884,2018-01-31,2018-02-08,,,0,-113.38
7,ICM-LT000009,GOLDILOCKS,Invoice,MI-Water,IC0000002,GL0000002,2018-01-31,2018-02-15,,,0,-260.00
102,ICM-LT000013,RED RIBBON,Invoice,MI-Water,IC0000018,GL0000018,2018-01-31,2018-02-15,,,0,-416.00
11350,ICM-LT000045,EBA PRINTERS,Invoice,MI-Penalties,IC0001556,GL0001874,2018-01-31,2018-02-08,,,0,-821.51
115,ICM-LT000017,MANG INASAL,Invoice,MI-Light and Power,IC0000020,GL0000020,2018-01-31,2018-02-15,,,0,-913.00
1464,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Invoice,MI-Water,IC0000264,GL0000270,2018-01-31,2018-02-15,,,0,-1196.00
165,ICM-LT000004,RAI RAI KEN,Invoice,MI-Water,IC0000031,GL0000031,2018-01-31,2018-02-15,,,0,-1986.40
9714,ICM-LT000120,THE SUN SHOP,Invoice,MI-Penalties,IC0001279,GL0001534,2018-01-31,2018-02-08,,,0,-2429.01
135,ICM-LT000021,SPORTS BASIC,Invoice,MI-Light and Power,IC0000024,GL0000024,2018-01-31,2018-02-15,,,0,-5599.00
181,ICM-LT000018,X-QUISITE,Invoice,MI-Light and Power,IC0000033,GL0000034,2018-01-31,2018-02-15,,,0,-8052.00
126,ICM-LT000016,GIBI,Invoice,MI-Light and Power,IC0000022,GL0000022,2018-01-31,2018-02-15,,,0,-8404.00
144,ICM-LT000022,CLN,Invoice,MI-Light and Power,IC0000026,GL0000026,2018-01-31,2018-02-15,,,0,-8833.00
232,ICM-LT000011,GUESS,Invoice,MI-Light and Power,IC0000036,GL0000038,2018-01-31,2018-02-15,,,0,-8855.00
33,ICM-LT000007,FOR ME,Invoice,MI-Light and Power,IC0000006,GL0000006,2018-01-31,2018-02-15,,,0,-8987.00
1466,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Invoice,MI-Light and Power,IC0000264,GL0000270,2018-01-31,2018-02-15,,,0,-9328.00
11347,ICM-LT000045,EBA PRINTERS,Invoice,Rent Income,IC0001555,GL0001873,2018-01-31,2018-02-08,,,0,-10815.00
18,ICM-LT000006,KFC,Invoice,MI-Water,IC0000004,GL0000004,2018-01-31,2018-02-15,,,0,-11064.04
52,ICM-LT000012,GREENWICH,Invoice,MI-Water,IC0000010,GL0000010,2018-01-31,2018-02-15,,,0,-14300.00
43,ICM-LT000019,BENCH,Invoice,MI-Light and Power,IC0000008,GL0000008,2018-01-31,2018-02-15,,,0,-14883.00
9437,ICM-LT000140,NETOPIA,Invoice,Rent Income,IC0001261,GL0001502,2018-01-31,2018-02-08,,,0,-24581.55
171,ICM-LT000004,RAI RAI KEN,Invoice,MI-Light and Power,IC0000031,GL0000031,2018-01-31,2018-02-15,,,0,-26664.00
9677,ICM-LT000120,THE SUN SHOP,Invoice,Rent Income,IC0001277,GL0001532,2018-01-31,2018-02-08,,,0,-27643.97
112,ICM-LT000017,MANG INASAL,Invoice,MI-Water,IC0000020,GL0000020,2018-01-31,2018-02-15,,,0,-27664.00
80,ICM-LT000010,PENSHOPPE,Invoice,MI-Light and Power,IC0000014,GL0000014,2018-01-31,2018-02-15,,,0,-27929.00
63,ICM-LT000014,CHOWKING,Invoice,MI-Water,IC0000012,GL0000012,2018-01-31,2018-02-15,,,0,-28824.13
104,ICM-LT000013,RED RIBBON,Invoice,MI-Light and Power,IC0000018,GL0000018,2018-01-31,2018-02-15,,,0,-29568.00
177,ICM-LT000018,X-QUISITE,Invoice,Rent Income,IC0000032,GL0000033,2018-01-31,2018-02-15,,,0,-31650.02
88,ICM-LT000015,JOLLIBEE,Invoice,MI-Water,IC0000016,GL0000016,2018-01-31,2018-02-15,,,0,-33341.35
9397,ICM-LT000196,APN DRUG TESTING CENTER,Invoice,Rent Income,IC0001252,GL0001489,2018-01-31,2018-02-08,,,0,-35610.08
9,ICM-LT000009,GOLDILOCKS,Invoice,MI-Light and Power,IC0000002,GL0000002,2018-01-31,2018-02-15,,,0,-36289.00
9750,ICM-LT000119,CD-R KING,Invoice,Rent Income,IC0001285,GL0001544,2018-01-31,2018-02-08,,,0,-38853.66
1457,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Invoice,Rent Income,IC0000263,GL0000269,2018-01-31,2018-02-15,,,0,-40000.00
99,ICM-LT000013,RED RIBBON,Invoice,Rent Income,IC0000017,GL0000017,2018-01-31,2018-02-15,,,0,-41808.00
131,ICM-LT000021,SPORTS BASIC,Invoice,Rent Income,IC0000023,GL0000023,2018-01-31,2018-02-15,,,0,-45724.75
154,ICM-LT000025,REGATTA,Invoice,Rent Income,IC0000028,GL0000028,2018-01-31,2018-02-15,,,0,-45758.97
29,ICM-LT000007,FOR ME,Invoice,Rent Income,IC0000005,GL0000005,2018-01-31,2018-02-15,,,0,-49206.75
163,ICM-LT000004,RAI RAI KEN,Invoice,Rent Income,IC0000030,GL0000030,2018-01-31,2018-02-15,,,0,-55271.32
140,ICM-LT000022,CLN,Invoice,Rent Income,IC0000025,GL0000025,2018-01-31,2018-02-15,,,0,-70591.34
122,ICM-LT000016,GIBI,Invoice,Rent Income,IC0000021,GL0000021,2018-01-31,2018-02-15,,,0,-74557.48
228,ICM-LT000011,GUESS,Invoice,Rent Income,IC0000035,GL0000037,2018-01-31,2018-02-15,,,0,-87377.02
39,ICM-LT000019,BENCH,Invoice,Rent Income,IC0000007,GL0000007,2018-01-31,2018-02-15,,,0,-87432.10
66,ICM-LT000014,CHOWKING,Invoice,MI-Light and Power,IC0000012,GL0000012,2018-01-31,2018-02-15,,,0,-91080.00
4,ICM-LT000009,GOLDILOCKS,Invoice,Rent Income,IC0000001,GL0000001,2018-01-31,2018-02-15,,,0,-97279.13
21,ICM-LT000006,KFC,Invoice,MI-Light and Power,IC0000004,GL0000004,2018-01-31,2018-02-15,,,0,-102960.00
91,ICM-LT000015,JOLLIBEE,Invoice,MI-Light and Power,IC0000016,GL0000016,2018-01-31,2018-02-15,,,0,-126720.00
16,ICM-LT000006,KFC,Invoice,Rent Income,IC0000003,GL0000003,2018-01-31,2018-02-15,,,0,-128405.99
76,ICM-LT000010,PENSHOPPE,Invoice,Rent Income,IC0000013,GL0000013,2018-01-31,2018-02-15,,,0,-158066.80
49,ICM-LT000012,GREENWICH,Invoice,Rent Income,IC0000009,GL0000009,2018-01-31,2018-02-15,,,0,-183044.67
61,ICM-LT000014,CHOWKING,Invoice,Rent Income,IC0000011,GL0000011,2018-01-31,2018-02-15,,,0,-247150.49
110,ICM-LT000017,MANG INASAL,Invoice,Rent Income,IC0000019,GL0000019,2018-01-31,2018-02-15,,,0,-287057.72
86,ICM-LT000015,JOLLIBEE,Invoice,Rent Income,IC0000015,GL0000015,2018-01-31,2018-02-15,,,0,-434071.49
202933,ICM-LT000006,KFC,Invoice Adjustment,MI-Penalties,IC0000557,GL0000606,2018-02-28,2018-03-15,,,34.50,0
541,ICM-LT000070,BOHOL DENTAL CARE,Invoice,MI-Water,IC0000104,GL0000107,2018-02-28,2018-03-08,,,0,-52.00
635,ICM-LT000067,MARCELA FARMS ROASTED CHICKEN,Invoice,MI-Water,IC0000123,GL0000126,2018-02-28,2018-03-08,,,0,-52.00
1132,ICM-LT000145,BUNK HOUSE VENDOR,Invoice,MI-Light and Power,IC0000228,GL0000231,2018-02-28,2018-03-10,,,0,-97.90
904,ICM-LT000044,LBC,Invoice,MI-Water,IC0000179,GL0000182,2018-02-28,2018-03-15,,,0,-104.00
953,ICM-LT000114,ICM POST OFFICE,Invoice,MI-Light and Power,IC0000189,GL0000192,2018-02-28,2018-03-08,,,0,-110.00
1084,ICM-LT000144,NATIONAL BOOKSTORE - SR,Invoice,MI-Light and Power,IC0000217,GL0000220,2018-02-28,2018-03-10,,,0,-143.00
690,ICM-LT000079,LANDBANK BRANCH,Invoice,MI-Water,IC0000135,GL0000138,2018-02-28,2018-03-08,,,0,-208.00
512,ICM-LT000046,M LHUILLIER,Invoice,MI-Water,IC0000098,GL0000101,2018-02-28,2018-03-08,,,0,-208.00
1361,ICM-LT000009,GOLDILOCKS,Invoice,MI-Water,IC0000252,GL0000255,2018-02-28,2018-03-15,,,0,-260.00
970,ICM-LT000043,PET CENTRAL ANIMAL CLINIC AND PET SHOP,Invoice,MI-Water,IC0000193,GL0000196,2018-02-28,2018-03-10,,,0,-312.00
