ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
13133,ICM-LT000103,SILVANAS WORLD,Payment,Security Deposit Payable,PRLSAR250011,GL0002101,2018-01-03,2018-01-03,B-007,Land Bank of the Philippines,0,-60000.00
173,ICM-LT000018,X-QUISITE,Payment,Unearned Rent Income,PRLSOR-033018,GL0000032,2018-01-18,0000-00-00,B-006-BPI,Banks of the Philippine Islands,0,-51627.78
64318,ICM-LT000106,VANILLA ICE PEARL,Payment,Security Deposit Payable,AR#250018,GL0010629,2018-01-30,,B-007,Landbank of the Philippines,0,-7906.89
83,ICM-LT000015,JOLLIBEE,Invoice,Rent Receivables,IC0000015,GL0000015,2018-01-31,2018-02-15,,,464456.50,0
107,ICM-LT000017,MANG INASAL,Invoice,Rent Receivables,IC0000019,GL0000019,2018-01-31,2018-02-15,,,307151.78,0
58,ICM-LT000014,CHOWKING,Invoice,Rent Receivables,IC0000011,GL0000011,2018-01-31,2018-02-15,,,264451.03,0
46,ICM-LT000012,GREENWICH,Invoice,Rent Receivables,IC0000009,GL0000009,2018-01-31,2018-02-15,,,195857.80,0
73,ICM-LT000010,PENSHOPPE,Invoice,Rent Receivables,IC0000013,GL0000013,2018-01-31,2018-02-15,,,169131.48,0
13,ICM-LT000006,KFC,Invoice,Rent Receivables,IC0000003,GL0000003,2018-01-31,2018-02-15,,,137394.41,0
1,ICM-LT000009,GOLDILOCKS,Invoice,Rent Receivables,IC0000001,GL0000001,2018-01-31,2018-02-15,,,104088.67,0
36,ICM-LT000019,BENCH,Invoice,Rent Receivables,IC0000007,GL0000007,2018-01-31,2018-02-15,,,93552.34,0
225,ICM-LT000011,GUESS,Invoice,Rent Receivables,IC0000035,GL0000037,2018-01-31,2018-02-15,,,93493.41,0
119,ICM-LT000016,GIBI,Invoice,Rent Receivables,IC0000021,GL0000021,2018-01-31,2018-02-15,,,79776.51,0
137,ICM-LT000022,CLN,Invoice,Rent Receivables,IC0000025,GL0000025,2018-01-31,2018-02-15,,,75532.73,0
160,ICM-LT000004,RAI RAI KEN,Invoice,Rent Receivables,IC0000030,GL0000030,2018-01-31,2018-02-15,,,59140.31,0
26,ICM-LT000007,FOR ME,Invoice,Rent Receivables,IC0000005,GL0000005,2018-01-31,2018-02-15,,,52651.22,0
183,ICM-LT000018,X-QUISITE,Payment,Unearned Rent Income,B0000017,GL0000032,2018-01-31,0000-00-00,,,51185.60,0
151,ICM-LT000025,REGATTA,Invoice,Rent Receivables,IC0000028,GL0000028,2018-01-31,2018-02-15,,,48962.10,0
128,ICM-LT000021,SPORTS BASIC,Invoice,Rent Receivables,IC0000023,GL0000023,2018-01-31,2018-02-15,,,48925.48,0
96,ICM-LT000013,RED RIBBON,Invoice,Rent Receivables,IC0000017,GL0000017,2018-01-31,2018-02-15,,,44734.56,0
1454,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Invoice,Rent Receivables,IC0000263,GL0000269,2018-01-31,2018-02-15,,,42800.00,0
9747,ICM-LT000119,CD-R KING,Invoice,Rent Receivables,IC0001285,GL0001544,2018-01-31,2018-02-08,,,41573.42,0
9394,ICM-LT000196,APN DRUG TESTING CENTER,Invoice,Rent Receivables,IC0001252,GL0001489,2018-01-31,2018-02-08,,,38102.79,0
174,ICM-LT000018,X-QUISITE,Invoice,Rent Receivables,IC0000032,GL0000033,2018-01-31,2018-02-15,,,33865.52,0
9674,ICM-LT000120,THE SUN SHOP,Invoice,Rent Receivables,IC0001277,GL0001532,2018-01-31,2018-02-08,,,29579.05,0
9434,ICM-LT000140,NETOPIA,Invoice,Rent Receivables,IC0001261,GL0001502,2018-01-31,2018-02-08,,,26302.26,0
11344,ICM-LT000045,EBA PRINTERS,Invoice,Rent Receivables,IC0001555,GL0001873,2018-01-31,2018-02-08,,,11572.05,0
11345,ICM-LT000045,EBA PRINTERS,Invoice,VAT Output,IC0001555,GL0001873,2018-01-31,2018-02-08,,,0,-1297.80
9435,ICM-LT000140,NETOPIA,Invoice,VAT Output,IC0001261,GL0001502,2018-01-31,2018-02-08,,,0,-2949.79
4219,ICM-ST000041,BCS AIKIDO RYU,Payment,Rent Receivables,PRLSOR-032994,GL0000581,2018-01-31,,B-007,Land Bank of the Philippines,0,-3000.00
9675,ICM-LT000120,THE SUN SHOP,Invoice,VAT Output,IC0001277,GL0001532,2018-01-31,2018-02-08,,,0,-3317.28
175,ICM-LT000018,X-QUISITE,Invoice,VAT Output,IC0000032,GL0000033,2018-01-31,2018-02-15,,,0,-3798.00
9395,ICM-LT000196,APN DRUG TESTING CENTER,Invoice,VAT Output,IC0001252,GL0001489,2018-01-31,2018-02-08,,,0,-4273.21
9748,ICM-LT000119,CD-R KING,Invoice,VAT Output,IC0001285,GL0001544,2018-01-31,2018-02-08,,,0,-4662.44
1455,ICM-LT000116,ROASTED BY: JUST SIZZLIN,Invoice,VAT Output,IC0000263,GL0000269,2018-01-31,2018-02-15,,,0,-4800.00
97,ICM-LT000013,RED RIBBON,Invoice,VAT Output,IC0000017,GL0000017,2018-01-31,2018-02-15,,,0,-5016.96
129,ICM-LT000021,SPORTS BASIC,Invoice,VAT Output,IC0000023,GL0000023,2018-01-31,2018-02-15,,,0,-5486.97
152,ICM-LT000025,REGATTA,Invoice,VAT Output,IC0000028,GL0000028,2018-01-31,2018-02-15,,,0,-5491.08
27,ICM-LT000007,FOR ME,Invoice,VAT Output,IC0000005,GL0000005,2018-01-31,2018-02-15,,,0,-5904.81
161,ICM-LT000004,RAI RAI KEN,Invoice,VAT Output,IC0000030,GL0000030,2018-01-31,2018-02-15,,,0,-6632.56
138,ICM-LT000022,CLN,Invoice,VAT Output,IC0000025,GL0000025,2018-01-31,2018-02-15,,,0,-8470.96
120,ICM-LT000016,GIBI,Invoice,VAT Output,IC0000021,GL0000021,2018-01-31,2018-02-15,,,0,-8946.90
226,ICM-LT000011,GUESS,Invoice,VAT Output,IC0000035,GL0000037,2018-01-31,2018-02-15,,,0,-10485.24
37,ICM-LT000019,BENCH,Invoice,VAT Output,IC0000007,GL0000007,2018-01-31,2018-02-15,,,0,-10491.85
2,ICM-LT000009,GOLDILOCKS,Invoice,VAT Output,IC0000001,GL0000001,2018-01-31,2018-02-15,,,0,-11673.50
14,ICM-LT000006,KFC,Invoice,VAT Output,IC0000003,GL0000003,2018-01-31,2018-02-15,,,0,-15408.72
74,ICM-LT000010,PENSHOPPE,Invoice,VAT Output,IC0000013,GL0000013,2018-01-31,2018-02-15,,,0,-18968.02
47,ICM-LT000012,GREENWICH,Invoice,VAT Output,IC0000009,GL0000009,2018-01-31,2018-02-15,,,0,-21965.36
59,ICM-LT000014,CHOWKING,Invoice,VAT Output,IC0000011,GL0000011,2018-01-31,2018-02-15,,,0,-29658.06
184,ICM-LT000018,X-QUISITE,Payment,Rent Receivables,B0000017,GL0000033,2018-01-31,0000-00-00,,,0,-33865.52
108,ICM-LT000017,MANG INASAL,Invoice,VAT Output,IC0000019,GL0000019,2018-01-31,2018-02-15,,,0,-34446.93
