ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
225859,ICM-LT000451,CREPETEALOGY CAFE,Payment,Cash in Bank (Peso),PR041686,GL0031292,2022-01-02,,B-007,Land Bank of the Philippines,26215.00,0
225861,ICM-LT000451,CREPETEALOGY CAFE,Payment,Cash in Bank (Peso),PR041686,GL0031293,2022-01-02,,B-007,Land Bank of the Philippines,11245.00,0
224599,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,Rent Receivables,IC0036064,GL0035521,2022-01-02,2022-01-10,,,5350.00,0
225003,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,A/R  Non Trade External,IC0036141,GL0035598,2022-01-02,2022-01-10,,,1580.20,0
224602,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,Creditable WHT Receivable,IC0036064,GL0035521,2022-01-02,2022-01-10,,,250.00,0
226465,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice Adjustment,MI-Common Utilities,IC0036141,GL0035598,2022-01-02,2022-01-10,,,125.00,0
226464,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice Adjustment,A/R  Non Trade External,IC0036141,GL0035598,2022-01-02,2022-01-10,,,0,-125.00
225004,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,MI-Common Utilities,IC0036141,GL0035598,2022-01-02,2022-01-10,,,0,-500.00
224601,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,VAT Output,IC0036064,GL0035521,2022-01-02,2022-01-10,,,0,-600.00
225005,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,MI-Light and Power,IC0036141,GL0035598,2022-01-02,2022-01-10,,,0,-1080.20
224600,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,Rent Income,IC0036064,GL0035521,2022-01-02,2022-01-10,,,0,-5000.00
225862,ICM-LT000451,CREPETEALOGY CAFE,Payment,A/R  Non Trade External,PR041686,GL0031293,2022-01-02,,B-007,Land Bank of the Philippines,0,-11245.00
225860,ICM-LT000451,CREPETEALOGY CAFE,Payment,Rent Receivables,PR041686,GL0031292,2022-01-02,,B-007,Land Bank of the Philippines,0,-26215.00
235039,ICM-LT000157,MR NGO,Payment,A/R- Ms. Quella Marie M. Gumapac,PR041688,GL0016969,2022-01-03,,,,14609.00,0
235033,ICM-LT000904,Musashi Takoyaki,Payment,A/R- Ms. Quella Marie M. Gumapac,PR041687,GL0029854,2022-01-03,,,,3573.30,0
235035,ICM-LT000904,Musashi Takoyaki,Payment,A/R- Ms. Quella Marie M. Gumapac,PR041687,GL0030634,2022-01-03,,,,1426.70,0
235036,ICM-LT000904,Musashi Takoyaki,Payment,Rent Receivables,PR041687,GL0030634,2022-01-03,,,,0,-1426.70
235034,ICM-LT000904,Musashi Takoyaki,Payment,A/R  Non Trade External,PR041687,GL0029854,2022-01-03,,,,0,-3573.30
235040,ICM-LT000157,MR NGO,Payment,Rent Receivables,PR041688,GL0016969,2022-01-03,,,,0,-14609.00
226411,ICM-LT000023,DUNKIN DONUTS,Payment,Cash in Bank (Peso),PR041690,GL0034657,2022-01-04,,B-007,Land Bank of the Philippines,49690.35,0
226409,ICM-ST000015,NISSAN,Payment,Cash in Bank (Peso),PR041689,GL0034453,2022-01-04,,B-007,Land Bank of the Philippines,42800.00,0
239400,ICM-LT000076,SANDUGO SANDALS,Payment,Rent Receivables-RR Clearing,PR044208,GL0034665,2022-01-04,,B-022,Banks of the Philippine Islands,22739.64,0
231988,ICM-LT000076,SANDUGO SANDALS,Payment,Cash in Bank (Peso),UFT0004516,GL0034665,2022-01-04,,B-022,Banks of the Philippine Islands,22739.64,0
226413,ICM-LT000023,DUNKIN DONUTS,Payment,Cash in Bank (Peso),PR041690,GL0035042,2022-01-04,,B-007,Land Bank of the Philippines,17261.92,0
239402,ICM-LT000076,SANDUGO SANDALS,Payment,A/R  Non Trade External-AR Clearing,PR044208,GL0035039,2022-01-04,,B-022,Banks of the Philippine Islands,6097.00,0
231990,ICM-LT000076,SANDUGO SANDALS,Payment,Cash in Bank (Peso),UFT0004516,GL0035039,2022-01-04,,B-022,Banks of the Philippine Islands,6097.00,0
239403,ICM-LT000076,SANDUGO SANDALS,Payment,A/R  Non Trade External,PR044208,GL0035039,2022-01-04,,B-022,Banks of the Philippine Islands,0,-6097.00
231991,ICM-LT000076,SANDUGO SANDALS,Payment,A/R  Non Trade External-AR Clearing,UFT0004516,GL0035039,2022-01-04,,B-022,Banks of the Philippine Islands,0,-6097.00
226414,ICM-LT000023,DUNKIN DONUTS,Payment,A/R  Non Trade External,PR041690,GL0035042,2022-01-04,,B-007,Land Bank of the Philippines,0,-17261.92
239401,ICM-LT000076,SANDUGO SANDALS,Payment,Rent Receivables,PR044208,GL0034665,2022-01-04,,B-022,Banks of the Philippine Islands,0,-22739.64
231989,ICM-LT000076,SANDUGO SANDALS,Payment,Rent Receivables-RR Clearing,UFT0004516,GL0034665,2022-01-04,,B-022,Banks of the Philippine Islands,0,-22739.64
226410,ICM-ST000015,NISSAN,Payment,Rent Receivables,PR041689,GL0034453,2022-01-04,,B-007,Land Bank of the Philippines,0,-42800.00
226412,ICM-LT000023,DUNKIN DONUTS,Payment,Rent Receivables,PR041690,GL0034657,2022-01-04,,B-007,Land Bank of the Philippines,0,-49690.35
226584,ICM-LT000080,PAYAG,Payment,Cash in Bank (Peso),PR041691,GL0027722,2022-01-05,,B-007,Land Bank of the Philippines,57529.54,0
226586,ICM-ST000021,AUTOPREMIUM INCORPORATED,Payment,Cash in Bank (Peso),PR041692,GL0035836,2022-01-05,,B-007,Land Bank of the Philippines,53500.00,0
222909,ICM-ST000055,MITSUBISHI MOTORS,Payment,Unearned Rent Income,B0016098,GL0034540,2022-01-05,,,,53500.00,0
222905,ICM-ST000055,MITSUBISHI MOTORS,Invoice,Rent Receivables,IC0035778,GL0035221,2022-01-05,2022-01-13,,,53500.00,0
226582,ICM-LT000080,PAYAG,Payment,Cash in Bank (Peso),PR041691,GL0027546,2022-01-05,,B-007,Land Bank of the Philippines,34565.28,0
234035,ICM-LT000018,X-QUISITE,Payment,Rent Receivables-RR Clearing,PR043658,GL0035101,2022-01-05,,B-022,Banks of the Philippine Islands,18305.41,0
231473,ICM-LT000018,X-QUISITE,Payment,Cash in Bank (Peso),UFT0004494,GL0035101,2022-01-05,,B-022,Banks of the Philippine Islands,18305.41,0
234037,ICM-LT000018,X-QUISITE,Payment,A/R  Non Trade External-AR Clearing,PR043658,GL0035106,2022-01-05,,B-022,Banks of the Philippine Islands,15182.48,0
231475,ICM-LT000018,X-QUISITE,Payment,Cash in Bank (Peso),UFT0004494,GL0035106,2022-01-05,,B-022,Banks of the Philippine Islands,15182.48,0
226580,ICM-LT000080,PAYAG,Payment,Cash in Bank (Peso),PR041691,GL0025958,2022-01-05,,B-007,Land Bank of the Philippines,13405.18,0
222697,ICM-ST000763,ASHIRA PROPERTIES DEV. CORP.,Invoice,Rent Receivables,IC0035752,GL0035193,2022-01-05,2022-01-13,,,10700.00,0
222908,ICM-ST000055,MITSUBISHI MOTORS,Invoice,Creditable WHT Receivable,IC0035778,GL0035221,2022-01-05,2022-01-13,,,2500.00,0
222700,ICM-ST000763,ASHIRA PROPERTIES DEV. CORP.,Invoice,Creditable WHT Receivable,IC0035752,GL0035193,2022-01-05,2022-01-13,,,500.00,0
222699,ICM-ST000763,ASHIRA PROPERTIES DEV. CORP.,Invoice,VAT Output,IC0035752,GL0035193,2022-01-05,2022-01-13,,,0,-1200.00
222907,ICM-ST000055,MITSUBISHI MOTORS,Invoice,VAT Output,IC0035778,GL0035221,2022-01-05,2022-01-13,,,0,-6000.00
222698,ICM-ST000763,ASHIRA PROPERTIES DEV. CORP.,Invoice,Rent Income,IC0035752,GL0035193,2022-01-05,2022-01-13,,,0,-10000.00
226581,ICM-LT000080,PAYAG,Payment,A/R  Non Trade External,PR041691,GL0025958,2022-01-05,,B-007,Land Bank of the Philippines,0,-13405.18
234038,ICM-LT000018,X-QUISITE,Payment,A/R  Non Trade External,PR043658,GL0035106,2022-01-05,,B-022,Banks of the Philippine Islands,0,-15182.48
231476,ICM-LT000018,X-QUISITE,Payment,A/R  Non Trade External-AR Clearing,UFT0004494,GL0035106,2022-01-05,,B-022,Banks of the Philippine Islands,0,-15182.48
234036,ICM-LT000018,X-QUISITE,Payment,Rent Receivables,PR043658,GL0035101,2022-01-05,,B-022,Banks of the Philippine Islands,0,-18305.41
231474,ICM-LT000018,X-QUISITE,Payment,Rent Receivables-RR Clearing,UFT0004494,GL0035101,2022-01-05,,B-022,Banks of the Philippine Islands,0,-18305.41
226583,ICM-LT000080,PAYAG,Payment,Rent Receivables,PR041691,GL0027546,2022-01-05,,B-007,Land Bank of the Philippines,0,-34565.28
222906,ICM-ST000055,MITSUBISHI MOTORS,Invoice,Rent Income,IC0035778,GL0035221,2022-01-05,2022-01-13,,,0,-50000.00
226587,ICM-ST000021,AUTOPREMIUM INCORPORATED,Payment,Unearned Rent Income,PR041692,GL0035836,2022-01-05,,B-007,Land Bank of the Philippines,0,-53500.00
222910,ICM-ST000055,MITSUBISHI MOTORS,Payment,Rent Receivables,B0016098,GL0034452,2022-01-05,,,,0,-53500.00
226585,ICM-LT000080,PAYAG,Payment,A/R  Non Trade External,PR041691,GL0027722,2022-01-05,,B-007,Land Bank of the Philippines,0,-57529.54
228940,ICM-ST000729,GGD Book Trading,Payment,Unearned Rent Income,B0016662,GL0035033,2022-01-06,,,,21400.00,0
228936,ICM-ST000729,GGD Book Trading,Invoice,Rent Receivables,IC0036478,GL0036025,2022-01-06,2022-01-14,,,21400.00,0
226978,ICM-ST000228,JOJIES PA-INITANG BOL-ANON - SHORTERM,Payment,Cash in Bank (Peso),PR041699,GL0035205,2022-01-06,,B-007,Land Bank of the Philippines,21400.00,0
226932,ICM-LT000091,YSTILO SALON,Payment,Cash in Bank (Peso),PR041694,GL0034056,2022-01-06,,B-007,Land Bank of the Philippines,18736.61,0
226934,ICM-LT000091,YSTILO SALON,Payment,Cash in Bank (Peso),PR041694,GL0034199,2022-01-06,,B-007,Land Bank of the Philippines,17114.20,0
226942,ICM-LT000042,BODY AND SOLE,Payment,Cash in Bank (Peso),PR041695,GL0034348,2022-01-06,,B-007,Land Bank of the Philippines,16388.00,0
226928,ICM-LT000125,CAFE MAJSTEA,Payment,Cash in Bank (Peso),PR041693,GL0033546,2022-01-06,,B-007,Land Bank of the Philippines,15729.00,0
226982,ICM-LT000496,ORYSPA,Payment,Cash in Bank (Peso),PR041700,GL0034862,2022-01-06,,B-007,Land Bank of the Philippines,14980.00,0
226940,ICM-LT000042,BODY AND SOLE,Payment,Cash in Bank (Peso),PR041695,GL0034238,2022-01-06,,B-007,Land Bank of the Philippines,11128.06,0
226954,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Cash in Bank (Peso),PR041697,GL0033434,2022-01-06,,B-007,Land Bank of the Philippines,11066.14,0
226947,ICM-LT000104,PEANUTWORLD,Payment,Cash in Bank (Peso),PR041696,GL0033404,2022-01-06,,B-007,Land Bank of the Philippines,8560.00,0
226956,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Cash in Bank (Peso),PR041697,GL0033697,2022-01-06,,B-007,Land Bank of the Philippines,6934.90,0
226930,ICM-LT000125,CAFE MAJSTEA,Payment,Cash in Bank (Peso),PR041693,GL0033677,2022-01-06,,B-007,Land Bank of the Philippines,4023.50,0
226984,ICM-LT000496,ORYSPA,Payment,Cash in Bank (Peso),PR041700,GL0034966,2022-01-06,,B-007,Land Bank of the Philippines,2500.00,0
226958,ICM-LT000352,PERPAX LAUNDRY AND DRY CLEANING - SR,Payment,Cash in Bank (Peso),PR041698,GL0033374,2022-01-06,,B-007,Land Bank of the Philippines,2140.00,0
226949,ICM-LT000104,PEANUTWORLD,Payment,Cash in Bank (Peso),PR041696,GL0033314,2022-01-06,,B-007,Land Bank of the Philippines,2054.10,0
228939,ICM-ST000729,GGD Book Trading,Invoice,Creditable WHT Receivable,IC0036478,GL0036025,2022-01-06,2022-01-14,,,1000.00,0
226950,ICM-LT000104,PEANUTWORLD,Payment,A/R  Non Trade External,PR041696,GL0033314,2022-01-06,,B-007,Land Bank of the Philippines,0,-2054.10
226959,ICM-LT000352,PERPAX LAUNDRY AND DRY CLEANING - SR,Payment,Rent Receivables,PR041698,GL0033374,2022-01-06,,B-007,Land Bank of the Philippines,0,-2140.00
228938,ICM-ST000729,GGD Book Trading,Invoice,VAT Output,IC0036478,GL0036025,2022-01-06,2022-01-14,,,0,-2400.00
226985,ICM-LT000496,ORYSPA,Payment,A/R  Non Trade External,PR041700,GL0034966,2022-01-06,,B-007,Land Bank of the Philippines,0,-2500.00
226931,ICM-LT000125,CAFE MAJSTEA,Payment,A/R  Non Trade External,PR041693,GL0033677,2022-01-06,,B-007,Land Bank of the Philippines,0,-4023.50
226957,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,A/R  Non Trade External,PR041697,GL0033697,2022-01-06,,B-007,Land Bank of the Philippines,0,-6934.90
226948,ICM-LT000104,PEANUTWORLD,Payment,Rent Receivables,PR041696,GL0033404,2022-01-06,,B-007,Land Bank of the Philippines,0,-8560.00
226955,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Rent Receivables,PR041697,GL0033434,2022-01-06,,B-007,Land Bank of the Philippines,0,-11066.14
226941,ICM-LT000042,BODY AND SOLE,Payment,Rent Receivables,PR041695,GL0034238,2022-01-06,,B-007,Land Bank of the Philippines,0,-11128.06
226983,ICM-LT000496,ORYSPA,Payment,Rent Receivables,PR041700,GL0034862,2022-01-06,,B-007,Land Bank of the Philippines,0,-14980.00
226929,ICM-LT000125,CAFE MAJSTEA,Payment,Rent Receivables,PR041693,GL0033546,2022-01-06,,B-007,Land Bank of the Philippines,0,-15729.00
226943,ICM-LT000042,BODY AND SOLE,Payment,A/R  Non Trade External,PR041695,GL0034348,2022-01-06,,B-007,Land Bank of the Philippines,0,-16388.00
226935,ICM-LT000091,YSTILO SALON,Payment,A/R  Non Trade External,PR041694,GL0034199,2022-01-06,,B-007,Land Bank of the Philippines,0,-17114.20
226933,ICM-LT000091,YSTILO SALON,Payment,Rent Receivables,PR041694,GL0034056,2022-01-06,,B-007,Land Bank of the Philippines,0,-18736.61
228937,ICM-ST000729,GGD Book Trading,Invoice,Rent Income,IC0036478,GL0036025,2022-01-06,2022-01-14,,,0,-20000.00
228941,ICM-ST000729,GGD Book Trading,Payment,Rent Receivables,B0016662,GL0036025,2022-01-06,,,,0,-21400.00
226979,ICM-ST000228,JOJIES PA-INITANG BOL-ANON - SHORTERM,Payment,Rent Receivables,PR041699,GL0035205,2022-01-06,,B-007,Land Bank of the Philippines,0,-21400.00
227050,ICM-LT000128,HARBOUR CITY,Payment,Cash in Bank (Peso),PR041701,GL0033153,2022-01-07,,B-007,Land Bank of the Philippines,87540.42,0
227067,ICM-LT000128,HARBOUR CITY,Payment,Cash in Bank (Peso),PR041702,GL0033153,2022-01-07,,B-007,Land Bank of the Philippines,87478.25,0
224320,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,Rent Receivables,IC0035996,GL0035453,2022-01-07,2022-01-15,,,64200.00,0
227046,ICM-LT000128,HARBOUR CITY,Payment,Cash in Bank (Peso),PR041701,GL0032446,2022-01-07,,B-007,Land Bank of the Philippines,59937.09,0
227071,ICM-LT000128,HARBOUR CITY,Payment,Cash in Bank (Peso),PR041702,GL0033771,2022-01-07,,B-007,Land Bank of the Philippines,59804.76,0
227069,ICM-LT000128,HARBOUR CITY,Payment,Cash in Bank (Peso),PR041702,GL0033748,2022-01-07,,B-007,Land Bank of the Philippines,52716.99,0
227048,ICM-LT000128,HARBOUR CITY,Payment,Cash in Bank (Peso),PR041701,GL0033152,2022-01-07,,B-007,Land Bank of the Philippines,52522.49,0
227222,ICM-LT000033,DAVIDS SALON,Payment,Cash in Bank (Peso),PR041705,GL0035353,2022-01-07,,B-007,Land Bank of the Philippines,36122.13,0
225588,ICM-ST000665,"Strong Moto Centrum, Inc. (KIA BOHOL)",Invoice,Rent Receivables,IC0036221,GL0035701,2022-01-07,2022-01-15,,,32100.00,0
225584,ICM-ST000139,SUZUKI AUTO BOHOL,Invoice,Rent Receivables,IC0036220,GL0035700,2022-01-07,2022-01-15,,,32100.00,0
227224,ICM-LT000033,DAVIDS SALON,Payment,Cash in Bank (Peso),PR041705,GL0035603,2022-01-07,,B-007,Land Bank of the Philippines,22022.75,0
227218,ICM-LT000060,RJB GOLD AVENUE,Payment,Cash in Bank (Peso),PR041704,GL0034833,2022-01-07,,B-007,Land Bank of the Philippines,21400.00,0
240504,ICM-LT000007,FOR ME,Payment,Rent Receivables-RR Clearing,PR044276,GL0035879,2022-01-07,,B-012,Banks of the Philippine Islands,20508.05,0
