ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
256540,ICM-LT001594,Gents Style Stamping Services,Payment,Cash in Bank (Peso),PR042263,GL0039746,2022-06-01,,B-007,Land Bank of the Philippines,45000.00,0
256538,ICM-LT001594,Gents Style Stamping Services,Payment,Cash in Bank (Peso),PR042263,GL0039745,2022-06-01,,B-007,Land Bank of the Philippines,16050.00,0
256623,ICM-ST000651,Hamilton Philippines Inc.,Payment,Cash in Bank (Peso),PR042264,GL0039760,2022-06-01,,B-007,Land Bank of the Philippines,9800.00,0
256590,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0029691,2022-06-01,,B-007,Land Bank of the Philippines,8025.00,0
256592,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0030765,2022-06-01,,B-007,Land Bank of the Philippines,6420.00,0
256596,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0031348,2022-06-01,,B-007,Land Bank of the Philippines,6420.00,0
256602,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0032813,2022-06-01,,B-007,Land Bank of the Philippines,5350.00,0
256604,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0032814,2022-06-01,,B-007,Land Bank of the Philippines,3367.00,0
256600,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0032338,2022-06-01,,B-007,Land Bank of the Philippines,3279.00,0
256598,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0031350,2022-06-01,,B-007,Land Bank of the Philippines,3235.00,0
256588,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0029693,2022-06-01,,B-007,Land Bank of the Philippines,3202.00,0
256594,ICM-LT000107,BUKO KING,Payment,Cash in Bank (Peso),PR042265,GL0030456,2022-06-01,,B-007,Land Bank of the Philippines,3180.00,0
255122,ICM-ST000862,Katma Martial Arts and Fitness Center,Invoice,Rent Receivables,IC0039667,GL0039512,2022-06-01,2022-06-09,,,3000.00,0
255213,ICM-ST000862,Katma Martial Arts and Fitness Center,Payment,Unearned Rent Income,B0018542,GL0039529,2022-06-01,,,,3000.00,0
255214,ICM-ST000862,Katma Martial Arts and Fitness Center,Payment,Rent Receivables,B0018542,GL0039512,2022-06-01,,,,0,-3000.00
255123,ICM-ST000862,Katma Martial Arts and Fitness Center,Invoice,Rent Income,IC0039667,GL0039512,2022-06-01,2022-06-09,,,0,-3000.00
256595,ICM-LT000107,BUKO KING,Payment,A/R  Non Trade External,PR042265,GL0030456,2022-06-01,,B-007,Land Bank of the Philippines,0,-3180.00
256589,ICM-LT000107,BUKO KING,Payment,A/R  Non Trade External,PR042265,GL0029693,2022-06-01,,B-007,Land Bank of the Philippines,0,-3202.00
256599,ICM-LT000107,BUKO KING,Payment,A/R  Non Trade External,PR042265,GL0031350,2022-06-01,,B-007,Land Bank of the Philippines,0,-3235.00
256601,ICM-LT000107,BUKO KING,Payment,A/R  Non Trade External,PR042265,GL0032338,2022-06-01,,B-007,Land Bank of the Philippines,0,-3279.00
256605,ICM-LT000107,BUKO KING,Payment,A/R  Non Trade External,PR042265,GL0032814,2022-06-01,,B-007,Land Bank of the Philippines,0,-3367.00
256603,ICM-LT000107,BUKO KING,Payment,Rent Receivables,PR042265,GL0032813,2022-06-01,,B-007,Land Bank of the Philippines,0,-5350.00
256593,ICM-LT000107,BUKO KING,Payment,Rent Receivables,PR042265,GL0030765,2022-06-01,,B-007,Land Bank of the Philippines,0,-6420.00
256597,ICM-LT000107,BUKO KING,Payment,Rent Receivables,PR042265,GL0031348,2022-06-01,,B-007,Land Bank of the Philippines,0,-6420.00
256591,ICM-LT000107,BUKO KING,Payment,Rent Receivables,PR042265,GL0029691,2022-06-01,,B-007,Land Bank of the Philippines,0,-8025.00
256624,ICM-ST000651,Hamilton Philippines Inc.,Payment,Rent Receivables,PR042264,GL0039760,2022-06-01,,B-007,Land Bank of the Philippines,0,-9800.00
256539,ICM-LT001594,Gents Style Stamping Services,Payment,Unearned Rent Income,PR042263,GL0039745,2022-06-01,,B-007,Land Bank of the Philippines,0,-16050.00
256541,ICM-LT001594,Gents Style Stamping Services,Payment,Security Deposit Payable,PR042263,GL0039746,2022-06-01,,B-007,Land Bank of the Philippines,0,-45000.00
262814,ICM-LT001589,Alberto Shoes,Payment,Security Deposit Payable-Preop Clearing,PR307350,GL0040551,2022-06-02,,B-022,Banks of the Philippine Islands,420552.00,0
262369,ICM-LT001589,Alberto Shoes,Payment,Cash in Bank (Peso),UFT0005210,GL0040551,2022-06-02,,B-022,Banks of the Philippine Islands,420552.00,0
262812,ICM-LT001589,Alberto Shoes,Payment,Unearned Rent Income-Preop Clearing,PR044623,GL0040552,2022-06-02,,B-022,Banks of the Philippine Islands,74998.44,0
262371,ICM-LT001589,Alberto Shoes,Payment,Cash in Bank (Peso),UFT0005210,GL0040552,2022-06-02,,B-022,Banks of the Philippine Islands,74998.44,0
262816,ICM-LT001589,Alberto Shoes,Payment,Construction Bond-Preop Clearing,PR307350,GL0040550,2022-06-02,,B-022,Banks of the Philippine Islands,70092.00,0
262367,ICM-LT001589,Alberto Shoes,Payment,Cash in Bank (Peso),UFT0005210,GL0040550,2022-06-02,,B-022,Banks of the Philippine Islands,70092.00,0
258372,ICM-LT001124,Aerophone Enterprises and Co.,Payment,Rent Receivables-RR Clearing,PR044577,GL0039407,2022-06-02,,B-022,Banks of the Philippine Islands,32100.00,0
258362,ICM-LT001124,Aerophone Enterprises and Co.,Payment,Cash in Bank (Peso),UFT0005133,GL0039407,2022-06-02,,B-022,Banks of the Philippine Islands,32100.00,0
261428,ICM-LT000133,AFICIONADO,Payment,Cash in Bank (Peso),UFT0005196,GL0039386,2022-06-02,,B-022,Banks of the Philippine Islands,17167.82,0
258850,ICM-LT000224,WAFFLE TIME,Payment,Unearned Rent Income-URI Clearing,PR044591,GL0039904,2022-06-02,,B-012,Banks of the Philippine Islands,13876.19,0
258515,ICM-LT000224,WAFFLE TIME,Payment,Cash in Bank (Peso),UFT0005144,GL0039904,2022-06-02,,B-012,Banks of the Philippine Islands,13876.19,0
258374,ICM-LT001124,Aerophone Enterprises and Co.,Payment,A/R  Non Trade External-AR Clearing,PR044577,GL0039551,2022-06-02,,B-022,Banks of the Philippine Islands,12196.25,0
258364,ICM-LT001124,Aerophone Enterprises and Co.,Payment,Cash in Bank (Peso),UFT0005133,GL0039551,2022-06-02,,B-022,Banks of the Philippine Islands,12196.25,0
256665,ICM-ST000651,Hamilton Philippines Inc.,Payment,Cash in Bank (Peso),PR042266,GL0039760,2022-06-02,,B-007,Land Bank of the Philippines,6250.00,0
258852,ICM-LT000224,WAFFLE TIME,Payment,A/R  Non Trade External-AR Clearing,PR044591,GL0039742,2022-06-02,,B-012,Banks of the Philippine Islands,3190.65,0
258513,ICM-LT000224,WAFFLE TIME,Payment,Cash in Bank (Peso),UFT0005144,GL0039742,2022-06-02,,B-012,Banks of the Philippine Islands,3190.65,0
261430,ICM-LT000133,AFICIONADO,Payment,Cash in Bank (Peso),UFT0005196,GL0039682,2022-06-02,,B-022,Banks of the Philippine Islands,2677.40,0
256667,ICM-ST000651,Hamilton Philippines Inc.,Payment,Cash in Bank (Peso),PR042266,GL0039761,2022-06-02,,B-007,Land Bank of the Philippines,1500.00,0
256668,ICM-ST000651,Hamilton Philippines Inc.,Payment,A/R  Non Trade External,PR042266,GL0039761,2022-06-02,,B-007,Land Bank of the Philippines,0,-1500.00
261431,ICM-LT000133,AFICIONADO,Payment,A/R  Non Trade External-AR Clearing,UFT0005196,GL0039682,2022-06-02,,B-022,Banks of the Philippine Islands,0,-2677.40
258853,ICM-LT000224,WAFFLE TIME,Payment,A/R  Non Trade External,PR044591,GL0039742,2022-06-02,,B-012,Banks of the Philippine Islands,0,-3190.65
258514,ICM-LT000224,WAFFLE TIME,Payment,A/R  Non Trade External-AR Clearing,UFT0005144,GL0039742,2022-06-02,,B-012,Banks of the Philippine Islands,0,-3190.65
256666,ICM-ST000651,Hamilton Philippines Inc.,Payment,Rent Receivables,PR042266,GL0039760,2022-06-02,,B-007,Land Bank of the Philippines,0,-6250.00
258375,ICM-LT001124,Aerophone Enterprises and Co.,Payment,A/R  Non Trade External,PR044577,GL0039551,2022-06-02,,B-022,Banks of the Philippine Islands,0,-12196.25
258365,ICM-LT001124,Aerophone Enterprises and Co.,Payment,A/R  Non Trade External-AR Clearing,UFT0005133,GL0039551,2022-06-02,,B-022,Banks of the Philippine Islands,0,-12196.25
258851,ICM-LT000224,WAFFLE TIME,Payment,Unearned Rent Income,PR044591,GL0039904,2022-06-02,,B-012,Banks of the Philippine Islands,0,-13876.19
258516,ICM-LT000224,WAFFLE TIME,Payment,Unearned Rent Income-URI Clearing,UFT0005144,GL0039904,2022-06-02,,B-012,Banks of the Philippine Islands,0,-13876.19
261429,ICM-LT000133,AFICIONADO,Payment,Rent Receivables-RR Clearing,UFT0005196,GL0039386,2022-06-02,,B-022,Banks of the Philippine Islands,0,-17167.82
258373,ICM-LT001124,Aerophone Enterprises and Co.,Payment,Rent Receivables,PR044577,GL0039407,2022-06-02,,B-022,Banks of the Philippine Islands,0,-32100.00
258363,ICM-LT001124,Aerophone Enterprises and Co.,Payment,Rent Receivables-RR Clearing,UFT0005133,GL0039407,2022-06-02,,B-022,Banks of the Philippine Islands,0,-32100.00
262817,ICM-LT001589,Alberto Shoes,Payment,Construction Bond,PR307350,GL0040550,2022-06-02,,B-022,Banks of the Philippine Islands,0,-70092.00
262368,ICM-LT001589,Alberto Shoes,Payment,Construction Bond-Preop Clearing,UFT0005210,GL0040550,2022-06-02,,B-022,Banks of the Philippine Islands,0,-70092.00
262813,ICM-LT001589,Alberto Shoes,Payment,Unearned Rent Income,PR044623,GL0040552,2022-06-02,,B-022,Banks of the Philippine Islands,0,-74998.44
262372,ICM-LT001589,Alberto Shoes,Payment,Unearned Rent Income-Preop Clearing,UFT0005210,GL0040552,2022-06-02,,B-022,Banks of the Philippine Islands,0,-74998.44
262815,ICM-LT001589,Alberto Shoes,Payment,Security Deposit Payable,PR307350,GL0040551,2022-06-02,,B-022,Banks of the Philippine Islands,0,-420552.00
262370,ICM-LT001589,Alberto Shoes,Payment,Security Deposit Payable-Preop Clearing,UFT0005210,GL0040551,2022-06-02,,B-022,Banks of the Philippine Islands,0,-420552.00
258330,ICM-LT000054,FORTRESS,Payment,Rent Receivables-RR Clearing,PR044575,GL0039415,2022-06-03,,B-012,Banks of the Philippine Islands,56878.88,0
258326,ICM-LT000054,FORTRESS,Payment,Cash in Bank (Peso),UFT0005129,GL0039415,2022-06-03,,B-012,Banks of the Philippine Islands,56878.88,0
261704,ICM-LT000480,Primary Homes New,Payment,Cash in Bank (Peso),UFT0005199,GL0039365,2022-06-03,,B-012,Banks of the Philippine Islands,53816.72,0
251578,ICM-ST000052,TOYOTA,Invoice,Rent Receivables,IC0039277,GL0039086,2022-06-03,2022-06-11,,,53500.00,0
258322,ICM-LT000276,SKIN STATION,Payment,Rent Receivables-RR Clearing,PR044574,GL0039333,2022-06-03,,B-012,Banks of the Philippine Islands,47292.82,0
258318,ICM-LT000276,SKIN STATION,Payment,Cash in Bank (Peso),UFT0005128,GL0039333,2022-06-03,,B-012,Banks of the Philippine Islands,47292.82,0
256775,ICM-LT000090,BOHECO I AND II,Payment,Cash in Bank (Peso),PR042269,GL0038451,2022-06-03,,B-007,Land Bank of the Philippines,37160.24,0
256773,ICM-LT000090,BOHECO I AND II,Payment,Cash in Bank (Peso),PR042268,GL0039329,2022-06-03,,B-007,Land Bank of the Philippines,37160.24,0
257936,ICM-LT000057,UNISILVER,Payment,Rent Receivables-RR Clearing,PR044544,GL0038555,2022-06-03,,B-022,Banks of the Philippine Islands,28406.02,0
257928,ICM-LT000057,UNISILVER,Payment,Cash in Bank (Peso),UFT0005107,GL0038555,2022-06-03,,B-022,Banks of the Philippine Islands,28406.02,0
