ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
226465,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice Adjustment,MI-Common Utilities,IC0036141,GL0035598,2022-01-02,2022-01-10,,,125.00,0
225004,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,MI-Common Utilities,IC0036141,GL0035598,2022-01-02,2022-01-10,,,0,-500.00
225005,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,MI-Light and Power,IC0036141,GL0035598,2022-01-02,2022-01-10,,,0,-1080.20
224600,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,Rent Income,IC0036064,GL0035521,2022-01-02,2022-01-10,,,0,-5000.00
222698,ICM-ST000763,ASHIRA PROPERTIES DEV. CORP.,Invoice,Rent Income,IC0035752,GL0035193,2022-01-05,2022-01-13,,,0,-10000.00
222906,ICM-ST000055,MITSUBISHI MOTORS,Invoice,Rent Income,IC0035778,GL0035221,2022-01-05,2022-01-13,,,0,-50000.00
228937,ICM-ST000729,GGD Book Trading,Invoice,Rent Income,IC0036478,GL0036025,2022-01-06,2022-01-14,,,0,-20000.00
226477,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice Adjustment,MI-Common Utilities,IC0036161,GL0035619,2022-01-07,2022-01-15,,,2767.00,0
225145,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,MI-Light and Power,IC0036161,GL0035619,2022-01-07,2022-01-15,,,0,-1936.00
225144,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,MI-Common Utilities,IC0036161,GL0035619,2022-01-07,2022-01-15,,,0,-11068.00
227949,ICM-ST000728,Giftstation Panglao - Exhibit,Invoice,Rent Income,IC0036411,GL0035940,2022-01-07,2022-01-15,,,0,-15000.00
225589,ICM-ST000665,"Strong Moto Centrum, Inc. (KIA BOHOL)",Invoice,Rent Income,IC0036221,GL0035701,2022-01-07,2022-01-15,,,0,-30000.00
225585,ICM-ST000139,SUZUKI AUTO BOHOL,Invoice,Rent Income,IC0036220,GL0035700,2022-01-07,2022-01-15,,,0,-30000.00
224321,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,Rent Income,IC0035996,GL0035453,2022-01-07,2022-01-15,,,0,-60000.00
222912,ICM-ST000021,AUTOPREMIUM INCORPORATED,Invoice,Rent Income,IC0035779,GL0035222,2022-01-08,2022-01-16,,,0,-50000.00
228857,ICM-ST000015,NISSAN,Invoice,Rent Income,IC0036470,GL0036016,2022-01-10,2022-01-18,,,0,-50000.00
228961,ICM-ST000651,Hamilton Philippines Inc.,Invoice,MI-Light and Power,IC0036483,GL0036030,2022-01-17,2022-01-25,,,0,-1500.00
228957,ICM-ST000651,Hamilton Philippines Inc.,Invoice,Rent Income,IC0036482,GL0036029,2022-01-17,2022-01-25,,,0,-15000.00
228933,ICM-ST000665,"Strong Moto Centrum, Inc. (KIA BOHOL)",Invoice,Rent Income,IC0036477,GL0036024,2022-01-24,2022-02-01,,,0,-10000.00
233700,ICM-LT000028,J.CO DONUTS AND COFFEE,Invoice Adjustment,Rent Income,IC0036824,GL0036393,2022-01-31,2022-02-10,,,51951.70,0
239010,ICM-LT000479,LEVIS,Invoice Adjustment,Rent Income,IC0036856,GL0036425,2022-01-31,2022-02-15,,,28625.00,0
235492,ICM-LT000156,TECHNOCARE GADGETS REPAIR,Invoice Adjustment,Rent Income,IC0036843,GL0036412,2022-01-31,2022-02-10,,,18000.00,0
233430,ICM-ST000651,Hamilton Philippines Inc.,Invoice Adjustment,Rent Income,IC0037105,GL0036700,2022-01-31,2022-02-08,,,15000.00,0
232509,ICM-LT000122,ABENSON,Invoice Adjustment,Rent Income,IC0037014,GL0036590,2022-01-31,2022-02-10,,,12359.77,0
242523,ICM-LT001369,Chowking (Warehouse),Invoice Adjustment,MI-Light and Power,IC0037847,GL0037541,2022-01-31,2022-02-15,,,11927.99,0
232302,ICM-LT001014,Quadtechnology Mobile Phones and Accessories,Invoice Adjustment,Rent Income,IC0036979,GL0036554,2022-01-31,2022-02-10,,,10000.00,0
258464,ICM-ST000016,KIA BOHOL,Invoice Adjustment,Rent Income,IC0036489,GL0036042,2022-01-31,2022-02-08,,,9300.00,0
239004,ICM-LT000479,LEVIS,Invoice Adjustment,MI-Light and Power,IC0036881,GL0036450,2022-01-31,2022-02-15,,,7668.00,0
234799,ICM-LT000306,ALVAS FOOD PROCESSING,Invoice Adjustment,Rent Income,IC0036845,GL0036414,2022-01-31,2022-02-10,,,7500.00,0
246538,ICM-LT000422,GLOBE TELECOM INC. - ADBOX,Invoice Adjustment,Rent Income,IC0038583,GL0038350,2022-01-31,2022-02-08,,,5000.00,0
234791,ICM-ST000402,Greenwich GTG,Invoice Adjustment,Rent Income,IC0036841,GL0036410,2022-01-31,2022-02-10,,,5000.00,0
239002,ICM-LT000479,LEVIS,Invoice Adjustment,MI-Aircon Charges,IC0036881,GL0036450,2022-01-31,2022-02-15,,,3900.00,0
239005,ICM-LT000479,LEVIS,Invoice Adjustment,MI-Charges,IC0036881,GL0036450,2022-01-31,2022-02-15,,,3372.50,0
239003,ICM-LT000479,LEVIS,Invoice Adjustment,MI-Common Utilities,IC0036881,GL0036450,2022-01-31,2022-02-15,,,2862.50,0
232845,ICM-LT001124,Aerophone Enterprises and Co.,Invoice Adjustment,Rent Income,IC0037042,GL0036622,2022-01-31,2022-02-10,,,2340.00,0
239997,ICM-LT000050,ALVAS CHICHARON,Invoice Adjustment,MI-Charges,IC0036908,GL0036477,2022-01-31,2022-02-10,,,1450.00,0
239995,ICM-LT000101,ST. PATRICK ROASTED PORK,Invoice Adjustment,MI-Charges,IC0036933,GL0036504,2022-01-31,2022-02-10,,,1450.00,0
233375,ICM-LT000008,WATSONS,Invoice,MI-Water,IC0037098,GL0036693,2022-01-31,2022-02-15,,,0,-1.56
232480,ICM-LT000114,ICM POST OFFICE,Invoice,MI-Charges,IC0037011,GL0036587,2022-01-31,2022-02-10,,,0,-19.08
