ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
225003,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,A/R  Non Trade External,IC0036141,GL0035598,2022-01-02,2022-01-10,,,1580.20,0
226464,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice Adjustment,A/R  Non Trade External,IC0036141,GL0035598,2022-01-02,2022-01-10,,,0,-125.00
225862,ICM-LT000451,CREPETEALOGY CAFE,Payment,A/R  Non Trade External,PR041686,GL0031293,2022-01-02,0000-00-00,B-007,Land Bank of the Philippines,0,-11245.00
235034,ICM-LT000904,Musashi Takoyaki,Payment,A/R  Non Trade External,PR041687,GL0029854,2022-01-03,0000-00-00,,,0,-3573.30
239402,ICM-LT000076,SANDUGO SANDALS,Payment,A/R  Non Trade External-AR Clearing,PR044208,GL0035039,2022-01-04,0000-00-00,B-022,Banks of the Philippine Islands,6097.00,0
239403,ICM-LT000076,SANDUGO SANDALS,Payment,A/R  Non Trade External,PR044208,GL0035039,2022-01-04,0000-00-00,B-022,Banks of the Philippine Islands,0,-6097.00
231991,ICM-LT000076,SANDUGO SANDALS,Payment,A/R  Non Trade External-AR Clearing,UFT0004516,GL0035039,2022-01-04,0000-00-00,B-022,Banks of the Philippine Islands,0,-6097.00
226414,ICM-LT000023,DUNKIN DONUTS,Payment,A/R  Non Trade External,PR041690,GL0035042,2022-01-04,0000-00-00,B-007,Land Bank of the Philippines,0,-17261.92
253706,ICM-LT000071,JEMS BARBER SHOP,Payment,A/R  Non Trade External-AR Clearing,PR044502,GL0026437,2022-01-05,0000-00-00,B-012,Banks of the Philippine Islands,20835.74,0
234037,ICM-LT000018,X-QUISITE,Payment,A/R  Non Trade External-AR Clearing,PR043658,GL0035106,2022-01-05,0000-00-00,B-022,Banks of the Philippine Islands,15182.48,0
226581,ICM-LT000080,PAYAG,Payment,A/R  Non Trade External,PR041691,GL0025958,2022-01-05,0000-00-00,B-007,Land Bank of the Philippines,0,-13405.18
234038,ICM-LT000018,X-QUISITE,Payment,A/R  Non Trade External,PR043658,GL0035106,2022-01-05,0000-00-00,B-022,Banks of the Philippine Islands,0,-15182.48
231476,ICM-LT000018,X-QUISITE,Payment,A/R  Non Trade External-AR Clearing,UFT0004494,GL0035106,2022-01-05,0000-00-00,B-022,Banks of the Philippine Islands,0,-15182.48
253707,ICM-LT000071,JEMS BARBER SHOP,Payment,A/R  Non Trade External,PR044502,GL0026437,2022-01-05,0000-00-00,B-012,Banks of the Philippine Islands,0,-20835.74
226585,ICM-LT000080,PAYAG,Payment,A/R  Non Trade External,PR041691,GL0027722,2022-01-05,0000-00-00,B-007,Land Bank of the Philippines,0,-57529.54
226950,ICM-LT000104,PEANUTWORLD,Payment,A/R  Non Trade External,PR041696,GL0033314,2022-01-06,0000-00-00,B-007,Land Bank of the Philippines,0,-2054.10
226985,ICM-LT000496,ORYSPA,Payment,A/R  Non Trade External,PR041700,GL0034966,2022-01-06,0000-00-00,B-007,Land Bank of the Philippines,0,-2500.00
226931,ICM-LT000125,CAFE MAJSTEA,Payment,A/R  Non Trade External,PR041693,GL0033677,2022-01-06,0000-00-00,B-007,Land Bank of the Philippines,0,-4023.50
226957,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,A/R  Non Trade External,PR041697,GL0033697,2022-01-06,0000-00-00,B-007,Land Bank of the Philippines,0,-6934.90
226943,ICM-LT000042,BODY AND SOLE,Payment,A/R  Non Trade External,PR041695,GL0034348,2022-01-06,0000-00-00,B-007,Land Bank of the Philippines,0,-16388.00
226935,ICM-LT000091,YSTILO SALON,Payment,A/R  Non Trade External,PR041694,GL0034199,2022-01-06,0000-00-00,B-007,Land Bank of the Philippines,0,-17114.20
240506,ICM-LT000007,FOR ME,Payment,A/R  Non Trade External-AR Clearing,PR044276,GL0035881,2022-01-07,0000-00-00,B-012,Banks of the Philippine Islands,14227.64,0
225143,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,A/R  Non Trade External,IC0036161,GL0035619,2022-01-07,2022-01-15,,,12771.79,0
233789,ICM-LT000110,MENDREZ,Payment,A/R  Non Trade External-AR Clearing,PR043642,GL0035207,2022-01-07,0000-00-00,B-012,Banks of the Philippine Islands,11674.21,0
265100,ICM-LT000059,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External-AR Clearing,PR044673,GL0035054,2022-01-07,0000-00-00,B-012,Banks of the Philippine Islands,3762.00,0
233941,ICM-LT000068,SST LAPTOP,Payment,A/R  Non Trade External-AR Clearing,PR043646,GL0035802,2022-01-07,0000-00-00,B-022,Banks of the Philippine Islands,2407.00,0
227213,ICM-LT000904,Musashi Takoyaki,Payment,A/R  Non Trade External,PR041703,GL0029102,2022-01-07,0000-00-00,B-007,Land Bank of the Philippines,0,-160.00
227217,ICM-LT000060,RJB GOLD AVENUE,Payment,A/R  Non Trade External,PR041704,GL0030992,2022-01-07,0000-00-00,B-007,Land Bank of the Philippines,0,-1122.00
227221,ICM-LT000060,RJB GOLD AVENUE,Payment,A/R  Non Trade External,PR041704,GL0034895,2022-01-07,0000-00-00,B-007,Land Bank of the Philippines,0,-1309.00
233942,ICM-LT000068,SST LAPTOP,Payment,A/R  Non Trade External,PR043646,GL0035802,2022-01-07,0000-00-00,B-022,Banks of the Philippine Islands,0,-2407.00
233936,ICM-LT000068,SST LAPTOP,Payment,A/R  Non Trade External-AR Clearing,UFT0004563,GL0035802,2022-01-07,0000-00-00,B-022,Banks of the Philippine Islands,0,-2407.00
226476,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice Adjustment,A/R  Non Trade External,IC0036161,GL0035619,2022-01-07,2022-01-15,,,0,-2717.59
265101,ICM-LT000059,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,PR044673,GL0035054,2022-01-07,0000-00-00,B-012,Banks of the Philippine Islands,0,-3762.00
231087,ICM-LT000059,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External-AR Clearing,UFT0004482,GL0035054,2022-01-07,0000-00-00,B-012,Banks of the Philippine Islands,0,-3762.00
233790,ICM-LT000110,MENDREZ,Payment,A/R  Non Trade External,PR043642,GL0035207,2022-01-07,0000-00-00,B-012,Banks of the Philippine Islands,0,-11674.21
233384,ICM-LT000110,MENDREZ,Payment,A/R  Non Trade External-AR Clearing,UFT0004546,GL0035207,2022-01-07,0000-00-00,B-012,Banks of the Philippine Islands,0,-11674.21
240507,ICM-LT000007,FOR ME,Payment,A/R  Non Trade External,PR044276,GL0035881,2022-01-07,0000-00-00,B-012,Banks of the Philippine Islands,0,-14227.64
227225,ICM-LT000033,DAVIDS SALON,Payment,A/R  Non Trade External,PR041705,GL0035603,2022-01-07,0000-00-00,B-007,Land Bank of the Philippines,0,-22022.75
227072,ICM-LT000128,HARBOUR CITY,Payment,A/R  Non Trade External,PR041702,GL0033771,2022-01-07,0000-00-00,B-007,Land Bank of the Philippines,0,-59804.76
227047,ICM-LT000128,HARBOUR CITY,Payment,A/R  Non Trade External,PR041701,GL0032446,2022-01-07,0000-00-00,B-007,Land Bank of the Philippines,0,-59937.09
227068,ICM-LT000128,HARBOUR CITY,Payment,A/R  Non Trade External,PR041702,GL0033153,2022-01-07,0000-00-00,B-007,Land Bank of the Philippines,0,-87478.25
227051,ICM-LT000128,HARBOUR CITY,Payment,A/R  Non Trade External,PR041701,GL0033153,2022-01-07,0000-00-00,B-007,Land Bank of the Philippines,0,-87540.42
227253,ICM-LT000158,ZAMIN FOREIGN EXCHANGE,Payment,A/R  Non Trade External,PR041707,GL0035844,2022-01-08,0000-00-00,B-007,Land Bank of the Philippines,0,-2303.00
