ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
224600,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,Rent Income,IC0036064,GL0035521,2022-01-02,2022-01-10,,,0,-5000.00
222698,ICM-ST000763,ASHIRA PROPERTIES DEV. CORP.,Invoice,Rent Income,IC0035752,GL0035193,2022-01-05,2022-01-13,,,0,-10000.00
222906,ICM-ST000055,MITSUBISHI MOTORS,Invoice,Rent Income,IC0035778,GL0035221,2022-01-05,2022-01-13,,,0,-50000.00
228937,ICM-ST000729,GGD Book Trading,Invoice,Rent Income,IC0036478,GL0036025,2022-01-06,2022-01-14,,,0,-20000.00
227949,ICM-ST000728,Giftstation Panglao - Exhibit,Invoice,Rent Income,IC0036411,GL0035940,2022-01-07,2022-01-15,,,0,-15000.00
225589,ICM-ST000665,"Strong Moto Centrum, Inc. (KIA BOHOL)",Invoice,Rent Income,IC0036221,GL0035701,2022-01-07,2022-01-15,,,0,-30000.00
225585,ICM-ST000139,SUZUKI AUTO BOHOL,Invoice,Rent Income,IC0036220,GL0035700,2022-01-07,2022-01-15,,,0,-30000.00
224321,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,Rent Income,IC0035996,GL0035453,2022-01-07,2022-01-15,,,0,-60000.00
222912,ICM-ST000021,AUTOPREMIUM INCORPORATED,Invoice,Rent Income,IC0035779,GL0035222,2022-01-08,2022-01-16,,,0,-50000.00
228857,ICM-ST000015,NISSAN,Invoice,Rent Income,IC0036470,GL0036016,2022-01-10,2022-01-18,,,0,-50000.00
228957,ICM-ST000651,Hamilton Philippines Inc.,Invoice,Rent Income,IC0036482,GL0036029,2022-01-17,2022-01-25,,,0,-15000.00
228933,ICM-ST000665,"Strong Moto Centrum, Inc. (KIA BOHOL)",Invoice,Rent Income,IC0036477,GL0036024,2022-01-24,2022-02-01,,,0,-10000.00
233700,ICM-LT000028,J.CO DONUTS AND COFFEE,Invoice Adjustment,Rent Income,IC0036824,GL0036393,2022-01-31,2022-02-10,,,51951.70,0
239010,ICM-LT000479,LEVIS,Invoice Adjustment,Rent Income,IC0036856,GL0036425,2022-01-31,2022-02-15,,,28625.00,0
235492,ICM-LT000156,TECHNOCARE GADGETS REPAIR,Invoice Adjustment,Rent Income,IC0036843,GL0036412,2022-01-31,2022-02-10,,,18000.00,0
233430,ICM-ST000651,Hamilton Philippines Inc.,Invoice Adjustment,Rent Income,IC0037105,GL0036700,2022-01-31,2022-02-08,,,15000.00,0
232509,ICM-LT000122,ABENSON,Invoice Adjustment,Rent Income,IC0037014,GL0036590,2022-01-31,2022-02-10,,,12359.77,0
232302,ICM-LT001014,Quadtechnology Mobile Phones and Accessories,Invoice Adjustment,Rent Income,IC0036979,GL0036554,2022-01-31,2022-02-10,,,10000.00,0
258464,ICM-ST000016,KIA BOHOL,Invoice Adjustment,Rent Income,IC0036489,GL0036042,2022-01-31,2022-02-08,,,9300.00,0
234799,ICM-LT000306,ALVAS FOOD PROCESSING,Invoice Adjustment,Rent Income,IC0036845,GL0036414,2022-01-31,2022-02-10,,,7500.00,0
