ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
226465,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice Adjustment,MI-Common Utilities,IC0036141,GL0035598,2022-01-02,2022-01-10,,,125.00,0
225004,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,MI-Common Utilities,IC0036141,GL0035598,2022-01-02,2022-01-10,,,0,-500.00
225005,ICM-ST000692,The Shawarma Shack Temp. Area,Invoice,MI-Light and Power,IC0036141,GL0035598,2022-01-02,2022-01-10,,,0,-1080.20
226477,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice Adjustment,MI-Common Utilities,IC0036161,GL0035619,2022-01-07,2022-01-15,,,2767.00,0
225145,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,MI-Light and Power,IC0036161,GL0035619,2022-01-07,2022-01-15,,,0,-1936.00
225144,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,MI-Common Utilities,IC0036161,GL0035619,2022-01-07,2022-01-15,,,0,-11068.00
228961,ICM-ST000651,Hamilton Philippines Inc.,Invoice,MI-Light and Power,IC0036483,GL0036030,2022-01-17,2022-01-25,,,0,-1500.00
242523,ICM-LT001369,Chowking (Warehouse),Invoice Adjustment,MI-Light and Power,IC0037847,GL0037541,2022-01-31,2022-02-15,,,11927.99,0
239004,ICM-LT000479,LEVIS,Invoice Adjustment,MI-Light and Power,IC0036881,GL0036450,2022-01-31,2022-02-15,,,7668.00,0
239002,ICM-LT000479,LEVIS,Invoice Adjustment,MI-Aircon Charges,IC0036881,GL0036450,2022-01-31,2022-02-15,,,3900.00,0
239005,ICM-LT000479,LEVIS,Invoice Adjustment,MI-Charges,IC0036881,GL0036450,2022-01-31,2022-02-15,,,3372.50,0
239003,ICM-LT000479,LEVIS,Invoice Adjustment,MI-Common Utilities,IC0036881,GL0036450,2022-01-31,2022-02-15,,,2862.50,0
239997,ICM-LT000050,ALVAS CHICHARON,Invoice Adjustment,MI-Charges,IC0036908,GL0036477,2022-01-31,2022-02-10,,,1450.00,0
239995,ICM-LT000101,ST. PATRICK ROASTED PORK,Invoice Adjustment,MI-Charges,IC0036933,GL0036504,2022-01-31,2022-02-10,,,1450.00,0
233375,ICM-LT000008,WATSONS,Invoice,MI-Water,IC0037098,GL0036693,2022-01-31,2022-02-15,,,0,-1.56
232480,ICM-LT000114,ICM POST OFFICE,Invoice,MI-Charges,IC0037011,GL0036587,2022-01-31,2022-02-10,,,0,-19.08
232017,ICM-LT000026,ORO CHINA,Invoice,MI-Water,IC0036954,GL0036526,2022-01-31,2022-02-10,,,0,-46.80
233033,ICM-LT000108,MEAL TIME EXPRESS,Invoice,MI-Water,IC0037074,GL0036660,2022-01-31,2022-02-15,,,0,-52.00
230163,ICM-LT000159,THE LEMON CO,Invoice,MI-Water,IC0036623,GL0036181,2022-01-31,2022-02-10,,,0,-52.00
232477,ICM-LT000114,ICM POST OFFICE,Invoice,MI-Aircon Charges,IC0037011,GL0036587,2022-01-31,2022-02-10,,,0,-83.48
236763,ICM-LT000009,GOLDILOCKS,Invoice,MI-Water,IC0037487,GL0037131,2022-01-31,2022-02-15,,,0,-104.00
231564,ICM-LT000067,MARCELA FARMS ROASTED CHICKEN,Invoice,MI-Water,IC0036885,GL0036454,2022-01-31,2022-02-10,,,0,-104.00
231603,ICM-LT000157,MR NGO,Invoice,MI-Water,IC0036892,GL0036461,2022-01-31,2022-02-10,,,0,-104.00
232455,ICM-LT000075,UNISILVER TIME,Invoice,MI-Charges,IC0037008,GL0036584,2022-01-31,2022-02-10,,,0,-105.80
232478,ICM-LT000114,ICM POST OFFICE,Invoice,MI-Common Utilities,IC0037011,GL0036587,2022-01-31,2022-02-10,,,0,-111.30
230679,ICM-LT000121,USSC,Invoice,MI-Charges,IC0036729,GL0036295,2022-01-31,2022-02-10,,,0,-118.20
232826,ICM-LT000040,MOLE CELLPHONE SHOP,Invoice,MI-Charges,IC0037055,GL0036636,2022-01-31,2022-02-10,,,0,-127.50
231567,ICM-LT000067,MARCELA FARMS ROASTED CHICKEN,Invoice,MI-Charges,IC0036885,GL0036454,2022-01-31,2022-02-10,,,0,-130.50
232821,ICM-LT000036,CELL DEPOT,Invoice,MI-Charges,IC0037054,GL0036635,2022-01-31,2022-02-10,,,0,-133.00
235514,ICM-LT000039,CELLPOINT,Invoice,MI-Charges,IC0037252,GL0036888,2022-01-31,2022-02-10,,,0,-133.00
231853,ICM-LT000045,EBA PRINTERS,Invoice,MI-Charges,IC0036928,GL0036499,2022-01-31,2022-02-10,,,0,-150.00
231617,ICM-LT000044,LBC,Invoice,MI-Water,IC0036894,GL0036463,2022-01-31,2022-02-10,,,0,-156.00
232784,ICM-LT000154,MASTER SIOMAI - WS,Invoice,MI-Water,IC0037052,GL0036633,2022-01-31,2022-02-10,,,0,-156.00
233300,ICM-LT000013,RED RIBBON,Invoice,MI-Water,IC0037096,GL0036690,2022-01-31,2022-02-15,,,0,-156.00
231641,ICM-LT000098,THE RIGHT FIT,Invoice,MI-Charges,IC0036896,GL0036465,2022-01-31,2022-02-10,,,0,-169.60
231721,ICM-LT000046,M LHUILLIER,Invoice,MI-Charges,IC0036909,GL0036478,2022-01-31,2022-02-10,,,0,-170.30
231588,ICM-LT000095,GARCIA PAWNSHOP,Invoice,MI-Charges,IC0036889,GL0036458,2022-01-31,2022-02-10,,,0,-173.80
232479,ICM-LT000114,ICM POST OFFICE,Invoice,MI-Light and Power,IC0037011,GL0036587,2022-01-31,2022-02-10,,,0,-180.00
231678,ICM-LT000020,CORE PACIFIC,Invoice,MI-Charges,IC0036901,GL0036470,2022-01-31,2022-02-10,,,0,-191.30
231945,ICM-LT000003,RAMIREZ CAKE AVENUE,Invoice,MI-Charges,IC0036947,GL0036518,2022-01-31,2022-02-10,,,0,-191.30
231777,ICM-LT000053,YOUR EYEWEAR SPECIALISTS - YES,Invoice,MI-Charges,IC0036918,GL0036487,2022-01-31,2022-02-10,,,0,-191.30
