ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
299643,ICM-ST000886,Amiraland Booth,Invoice,Rent Income,IC0045298,GL0045666,2023-01-02,2023-01-10,,,0,-35000.00
305920,ICM-ST000052,TOYOTA,Invoice,Rent Income,IC0046054,GL0046480,2023-01-03,2023-01-11,,,0,-25000.00
298096,ICM-ST000884,Pazada Billboard,Invoice,Rent Income,IC0045107,GL0045461,2023-01-06,2023-01-14,,,0,-15000.00
295807,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,MI-Light and Power,IC0044678,GL0045025,2023-01-07,2023-01-15,,,0,-2552.00
298413,ICM-LT001664,KFC Billboard,Invoice,Rent Income,IC0045168,GL0045524,2023-01-07,2023-01-15,,,0,-8000.00
306608,ICM-ST000006,GREENWICH BILLBOARD,Invoice,Rent Income,IC0046118,GL0046552,2023-01-07,2023-01-15,,,0,-10000.00
295806,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,MI-Common Utilities,IC0044678,GL0045025,2023-01-07,2023-01-15,,,0,-11068.00
295376,ICM-LT000884,Gateway Motors Cebu Inc.,Invoice,Rent Income,IC0044603,GL0044947,2023-01-07,2023-01-15,,,0,-70000.00
298902,ICM-ST000925,Brow Clinic and  Beauty Lounge,Invoice,Rent Income,IC0045223,GL0045588,2023-01-14,2023-01-22,,,0,-25000.00
299463,ICM-LT000498,CLEOS SWEET TOOTH,Invoice,MI-Charges,IC0045280,GL0045647,2023-01-15,2023-01-23,,,0,-200.00
299445,ICM-LT000498,CLEOS SWEET TOOTH,Invoice,MI-Charges,IC0045279,GL0045646,2023-01-15,2023-01-23,,,0,-250.00
302356,ICM-LT001097,MJ and RJ Food House,Invoice,MI-Charges,IC0045462,GL0045861,2023-01-15,2023-01-23,,,0,-250.00
302353,ICM-LT001097,MJ and RJ Food House,Invoice,MI-Aircon Charges,IC0045462,GL0045861,2023-01-15,2023-01-23,,,0,-250.00
299444,ICM-LT000498,CLEOS SWEET TOOTH,Invoice,MI-Light and Power,IC0045279,GL0045646,2023-01-15,2023-01-23,,,0,-333.85
299442,ICM-LT000498,CLEOS SWEET TOOTH,Invoice,MI-Aircon Charges,IC0045279,GL0045646,2023-01-15,2023-01-23,,,0,-500.00
299443,ICM-LT000498,CLEOS SWEET TOOTH,Invoice,MI-Common Utilities,IC0045279,GL0045646,2023-01-15,2023-01-23,,,0,-500.00
302354,ICM-LT001097,MJ and RJ Food House,Invoice,MI-Common Utilities,IC0045462,GL0045861,2023-01-15,2023-01-23,,,0,-500.00
302355,ICM-LT001097,MJ and RJ Food House,Invoice,MI-Light and Power,IC0045462,GL0045861,2023-01-15,2023-01-23,,,0,-1584.00
300179,ICM-ST000862,Katma Martial Arts and Fitness Center,Invoice,Rent Income,IC0045327,GL0045702,2023-01-15,2023-01-23,,,0,-5000.00
302358,ICM-LT001097,MJ and RJ Food House,Invoice,Rent Income,IC0045463,GL0045862,2023-01-15,2023-01-23,,,0,-5000.00
299438,ICM-LT000498,CLEOS SWEET TOOTH,Invoice,Rent Income,IC0045278,GL0045645,2023-01-15,2023-01-23,,,0,-7500.00
301341,ICM-ST000942,Ginebra San Miguel BB,Invoice,Rent Income,IC0045364,GL0045757,2023-01-18,2023-01-26,,,0,-5000.00
309316,ICM-ST000651,Hamilton Philippines Inc.,Invoice,MI-Light and Power,IC0046360,GL0046821,2023-01-21,2023-01-29,,,0,-1500.00
309312,ICM-ST000651,Hamilton Philippines Inc.,Invoice,Rent Income,IC0046359,GL0046820,2023-01-21,2023-01-29,,,0,-15000.00
303248,ICM-LT000028,J.CO DONUTS AND COFFEE,Invoice Adjustment,Rent Income,IC0045608,GL0046009,2023-01-31,2023-02-10,,,65087.72,0
305188,ICM-LT000059,ZAGU PEARL SHAKE,Invoice Adjustment,Rent Income,IC0045797,GL0046204,2023-01-31,2023-02-10,,,14039.10,0
305271,ICM-LT000162,CIGNAL TV INC,Invoice Adjustment,Rent Income,IC0045958,GL0046370,2023-01-31,2023-02-10,,,10800.00,0
309525,ICM-LT001639,Churrosimo Food and Beverage Stall,Invoice Adjustment,Rent Income,IC0045795,GL0046202,2023-01-31,2023-02-10,,,8000.00,0
304579,ICM-LT000523,HOUSE OF TAHO,Invoice Adjustment,Rent Income,IC0045793,GL0046200,2023-01-31,2023-02-10,,,8000.00,0
305060,ICM-LT000382,ALVAS FOOD PROCESSING - CANTEEN,Invoice Adjustment,Rent Income,IC0045765,GL0046171,2023-01-31,2023-02-10,,,7000.00,0
304271,ICM-LT000393,TURKS SHAWARMA,Invoice Adjustment,Rent Income,IC0045747,GL0046153,2023-01-31,2023-02-10,,,6000.00,0
303601,ICM-LT000221,REFRESHMENTS,Invoice Adjustment,Rent Income,IC0045685,GL0046089,2023-01-31,2023-02-10,,,5000.00,0
309521,ICM-LT001639,Churrosimo Food and Beverage Stall,Invoice Adjustment,Rent Income,IC0045733,GL0046138,2023-01-31,2023-02-10,,,4000.00,0
304275,ICM-LT000224,WAFFLE TIME,Invoice Adjustment,Rent Income,IC0045724,GL0046129,2023-01-31,2023-02-10,,,3000.00,0
304737,ICM-LT000102,P and  P S KIDDIE CARTS RENTALS,Invoice,MI-Light and Power,IC0045881,GL0046290,2023-01-31,2023-02-10,,,0,-5.50
303322,ICM-LT000114,ICM POST OFFICE,Invoice,MI-Charges,IC0045636,GL0046037,2023-01-31,2023-02-10,,,0,-19.08
