ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
299642,ICM-ST000886,Amiraland Booth,Invoice,Rent Receivables,IC0045298,GL0045666,2023-01-02,2023-01-10,,,37450.00,0
299647,ICM-ST000886,Amiraland Booth,Payment,Rent Receivables,B0021863,GL0045666,2023-01-02,,,,0,-34106.25
299643,ICM-ST000886,Amiraland Booth,Invoice,Rent Income,IC0045298,GL0045666,2023-01-02,2023-01-10,,,0,-35000.00
299843,ICM-ST000021,AUTOPREMIUM INCORPORATED,Payment,Rent Receivables-RR Clearing,PR0061449,GL0045299,2023-01-03,,B-012,Banks of the Philippine Islands,53500.00,0
300754,ICM-LT000479,LEVIS,Payment,Rent Receivables-RR Clearing,PR0061486,GL0044457,2023-01-03,,B-012,Banks of the Philippine Islands,30628.75,0
305919,ICM-ST000052,TOYOTA,Invoice,Rent Receivables,IC0046054,GL0046480,2023-01-03,2023-01-11,,,26750.00,0
305920,ICM-ST000052,TOYOTA,Invoice,Rent Income,IC0046054,GL0046480,2023-01-03,2023-01-11,,,0,-25000.00
297452,ICM-LT000098,THE RIGHT FIT,Payment,Rent Receivables,PR0060474,GL0045073,2023-01-03,,B-007,Land Bank of the Philippines,0,-26749.60
300755,ICM-LT000479,LEVIS,Payment,Rent Receivables,PR0061486,GL0044457,2023-01-03,,B-012,Banks of the Philippine Islands,0,-30628.75
300743,ICM-LT000479,LEVIS,Payment,Rent Receivables-RR Clearing,UFT0006139,GL0044457,2023-01-03,,B-012,Banks of the Philippine Islands,0,-30628.75
299844,ICM-ST000021,AUTOPREMIUM INCORPORATED,Payment,Rent Receivables,PR0061449,GL0045299,2023-01-03,,B-012,Banks of the Philippine Islands,0,-53500.00
299842,ICM-ST000021,AUTOPREMIUM INCORPORATED,Payment,Rent Receivables-RR Clearing,UFT0006089,GL0045299,2023-01-03,,B-022,Banks of the Philippine Islands,0,-53500.00
