ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
176670,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income-Preop Clearing,PR028270,GL0028376,2021-01-07,,B-004,Land Bank of the Philippines,1218147.92,0
176666,PM-LT000102,IBEX GLOBAL,Payment,Cash in Bank (Peso),UFT0003154,GL0028376,2021-01-07,,B-004,Land Bank of the Philippines,1218147.92,0
168384,PM-LT000038,GLOBE TELECOM - Electricity,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000098,GL0026298,2021-01-07,,,,53174.00,0
176672,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income-URI Clearing,PR028270,GL0028377,2021-01-07,,B-004,Land Bank of the Philippines,34077.36,0
176668,PM-LT000102,IBEX GLOBAL,Payment,Cash in Bank (Peso),UFT0003154,GL0028377,2021-01-07,,B-004,Land Bank of the Philippines,34077.36,0
167210,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables-RR Clearing,PR028269,GL0026112,2021-01-07,,B-004,Land Bank of the Philippines,22470.00,0
167206,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Cash in Bank (Peso),UFT0002913,GL0026112,2021-01-07,,B-004,Land Bank of the Philippines,22470.00,0
167212,PM-LT000052,SAVE N` EARN SALES INC.,Payment,A/R  Non Trade External-AR Clearing,PR028269,GL0026113,2021-01-07,,B-004,Land Bank of the Philippines,1456.28,0
167208,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Cash in Bank (Peso),UFT0002913,GL0026113,2021-01-07,,B-004,Land Bank of the Philippines,1456.28,0
167213,PM-LT000052,SAVE N` EARN SALES INC.,Payment,A/R  Non Trade External,PR028269,GL0026113,2021-01-07,,B-004,Land Bank of the Philippines,0,-1456.28
167209,PM-LT000052,SAVE N` EARN SALES INC.,Payment,A/R  Non Trade External-AR Clearing,UFT0002913,GL0026113,2021-01-07,,B-004,Land Bank of the Philippines,0,-1456.28
167211,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables,PR028269,GL0026112,2021-01-07,,B-004,Land Bank of the Philippines,0,-22470.00
167207,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables-RR Clearing,UFT0002913,GL0026112,2021-01-07,,B-004,Land Bank of the Philippines,0,-22470.00
176673,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income,PR028270,GL0028377,2021-01-07,,B-004,Land Bank of the Philippines,0,-34077.36
176669,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income-URI Clearing,UFT0003154,GL0028377,2021-01-07,,B-004,Land Bank of the Philippines,0,-34077.36
168385,PM-LT000038,GLOBE TELECOM - Electricity,Payment,A/R  Non Trade External-ARNTI,IP0000098,GL0026298,2021-01-07,,,,0,-53174.00
176671,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income,PR028270,GL0028376,2021-01-07,,B-004,Land Bank of the Philippines,0,-1218147.92
176667,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income-Preop Clearing,UFT0003154,GL0028376,2021-01-07,,B-004,Land Bank of the Philippines,0,-1218147.92
172762,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000100,GL0027678,2021-01-08,,,,100689.12,0
172760,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000100,GL0026774,2021-01-08,,,,16983.47,0
166519,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,Cash in Bank (Peso),PR028257,GL0026092,2021-01-08,,B-004,Land Bank of the Philippines,10700.00,0
166505,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0026121,2021-01-08,,B-004,Land Bank of the Philippines,6420.00,0
166495,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0020799,2021-01-08,,B-004,Land Bank of the Philippines,5350.00,0
166538,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),PR028259,GL0026094,2021-01-08,,B-004,Land Bank of the Philippines,5350.00,0
166499,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0026117,2021-01-08,,B-004,Land Bank of the Philippines,3210.00,0
167256,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Payment,A/R  Non Trade External-AR Clearing,PR028271,GL0026107,2021-01-08,,B-004,Land Bank of the Philippines,2673.00,0
166873,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Payment,Cash in Bank (Peso),UFT0002906,GL0026107,2021-01-08,,B-004,Land Bank of the Philippines,2673.00,0
166523,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028258,GL0025934,2021-01-08,,B-004,Land Bank of the Philippines,2500.00,0
166497,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0020801,2021-01-08,,B-004,Land Bank of the Philippines,2026.65,0
166503,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0026120,2021-01-08,,B-004,Land Bank of the Philippines,1796.30,0
166521,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,Cash in Bank (Peso),PR028257,GL0026093,2021-01-08,,B-004,Land Bank of the Philippines,1222.00,0
166501,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0026118,2021-01-08,,B-004,Land Bank of the Philippines,760.65,0
