ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
120245,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income-ARNTI,IP0000042,GL0019385,2020-01-17,,,,0,-112069.12
118640,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0007994,GL0016335,2020-01-31,,,,92555.04,0
117613,PM-LT000049,ROYAL AURA SKIN CARE AND WELLNESS SHOP,Payment,Unearned Rent Income,B0007925,GL0016272,2020-01-31,,,,16050.00,0
118649,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income-ARNTI,IP0000035,GL0019251,2020-02-07,,,,0,-92555.04
127431,PM-LT000045,ALIBABA,Payment,Unearned Rent Income-URI Clearing,UFT0002078,GL0020412,2020-02-10,,B-004,Land Bank of the Philippines,0,-360.48
119307,PM-LT000054,JOJIES PA-INITANG BOL-ANON,Payment,Unearned Rent Income,PR028066,GL0019308,2020-02-10,,B-004,Land Bank of the Philippines,0,-10700.00
120336,PM-LT000053,CORE PACIFIC MONEY EXCHANGE CORP.,Payment,Unearned Rent Income-Preop Clearing,UFT0001940,GL0019392,2020-02-11,,B-004,Land Bank of the Philippines,0,-16050.00
120833,PM-LT000058,M &amp; M`S CELL DEPOT,Payment,Unearned Rent Income,PR021414,GL0019403,2020-02-21,,B-004,Land Bank of the Philippines,0,-16050.00
123435,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0008269,GL0019385,2020-02-29,,,,112069.12,0
125143,PM-LT000054,JOJIES PA-INITANG BOL-ANON,Payment,Unearned Rent Income,B0008387,GL0019308,2020-02-29,,,,10700.00,0
127454,PM-LT000045,ALIBABA,Payment,Unearned Rent Income,B0008467,GL0020412,2020-02-29,,,,360.48,0
133625,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income-ARNTI,IP0000050,GL0021435,2020-03-06,,,,0,-73040.96
133620,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0008999,GL0019251,2020-03-31,,,,92555.04,0
128211,PM-ST000002,JOJIES PA-INITANG BOL- ANON,Payment,Unearned Rent Income,PR028122,GL0020479,2020-04-14,,B-004,Land Bank of the Philippines,0,-22470.00
139137,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,RI0000013,GL0022341,2020-06-02,,B-004,Land Bank of the Philippines,0,-19514.08
151599,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income-ARNTI,IP0000076,GL0024349,2020-06-09,,,,0,-5603.47
132126,PM-ST000002,JOJIES PA-INITANG BOL- ANON,Payment,Unearned Rent Income,B0008845,GL0020479,2020-06-18,,,,22470.00,0
151615,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income-ARNTI,IP0000077,GL0024354,2020-07-10,,,,0,-2530.59
138393,PM-LT000008,WATCH REPAIR SHOP,Payment,Unearned Rent Income,PR028148,GL0022267,2020-07-10,,B-004,Land Bank of the Philippines,0,-2583.74
140127,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income-URI Clearing,UFT0002259,GL0022470,2020-07-13,,B-004,Land Bank of the Philippines,0,-9649.65
139769,PM-LT000008,WATCH REPAIR SHOP,Payment,Unearned Rent Income,PR028156,GL0022406,2020-07-21,,B-004,Land Bank of the Philippines,0,-3500.00
141740,PM-LT000008,WATCH REPAIR SHOP,Payment,Unearned Rent Income,PR028164,GL0022723,2020-07-30,,B-004,Land Bank of the Philippines,0,-3500.00
140178,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,B0009562,GL0022470,2020-07-31,,,,3210.00,0
144840,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,B0009936,GL0022470,2020-08-30,,,,3210.00,0
148244,PM-LT000096,RICHER TEA,Payment,Unearned Rent Income,PR021416,GL0023798,2020-09-09,,B-004,Land Bank of the Philippines,0,-21400.00
148423,PM-LT000008,WATCH REPAIR SHOP,Payment,Unearned Rent Income,PR028186,GL0023822,2020-09-12,,B-004,Land Bank of the Philippines,0,-3456.74
151298,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,B0010467,GL0022470,2020-09-30,,,,3210.00,0
