ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
110602,PM-LT000008,WATCH REPAIR SHOP,Payment,A/R  Non Trade External,PR028017,GL0017315,2020-01-02,,B-004,Land Bank of the Philippines,0,-1.29
110606,PM-LT000008,WATCH REPAIR SHOP,Payment,A/R  Non Trade External,PR028017,GL0017317,2020-01-02,,B-004,Land Bank of the Philippines,0,-2.26
110600,PM-LT000008,WATCH REPAIR SHOP,Payment,A/R  Non Trade External,PR028017,GL0017314,2020-01-02,,B-004,Land Bank of the Philippines,0,-2.58
110604,PM-LT000008,WATCH REPAIR SHOP,Payment,A/R  Non Trade External,PR028017,GL0017316,2020-01-02,,B-004,Land Bank of the Philippines,0,-3.87
110608,PM-LT000008,WATCH REPAIR SHOP,Payment,A/R  Non Trade External,PR028017,GL0018026,2020-01-02,,B-004,Land Bank of the Philippines,0,-49.41
111506,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,A/R  Non Trade External,PR028016,GL0017752,2020-01-06,,B-004,Land Bank of the Philippines,0,-2797.30
127363,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External-AR Clearing,UFT0002076,GL0020391,2020-01-07,,B-004,Land Bank of the Philippines,0,-0.51
127367,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External-AR Clearing,UFT0002076,GL0015738,2020-01-07,,B-004,Land Bank of the Philippines,0,-16.61
127365,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External-AR Clearing,UFT0002076,GL0020392,2020-01-07,,B-004,Land Bank of the Philippines,0,-362.29
127371,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External-AR Clearing,UFT0002076,GL0016768,2020-01-07,,B-004,Land Bank of the Philippines,0,-4911.56
112768,PM-LT000014,ABENSON - BILLBOARD,Payment,A/R  Non Trade External,PR028026,GL0016314,2020-01-09,,B-004,Land Bank of the Philippines,0,-13.09
112770,PM-LT000014,ABENSON - BILLBOARD,Payment,A/R  Non Trade External,PR028026,GL0017756,2020-01-09,,B-004,Land Bank of the Philippines,0,-64.02
112743,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,A/R  Non Trade External,PR028022,GL0017754,2020-01-09,,B-004,Land Bank of the Philippines,0,-385.00
112758,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,A/R  Non Trade External,PR028025,GL0017753,2020-01-09,,B-004,Land Bank of the Philippines,0,-1299.00
112754,PM-LT000052,SAVE N` EARN SALES INC.,Payment,A/R  Non Trade External,PR028024,GL0017759,2020-01-09,,B-004,Land Bank of the Philippines,0,-1520.96
112712,PM-LT000039,TECHNOCARE,Payment,A/R  Non Trade External,PR028020,GL0017782,2020-01-09,,B-004,Land Bank of the Philippines,0,-2896.00
112726,PM-LT000056,SNOWFLAKES HALO HALO CORNER,Payment,A/R  Non Trade External,PR028021,GL0017765,2020-01-09,,B-004,Land Bank of the Philippines,0,-6500.00
113148,PM-LT000051,SYNCOM,Payment,A/R  Non Trade External,PR028029,GL0017767,2020-01-13,,B-004,Land Bank of the Philippines,0,-1574.50
113422,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,A/R  Non Trade External,PR028032,GL0016760,2020-01-14,,B-004,Land Bank of the Philippines,0,-1032.12
113607,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Payment,A/R  Non Trade External,PR028035,GL0017770,2020-01-16,,B-004,Land Bank of the Philippines,0,-1.11
113605,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Payment,A/R  Non Trade External,PR028035,GL0017768,2020-01-16,,B-004,Land Bank of the Philippines,0,-3.61
113609,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Payment,A/R  Non Trade External,PR028035,GL0016804,2020-01-16,,B-004,Land Bank of the Philippines,0,-55.73
113617,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,A/R  Non Trade External,PR028037,GL0016760,2020-01-16,,B-004,Land Bank of the Philippines,0,-177.88
113621,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,A/R  Non Trade External,PR028037,GL0017763,2020-01-16,,B-004,Land Bank of the Philippines,0,-1441.00
