ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
38751,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027115,GL0005534,2019-01-03,,B-004,Land Bank of the Philippines,0,-1136.02
39539,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027117,GL0005997,2019-01-07,,B-004,Land Bank of the Philippines,0,-1363.98
39715,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables,PR027112,GL0005989,2019-01-08,,B-004,Land Bank of the Philippines,0,-28.61
39713,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables,PR027112,GL0005364,2019-01-08,,B-004,Land Bank of the Philippines,0,-3085.82
64202,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Rent Receivables,PR27116,GL0010596,2019-01-08,,B-004,Land Bank of the Philippines,0,-28492.43
64200,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Rent Receivables,PR27116,GL0010593,2019-01-08,,B-004,Land Bank of the Philippines,0,-35007.42
39739,PM-LT000005,SAVE N EARN BUSINESS CENTER,Payment,Rent Receivables,PR027118,GL0006001,2019-01-08,,B-004,Land Bank of the Philippines,0,-38577.03
44558,PM-LT000010,LBC EXPRESS INC,Payment,Rent Receivables,PR027114,GL0005324,2019-01-08,,B-004,Land Bank of the Philippines,0,-38991.87
40239,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027120,GL0005997,2019-01-09,,B-004,Land Bank of the Philippines,0,-500.00
44420,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,Rent Receivables,PR027125,GL0007293,2019-01-10,,B-004,Land Bank of the Philippines,0,-27.68
40241,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027128,GL0005997,2019-01-10,,B-004,Land Bank of the Philippines,0,-1000.00
40266,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables,PR027124,GL0005999,2019-01-10,,B-004,Land Bank of the Philippines,0,-8545.02
40244,PM-LT000011,LYDIAS TICKETING OUTLET,Payment,Rent Receivables,PR027122,GL0006006,2019-01-10,,B-004,Land Bank of the Philippines,0,-10966.10
40262,PM-LT000003,FORTUNE ENTERPRISES,Payment,Rent Receivables,PR027123,GL0006014,2019-01-10,,B-004,Land Bank of the Philippines,0,-11770.00
40264,PM-LT000004,DUNKIN DONUTS,Payment,Rent Receivables,PR027121,GL0006013,2019-01-10,,B-004,Land Bank of the Philippines,0,-16948.79
44422,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,Rent Receivables,PR027125,GL0007295,2019-01-10,,B-004,Land Bank of the Philippines,0,-18276.90
40278,PM-LT000016,GLOBAL DOMINION FINANCING INC.,Payment,Rent Receivables,PR027064,GL0006293,2019-01-10,,B-004,Land Bank of the Philippines,0,-22800.00
40286,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Rent Receivables,PR027129,GL0006171,2019-01-10,,B-004,Land Bank of the Philippines,0,-28284.84
53375,PM-LT000015,GLOBE TELECOM - Rent,Payment,Rent Receivables,PR027126,GL0006019,2019-01-10,,B-004,Land Bank of the Philippines,0,-48451.62
44424,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,Rent Receivables,PR027130,GL0007295,2019-01-11,,B-004,Land Bank of the Philippines,0,-16.62
40481,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027134,GL0005997,2019-01-12,,B-004,Land Bank of the Philippines,0,-1000.00
40451,PM-LT000002,TRONIX IMAGING CENTER - LG,Payment,Rent Receivables,PR027133,GL0006004,2019-01-12,,B-004,Land Bank of the Philippines,0,-32610.49
36088,PM-LT000001,ASIALINK FINANCE CORPORATION,Invoice,Rent Receivables,IC0004585,GL0005764,2019-01-14,2019-01-24,,,7600.00,0
41087,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027136,GL0005997,2019-01-17,,B-004,Land Bank of the Philippines,0,-1000.00
41144,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027138,GL0005997,2019-01-19,,B-004,Land Bank of the Philippines,0,-1500.00
41392,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027139,GL0005997,2019-01-23,,B-004,Land Bank of the Philippines,0,-1000.00
41972,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027140,GL0005997,2019-01-24,,B-004,Land Bank of the Philippines,0,-1000.00
43235,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027142,GL0005997,2019-01-26,,B-004,Land Bank of the Philippines,0,-900.64
66480,PM-LT000006,AZE DEAL,Payment,Rent Receivables-RR Clearing,UFT0001061,GL0011105,2019-01-28,,B-004,Land Bank of the Philippines,0,-317.11
66464,PM-LT000006,AZE DEAL,Payment,Rent Receivables-RR Clearing,UFT0001060,GL0011102,2019-01-28,,B-004,Land Bank of the Philippines,0,-320.00
43708,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables,PR027143,GL0005989,2019-01-28,,B-004,Land Bank of the Philippines,0,-3180.22
44219,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027144,GL0005997,2019-01-30,,B-004,Land Bank of the Philippines,0,-1500.00
42840,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0005475,GL0006985,2019-01-31,2019-02-10,,,106732.50,0
64193,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Invoice,Rent Receivables,IC0007791,GL0010599,2019-01-31,2019-02-10,,,43651.26,0
44561,PM-LT000010,LBC EXPRESS INC,Invoice,Rent Receivables,IC0005719,GL0007323,2019-01-31,2019-02-10,,,38991.87,0
42657,PM-LT000005,SAVE N EARN BUSINESS CENTER,Invoice,Rent Receivables,IC0005442,GL0006945,2019-01-31,2019-02-10,,,38577.03,0
42672,PM-LT000002,TRONIX IMAGING CENTER - LG,Invoice,Rent Receivables,IC0005446,GL0006950,2019-01-31,2019-02-10,,,32610.49,0
42664,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Invoice,Rent Receivables,IC0005444,GL0006947,2019-01-31,2019-02-10,,,29795.20,0
44405,PM-LT000009,LAND BANK OF THE PHILIPPINES,Invoice,Rent Receivables,IC0005701,GL0007298,2019-01-31,2019-02-10,,,18317.75,0
42791,PM-LT000004,DUNKIN DONUTS,Invoice,Rent Receivables,IC0005461,GL0006969,2019-01-31,2019-02-10,,,18135.20,0
42822,PM-LT000008,WATCH REPAIR SHOP,Invoice,Rent Receivables,IC0005471,GL0006980,2019-01-31,2019-02-10,,,12089.36,0
42728,PM-LT000003,FORTUNE ENTERPRISES,Invoice,Rent Receivables,IC0005460,GL0006967,2019-01-31,2019-02-10,,,11770.00,0
42704,PM-LT000011,LYDIAS TICKETING OUTLET,Invoice,Rent Receivables,IC0005453,GL0006959,2019-01-31,2019-02-10,,,10966.10,0
42694,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,Rent Receivables,IC0005450,GL0006956,2019-01-31,2019-02-10,,,8545.02,0
42804,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0005464,GL0006972,2019-01-31,2019-02-10,,,3210.00,0
66473,PM-LT000006,AZE DEAL,Invoice,Rent Receivables,IC0008186,GL0011105,2019-01-31,2019-02-10,,,320.00,0
53397,PM-LT000015,GLOBE TELECOM - Rent,Payment,Rent Receivables,B0003553,GL0006985,2019-01-31,,,,0,-106732.50
44646,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027145,GL0006980,2019-02-02,,B-004,Land Bank of the Philippines,0,-175.26
44644,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027145,GL0005997,2019-02-02,,B-004,Land Bank of the Philippines,0,-1324.74
45463,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,Rent Receivables,PR027148,GL0007295,2019-02-06,,B-004,Land Bank of the Philippines,0,-24.23
45475,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027150,GL0006980,2019-02-06,,B-004,Land Bank of the Philippines,0,-1000.00
45467,PM-LT000011,LYDIAS TICKETING OUTLET,Payment,Rent Receivables,PR027149,GL0006959,2019-02-06,,B-004,Land Bank of the Philippines,0,-10966.10
45465,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,Rent Receivables,PR027148,GL0007298,2019-02-06,,B-004,Land Bank of the Philippines,0,-18293.52
45441,PM-LT000005,SAVE N EARN BUSINESS CENTER,Payment,Rent Receivables,PR027147,GL0006945,2019-02-06,,B-004,Land Bank of the Philippines,0,-38577.03
46376,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,Rent Receivables,PR027202,GL0007298,2019-02-07,,B-004,Land Bank of the Philippines,0,-24.23
46581,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027203,GL0006980,2019-02-07,,B-004,Land Bank of the Philippines,0,-1000.00
46372,PM-LT000002,TRONIX IMAGING CENTER - LG,Payment,Rent Receivables,PR027201,GL0006950,2019-02-07,,B-004,Land Bank of the Philippines,0,-32610.49
46573,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables,PR027204,GL0006956,2019-02-08,,B-004,Land Bank of the Philippines,0,-8545.02
46583,PM-LT000004,DUNKIN DONUTS,Payment,Rent Receivables,PR027205,GL0006969,2019-02-08,,B-004,Land Bank of the Philippines,0,-18135.20
46747,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Rent Receivables,PR027208,GL0006171,2019-02-09,,B-004,Land Bank of the Philippines,0,-91.54
46733,PM-LT000003,FORTUNE ENTERPRISES,Payment,Rent Receivables,PR027206,GL0006967,2019-02-09,,B-004,Land Bank of the Philippines,0,-11770.00
46749,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Rent Receivables,PR027208,GL0006947,2019-02-09,,B-004,Land Bank of the Philippines,0,-29795.20
47082,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027209,GL0006980,2019-02-12,,B-004,Land Bank of the Philippines,0,-1000.00
47386,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027212,GL0006980,2019-02-13,,B-004,Land Bank of the Philippines,0,-1000.00
42967,PM-LT000001,ASIALINK FINANCE CORPORATION,Invoice,Rent Receivables,IC0005501,GL0007017,2019-02-14,2019-02-24,,,7600.00,0
47720,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027215,GL0006980,2019-02-16,,B-004,Land Bank of the Philippines,0,-1500.00
38344,PM-LT000016,GLOBAL DOMINION FINANCING INC.,Invoice,Rent Receivables,IC0005001,GL0006293,2019-02-22,2019-03-03,,,22800.00,0
48601,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027220,GL0006980,2019-02-22,,B-004,Land Bank of the Philippines,0,-1500.00
48267,PM-LT000010,LBC EXPRESS INC,Payment,Rent Receivables,PR027217,GL0007320,2019-02-22,,B-004,Land Bank of the Philippines,0,-38991.87
48287,PM-LT000010,LBC EXPRESS INC,Payment,Rent Receivables,PR027218,GL0007323,2019-02-22,,B-004,Land Bank of the Philippines,0,-38991.87
49798,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027232,GL0006980,2019-02-26,,B-004,Land Bank of the Philippines,0,-1000.00
49762,PM-LT000001,ASIALINK FINANCE CORPORATION,Payment,Rent Receivables,PR027228,GL0007017,2019-02-26,,B-004,Land Bank of the Philippines,0,-3240.85
49750,PM-LT000001,ASIALINK FINANCE CORPORATION,Payment,Rent Receivables,PR027227,GL0005764,2019-02-26,,B-004,Land Bank of the Philippines,0,-3580.14
49760,PM-LT000001,ASIALINK FINANCE CORPORATION,Payment,Rent Receivables,PR027228,GL0005764,2019-02-26,,B-004,Land Bank of the Philippines,0,-4019.86
49764,PM-LT000001,ASIALINK FINANCE CORPORATION,Payment,Rent Receivables,PR027229,GL0007017,2019-02-26,,B-004,Land Bank of the Philippines,0,-4359.15
66500,PM-LT000006,AZE DEAL,Payment,Rent Receivables-RR Clearing,UFT0001063,GL0011108,2019-02-27,,B-004,Land Bank of the Philippines,0,-317.11
52405,PM-LT000037,JOLLIBEE,Invoice,Rent Receivables,IC0006443,GL0008812,2019-02-28,2019-03-23,,,208979.56,0
49953,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0006183,GL0008454,2019-02-28,2019-03-10,,,106732.50,0
64214,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Invoice,Rent Receivables,IC0007794,GL0010603,2019-02-28,2019-03-10,,,43651.26,0
49906,PM-LT000010,LBC EXPRESS INC,Invoice,Rent Receivables,IC0006172,GL0008442,2019-02-28,2019-03-10,,,38991.87,0
49942,PM-LT000005,SAVE N EARN BUSINESS CENTER,Invoice,Rent Receivables,IC0006180,GL0008451,2019-02-28,2019-03-10,,,38577.03,0
49870,PM-LT000002,TRONIX IMAGING CENTER - LG,Invoice,Rent Receivables,IC0006163,GL0008431,2019-02-28,2019-03-10,,,32610.49,0
49984,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Invoice,Rent Receivables,IC0006187,GL0008459,2019-02-28,2019-03-10,,,29795.20,0
49896,PM-LT000009,LAND BANK OF THE PHILIPPINES,Invoice,Rent Receivables,IC0006168,GL0008438,2019-02-28,2019-03-10,,,18317.75,0
49852,PM-LT000004,DUNKIN DONUTS,Invoice,Rent Receivables,IC0006158,GL0008426,2019-02-28,2019-03-10,,,18135.20,0
50214,PM-LT000008,WATCH REPAIR SHOP,Invoice,Rent Receivables,IC0006228,GL0008512,2019-02-28,2019-03-10,,,12089.36,0
49980,PM-LT000003,FORTUNE ENTERPRISES,Invoice,Rent Receivables,IC0006186,GL0008458,2019-02-28,2019-03-10,,,11770.00,0
49856,PM-LT000011,LYDIAS TICKETING OUTLET,Invoice,Rent Receivables,IC0006159,GL0008427,2019-02-28,2019-03-10,,,10966.10,0
49936,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,Rent Receivables,IC0006178,GL0008449,2019-02-28,2019-03-10,,,8545.02,0
49838,PM-LT000001,ASIALINK FINANCE CORPORATION,Invoice,Rent Receivables,IC0006156,GL0008424,2019-02-28,2019-03-10,,,7600.00,0
49888,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0006167,GL0008435,2019-02-28,2019-03-10,,,3210.00,0
66493,PM-LT000006,AZE DEAL,Invoice,Rent Receivables,IC0008189,GL0011108,2019-02-28,2019-03-10,,,320.00,0
