ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
114025,PM-LT000004,DUNKIN DONUTS,Payment,Cash in Bank (Peso),OR#43725,GL0018343,2010-01-14,,B-004,Land Bank of the Philippines,10000.00,0
114026,PM-LT000004,DUNKIN DONUTS,Payment,Security Deposit Payable,OR#43725,GL0018343,2010-01-14,,B-004,Land Bank of the Philippines,0,-10000.00
103410,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Cash in Bank (Peso),NO OR#,GL0016924,2012-06-28,,B-004,LBP,60000.00,0
103412,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Cash in Bank (Peso),NO OR#,GL0016925,2012-06-28,,B-004,LBP,21400.00,0
103413,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Unearned Rent Income,NO OR#,GL0016925,2012-06-28,,B-004,LBP,0,-21400.00
103411,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Security Deposit Payable,NO OR#,GL0016924,2012-06-28,,B-004,LBP,0,-60000.00
29652,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0003910,GL0004882,2018-09-24,2018-10-04,,,3210.00,0
29654,PM-LT000014,ABENSON - BILLBOARD,Invoice,Creditable WHT Receivable,IC0003910,GL0004882,2018-09-24,2018-10-04,,,150.00,0
29653,PM-LT000014,ABENSON - BILLBOARD,Invoice,VAT Output,IC0003910,GL0004882,2018-09-24,2018-10-04,,,0,-360.00
29655,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Income,IC0003910,GL0004882,2018-09-24,2018-10-04,,,0,-3000.00
64156,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Cash in Bank (Peso),PR25026,GL0010591,2018-09-25,,B-004,Land Bank of the Philippines,44358.52,0
64157,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Unearned Rent Income,PR25026,GL0010591,2018-09-25,,,,0,-44358.52
29391,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0003880,GL0004852,2018-09-30,2018-10-10,,,106732.50,0
29393,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Creditable WHT Receivable,IC0003880,GL0004852,2018-09-30,2018-10-10,,,4987.50,0
29392,PM-LT000015,GLOBE TELECOM - Rent,Invoice,VAT Output,IC0003880,GL0004852,2018-09-30,2018-10-10,,,0,-11970.00
29394,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Income,IC0003880,GL0004852,2018-09-30,2018-10-10,,,0,-99750.00
29656,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0003911,GL0004883,2018-10-24,2018-11-10,,,3210.00,0
