ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
110609,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028017,GL0017033,2020-01-02,,B-004,Land Bank of the Philippines,440.59,0
110607,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028017,GL0018026,2020-01-02,,B-004,Land Bank of the Philippines,49.41,0
110603,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028017,GL0017316,2020-01-02,,B-004,Land Bank of the Philippines,3.87,0
110599,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028017,GL0017314,2020-01-02,,B-004,Land Bank of the Philippines,2.58,0
110605,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028017,GL0017317,2020-01-02,,B-004,Land Bank of the Philippines,2.26,0
110601,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028017,GL0017315,2020-01-02,,B-004,Land Bank of the Philippines,1.29,0
111438,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028018,GL0017033,2020-01-04,,B-004,Land Bank of the Philippines,1000.00,0
111503,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028016,GL0017339,2020-01-06,,B-004,Land Bank of the Philippines,10700.00,0
111505,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028016,GL0017752,2020-01-06,,B-004,Land Bank of the Philippines,2797.30,0
127368,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0002076,GL0016304,2020-01-07,,B-004,Land Bank of the Philippines,12840.00,0
127370,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0002076,GL0016768,2020-01-07,,B-004,Land Bank of the Philippines,4911.56,0
