ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
167207,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables-RR Clearing,UFT0002913,GL0026112,2021-01-07,,B-004,Land Bank of the Philippines,0,-22470.00
166524,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR028258,GL0025934,2021-01-08,,B-004,Land Bank of the Philippines,0,-2500.00
166500,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Rent Receivables,PR028255,GL0026117,2021-01-08,,B-004,Land Bank of the Philippines,0,-3210.00
166496,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Rent Receivables,PR028255,GL0020799,2021-01-08,,B-004,Land Bank of the Philippines,0,-5350.00
166539,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables,PR028259,GL0026094,2021-01-08,,B-004,Land Bank of the Philippines,0,-5350.00
166506,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Rent Receivables,PR028255,GL0026121,2021-01-08,,B-004,Land Bank of the Philippines,0,-6420.00
166520,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,Rent Receivables,PR028257,GL0026092,2021-01-08,,B-004,Land Bank of the Philippines,0,-10700.00
172761,PM-LT000015,GLOBE TELECOM - Rent,Payment,Rent Receivables-ARNTI,IP0000100,GL0026774,2021-01-08,,,,0,-16983.47
166964,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR028264,GL0025934,2021-01-12,,B-004,Land Bank of the Philippines,0,-350.00
187747,PM-LT000045,ALIBABA,Payment,Rent Receivables-ARNTI,IP0000115,GL0026110,2021-01-12,,,,0,-6420.00
166954,PM-LT000049,ROYAL AURA SKIN CARE AND WELLNESS SHOP,Payment,Rent Receivables,PR028260,GL0026097,2021-01-12,,B-004,Land Bank of the Philippines,0,-8025.00
166960,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Rent Receivables,PR028263,GL0026108,2021-01-12,,B-004,Land Bank of the Philippines,0,-10700.00
166968,PM-LT000096,RICHER TEA,Payment,Rent Receivables,PR028265,GL0026103,2021-01-12,,B-004,Land Bank of the Philippines,0,-21400.00
166958,PM-ST000002,JOJIES PA-INITANG BOL- ANON,Payment,Rent Receivables,PR028262,GL0025945,2021-01-12,,B-004,Land Bank of the Philippines,0,-22470.00
167589,PM-LT000039,TECHNOCARE,Payment,Rent Receivables,PR028273,GL0026122,2021-01-16,,B-004,Land Bank of the Philippines,0,-8025.00
167597,PM-LT000051,SYNCOM,Payment,Rent Receivables,PR028274,GL0025747,2021-01-16,,B-004,Land Bank of the Philippines,0,-13375.00
168137,PM-LT000043,LBC EXPRESS - NEW,Payment,Rent Receivables-RR Clearing,UFT0002957,GL0026115,2021-01-18,,B-004,Land Bank of the Philippines,0,-22470.00
168079,PM-LT000046,KANAFFORD EATERY,Payment,Rent Receivables,PR028282,GL0019444,2021-01-22,,B-004,Land Bank of the Philippines,0,-665.04
168083,PM-LT000046,KANAFFORD EATERY,Payment,Rent Receivables,PR028282,GL0020790,2021-01-22,,B-004,Land Bank of the Philippines,0,-1690.96
168085,PM-LT000056,D BOAT FOOD HOUSE,Payment,Rent Receivables,PR028284,GL0022992,2021-01-22,,B-004,Land Bank of the Philippines,0,-4788.00
168087,PM-LT000056,D BOAT FOOD HOUSE,Payment,Rent Receivables,PR028284,GL0023175,2021-01-22,,B-004,Land Bank of the Philippines,0,-8025.00
172360,PM-LT000037,JOLLIBEE,Payment,Rent Receivables,PRJV01001413,GL0026666,2021-01-29,,,,0,-155149.38
172363,PM-LT000037,JOLLIBEE,Invoice,Rent Receivables,IC0027501,GL0027621,2021-01-31,2021-02-15,,,122987.86,0
168370,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0025998,GL0026962,2021-01-31,2021-02-10,,,117672.58,0
168339,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Invoice,Rent Receivables,IC0025990,GL0026957,2021-01-31,2021-02-10,,,52818.01,0
168140,PM-LT000043,LBC EXPRESS - NEW,Invoice,Rent Receivables,IC0025922,GL0026924,2021-01-31,2021-02-10,,,32100.00,0
168120,PM-LT000052,SAVE N` EARN SALES INC.,Invoice,Rent Receivables,IC0025907,GL0026919,2021-01-31,2021-02-10,,,22470.00,0
168156,PM-LT000096,RICHER TEA,Invoice,Rent Receivables,IC0025932,GL0026928,2021-01-31,2021-02-10,,,21400.00,0
168104,PM-LT000051,SYNCOM,Invoice,Rent Receivables,IC0025899,GL0026915,2021-01-31,2021-02-10,,,18725.00,0
168128,PM-LT000048,FORTUNE ENTERPRISES - NEW,Invoice,Rent Receivables,IC0025914,GL0026921,2021-01-31,2021-02-10,,,10700.00,0
168132,PM-LT000046,KANAFFORD EATERY,Invoice,Rent Receivables,IC0025918,GL0026922,2021-01-31,2021-02-10,,,10700.00,0
168420,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,Rent Receivables,IC0026008,GL0026971,2021-01-31,2021-02-10,,,10700.00,0
168144,PM-LT000039,TECHNOCARE,Invoice,Rent Receivables,IC0025924,GL0026925,2021-01-31,2021-02-10,,,10700.00,0
168148,PM-LT000042,TRONIX IMAGING CENTER - NEW,Invoice,Rent Receivables,IC0025926,GL0026926,2021-01-31,2021-02-10,,,10700.00,0
168152,PM-LT000045,ALIBABA,Invoice,Rent Receivables,IC0025929,GL0026927,2021-01-31,2021-02-10,,,8560.00,0
169806,PM-LT000056,D BOAT FOOD HOUSE,Invoice,Rent Receivables,IC0026451,GL0027180,2021-01-31,2021-02-10,,,8560.00,0
169773,PM-LT000008,WATCH REPAIR SHOP,Invoice,Rent Receivables,IC0026442,GL0027173,2021-01-31,2021-02-10,,,8560.00,0
168112,PM-LT000049,ROYAL AURA SKIN CARE AND WELLNESS SHOP,Invoice,Rent Receivables,IC0025903,GL0026917,2021-01-31,2021-02-10,,,8025.00,0
183195,PM-LT000100,LAND BANK OF THE PHILIPPINES NEW,Invoice,Rent Receivables,IC0030596,GL0029310,2021-01-31,2021-02-10,,,6375.00,0
168108,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,Rent Receivables,IC0025901,GL0026916,2021-01-31,2021-02-10,,,5350.00,0
168124,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0025910,GL0026920,2021-01-31,2021-02-10,,,3210.00,0
171531,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables,PR028294,GL0026916,2021-02-08,,B-004,Land Bank of the Philippines,0,-5350.00
180051,PM-LT000015,GLOBE TELECOM - Rent,Payment,Rent Receivables-ARNTI,IP0000110,GL0026962,2021-02-08,,,,0,-117672.58
172719,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables-RR Clearing,UFT0003052,GL0025776,2021-02-10,,B-004,Land Bank of the Philippines,0,-3190.35
172721,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables-RR Clearing,UFT0003052,GL0026096,2021-02-10,,B-004,Land Bank of the Philippines,0,-3210.00
172725,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables-RR Clearing,UFT0003053,GL0026920,2021-02-10,,B-004,Land Bank of the Philippines,0,-3210.00
171894,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Rent Receivables,PR028295,GL0026971,2021-02-10,,B-004,Land Bank of the Philippines,0,-10700.00
171898,PM-LT000039,TECHNOCARE,Payment,Rent Receivables,PR028296,GL0026925,2021-02-10,,B-004,Land Bank of the Philippines,0,-10700.00
172715,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables-RR Clearing,UFT0003051,GL0026919,2021-02-10,,B-004,Land Bank of the Philippines,0,-22470.00
172001,PM-LT000049,ROYAL AURA SKIN CARE AND WELLNESS SHOP,Payment,Rent Receivables,PR028298,GL0026917,2021-02-11,,B-004,Land Bank of the Philippines,0,-8025.00
171997,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,Rent Receivables,PR028297,GL0026921,2021-02-11,,B-004,Land Bank of the Philippines,0,-10700.00
172475,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR028299,GL0026783,2021-02-16,,B-004,Land Bank of the Philippines,0,-2500.00
177471,PM-LT000045,ALIBABA,Payment,Rent Receivables-RR Clearing,UFT0003183,GL0026927,2021-02-16,,B-004,Land Bank of the Philippines,0,-8560.00
172499,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Rent Receivables,PR028301,GL0026926,2021-02-16,,B-004,Land Bank of the Philippines,0,-10700.00
172481,PM-LT000051,SYNCOM,Payment,Rent Receivables,PR028300,GL0026099,2021-02-16,,B-004,Land Bank of the Philippines,0,-13375.00
172514,PM-LT000096,RICHER TEA,Payment,Rent Receivables,PR028303,GL0026928,2021-02-16,,B-004,Land Bank of the Philippines,0,-21400.00
167457,PM-ST000002,JOJIES PA-INITANG BOL- ANON,Invoice,Rent Receivables,IC0025788,GL0026836,2021-02-18,2021-02-28,,,14980.00,0
177479,PM-LT000043,LBC EXPRESS - NEW,Payment,Rent Receivables-RR Clearing,UFT0003184,GL0026924,2021-02-22,,B-004,Land Bank of the Philippines,0,-32100.00
175408,PM-ST000002,JOJIES PA-INITANG BOL- ANON,Payment,Rent Receivables-PDC,PR028304,GL0026836,2021-02-24,,B-004,Land Bank of the Philippines,0,-14980.00
174602,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0028258,GL0027982,2021-02-28,2021-03-10,,,117672.58,0
176869,PM-LT000037,JOLLIBEE,Invoice,Rent Receivables,IC0029106,GL0028408,2021-02-28,2021-03-15,,,115796.53,0
174653,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Invoice,Rent Receivables,IC0028286,GL0027993,2021-02-28,2021-03-10,,,52818.01,0
