ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
64157,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Unearned Rent Income,PR25026,GL0010591,2018-09-25,,,,0,-44358.52
64158,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Unearned Rent Income,B0004263,GL0010591,2018-10-31,,,,39682.97,0
64174,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Unearned Rent Income,B0004264,GL0010591,2018-11-30,,,,4675.55,0
53371,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027081,GL0008885,2018-12-06,,B-004,Land Bank of the Philippines,0,-58280.88
53381,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027127,GL0008887,2018-12-10,,,,0,-44616.00
53372,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003552,GL0008885,2018-12-31,,,,58280.88,0
53379,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027126,GL0008886,2019-01-10,,B-004,Land Bank of the Philippines,0,-41348.62
53395,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027137,GL0008889,2019-01-18,,B-004,Land Bank of the Philippines,0,-48264.00
53400,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003553,GL0008889,2019-01-31,,,,48264.00,0
53396,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003553,GL0008887,2019-01-31,,,,44616.00,0
53398,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003553,GL0008886,2019-01-31,,,,41348.62,0
53409,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027146,GL0008890,2019-02-06,,B-004,Land Bank of the Philippines,0,-111693.53
53411,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027207,GL0008891,2019-02-09,,B-004,Land Bank of the Philippines,0,-53680.00
49766,PM-LT000001,ASIALINK FINANCE CORPORATION,Payment,Unearned Rent Income,PR027229,GL0008407,2019-02-26,,B-004,Land Bank of the Philippines,0,-2901.56
49768,PM-LT000001,ASIALINK FINANCE CORPORATION,Payment,Unearned Rent Income-PDC,PR027230,GL0008408,2019-02-26,,B-004,Land Bank of the Philippines,0,-7260.71
53412,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003554,GL0008890,2019-02-28,,,,111693.53,0
53416,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003554,GL0008891,2019-02-28,,,,46502.97,0
49842,PM-LT000001,ASIALINK FINANCE CORPORATION,Payment,Unearned Rent Income,B0003358,GL0008408,2019-02-28,,,,7260.71,0
49844,PM-LT000001,ASIALINK FINANCE CORPORATION,Payment,Unearned Rent Income,B0003358,GL0008407,2019-02-28,,,,339.29,0
51933,PM-LT000016,GLOBAL DOMINION FINANCING INC.,Payment,Unearned Rent Income,PR027065,GL0008789,2019-03-08,,B-004,Land Bank of the Philippines,0,-3800.00
52328,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,PR027247,GL0008810,2019-03-11,,B-004,Land Bank of the Philippines,0,-93.37
53419,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027248,GL0008892,2019-03-13,,B-004,Land Bank of the Philippines,0,-51464.00
53421,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027249,GL0008893,2019-03-13,,B-004,Land Bank of the Philippines,0,-106732.50
54618,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,PR027262,GL0009106,2019-03-26,,B-004,Land Bank of the Philippines,0,-3144.63
69482,PM-LT000037,JOLLIBEE,Payment,Unearned Rent Income,PRJV# 03-2335,GL0011445,2019-03-30,,,,0,-131034.11
69488,PM-LT000037,JOLLIBEE,Payment,Unearned Rent Income,B0004640,GL0011445,2019-03-31,,,,131034.11,0
56361,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003808,GL0008893,2019-03-31,,,,99947.47,0
56359,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003808,GL0008892,2019-03-31,,,,51464.00,0
56357,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0003808,GL0008891,2019-03-31,,,,7177.03,0
55856,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,B0003759,GL0009106,2019-03-31,,,,3144.63,0
53576,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,B0003561,GL0008810,2019-03-31,,,,93.37,0
58185,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,PR027275,GL0009710,2019-04-11,,B-004,Land Bank of the Philippines,0,-186.74
58019,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027274,GL0009699,2019-04-11,,B-004,Land Bank of the Philippines,0,-51856.00
60657,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027279,GL0010134,2019-04-26,,B-004,Land Bank of the Philippines,0,-113581.53
61581,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0004153,GL0009699,2019-04-30,,,,51856.00,0
61579,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0004153,GL0008893,2019-04-30,,,,6785.03,0
60357,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,B0004030,GL0009710,2019-04-30,,,,186.74,0
63128,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,PR027293,GL0010500,2019-05-10,,B-004,Land Bank of the Philippines,0,-280.11
63858,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027301,GL0010554,2019-05-22,,B-004,Land Bank of the Philippines,0,-51792.00
66340,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,PR027305,GL0011077,2019-05-29,,B-004,Land Bank of the Philippines,0,-138064.24
65564,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0004381,GL0010134,2019-05-31,,,,106732.50,0
63891,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,B0004247,GL0010500,2019-05-31,,,,280.11,0
68656,PM-LT000039,TECHNOCARE,Payment,Unearned Rent Income,PR027317,GL0011387,2019-06-10,,B-004,Land Bank of the Philippines,0,-16050.00
68866,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,PR027321,GL0011417,2019-06-11,,B-004,Land Bank of the Philippines,0,-484.91
69451,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,PR027323,GL0011442,2019-06-14,,B-004,Land Bank of the Philippines,0,-98.01
71454,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0004786,GL0010554,2019-06-30,,,,51792.00,0
71456,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0004786,GL0011077,2019-06-30,,,,48091.47,0
71452,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0004786,GL0010134,2019-06-30,,,,6849.03,0
71446,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,B0004785,GL0011417,2019-06-30,,,,484.91,0
71433,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,B0004783,GL0011442,2019-06-30,,,,98.01,0
74564,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,PR027350,GL0012275,2019-07-11,,B-004,Land Bank of the Philippines,0,-91.40
77162,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0005182,GL0011077,2019-07-31,,,,89972.77,0
75480,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,B0005040,GL0012275,2019-07-31,,,,91.40,0
80645,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Unearned Rent Income,PR027427,GL0013231,2019-08-15,,B-004,Land Bank of the Philippines,0,-185.89
