ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
29652,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0003910,GL0004882,2018-09-24,2018-10-04,,,3210.00,0
29391,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0003880,GL0004852,2018-09-30,2018-10-10,,,106732.50,0
29656,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0003911,GL0004883,2018-10-24,2018-11-10,,,3210.00,0
29395,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0003881,GL0004853,2018-10-31,2018-11-15,,,106732.50,0
64133,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Invoice,Rent Receivables,IC0007781,GL0010586,2018-10-31,2018-11-10,,,39682.97,0
29236,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Invoice,Rent Receivables,IC0003865,GL0004829,2018-10-31,2018-11-15,,,28376.38,0
29769,PM-LT000002,TRONIX IMAGING CENTER - LG,Invoice,Rent Receivables,IC0003932,GL0004904,2018-10-31,2018-11-15,,,24194.88,0
29759,PM-LT000010,LBC EXPRESS INC,Invoice,Rent Receivables,IC0003930,GL0004902,2018-10-31,2018-11-15,,,20124.84,0
29267,PM-LT000004,DUNKIN DONUTS,Invoice,Rent Receivables,IC0003874,GL0004838,2018-10-31,2018-11-15,,,18135.20,0
29273,PM-LT000008,WATCH REPAIR SHOP,Invoice,Rent Receivables,IC0003876,GL0004840,2018-10-31,2018-11-15,,,11459.23,0
30005,PM-LT000011,LYDIAS TICKETING OUTLET,Invoice,Rent Receivables,IC0003951,GL0004930,2018-10-31,2018-11-15,,,7428.58,0
29779,PM-LT000003,FORTUNE ENTERPRISES,Invoice,Rent Receivables,IC0003934,GL0004906,2018-10-31,2018-11-15,,,5315.48,0
29765,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,Rent Receivables,IC0003931,GL0004903,2018-10-31,2018-11-15,,,2205.16,0
29816,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0003939,GL0004912,2018-10-31,2018-11-15,,,724.84,0
64159,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Rent Receivables,B0004263,GL0010586,2018-10-31,,,,0,-39682.97
50153,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR27038,GL0006980,2018-11-03,,B-004,Land Bank of the Philippines,0,-500.00
50155,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR27039,GL0006980,2018-11-05,,B-004,Land Bank of the Philippines,0,-500.00
50157,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR27051,GL0006980,2018-11-06,,B-004,Land Bank of the Philippines,0,-500.00
50167,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR27052,GL0006980,2018-11-07,,B-004,Land Bank of the Philippines,0,-500.00
50169,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR27053,GL0006980,2018-11-08,,B-004,Land Bank of the Philippines,0,-500.00
50171,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR27054,GL0006980,2018-11-09,,B-004,Land Bank of the Philippines,0,-500.00
30427,PM-LT000004,DUNKIN DONUTS,Payment,Rent Receivables,PR027058,GL0004838,2018-11-10,,B-004,Land Bank of the Philippines,0,-18135.20
30779,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Payment,Rent Receivables,PR027059,GL0004829,2018-11-12,,B-004,Land Bank of the Philippines,0,-28376.38
66456,PM-LT000006,AZE DEAL,Payment,Rent Receivables-RR Clearing,UFT0001059,GL0011101,2018-11-15,,B-004,Land Bank of the Philippines,0,-320.00
31347,PM-LT000003,FORTUNE ENTERPRISES,Payment,Rent Receivables,PR027061,GL0004906,2018-11-15,,B-004,Land Bank of the Philippines,0,-5315.48
31110,PM-LT000011,LYDIAS TICKETING OUTLET,Payment,Rent Receivables,PR027060,GL0004930,2018-11-15,,B-004,Land Bank of the Philippines,0,-7428.58
31389,PM-LT000015,GLOBE TELECOM - Rent,Payment,Rent Receivables,PR027062,GL0004852,2018-11-15,,B-004,Land Bank of the Philippines,0,-50033.35
44457,PM-LT000010,LBC EXPRESS INC,Payment,Rent Receivables,PR027067,GL0004902,2018-11-22,,B-004,Land Bank of the Philippines,0,-20124.84
33365,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0004303,GL0005387,2018-11-30,2018-12-10,,,106732.50,0
64166,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Invoice,Rent Receivables,IC0007787,GL0010593,2018-11-30,2018-12-10,,,39682.97,0
33101,PM-LT000010,LBC EXPRESS INC,Invoice,Rent Receivables,IC0004244,GL0005324,2018-11-30,2018-12-10,,,38991.87,0
33291,PM-LT000005,SAVE N EARN BUSINESS CENTER,Invoice,Rent Receivables,IC0004285,GL0005369,2018-11-30,2018-12-10,,,38577.03,0
33089,PM-LT000002,TRONIX IMAGING CENTER - LG,Invoice,Rent Receivables,IC0004240,GL0005320,2018-11-30,2018-12-10,,,32610.49,0
33279,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Invoice,Rent Receivables,IC0004283,GL0005365,2018-11-30,2018-12-10,,,28376.38,0
44367,PM-LT000009,LAND BANK OF THE PHILIPPINES,Invoice,Rent Receivables,IC0005698,GL0007293,2018-11-30,2018-12-10,,,18317.75,0
