ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
69468,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0008440,GL0011444,2019-02-28,2019-03-23,,,150607.25,0
69480,PM-LT000037,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 03-2335,GL0011444,2019-03-30,,,,0,-150607.25
69483,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0008441,GL0011446,2019-03-31,2019-04-15,,,167518.25,0
69490,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0008442,GL0011447,2019-04-30,2019-05-15,,,164459.01,0
69494,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0008443,GL0011448,2019-05-31,2019-06-15,,,144487.90,0
74504,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0009086,GL0012269,2019-06-30,2019-07-15,,,146729.72,0
79744,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0009767,GL0013152,2019-07-31,2019-08-15,,,161736.81,0
87426,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0010551,GL0014206,2019-08-31,2019-09-15,,,161677.89,0
99973,PM-LT000037,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 09-1056,GL0011448,2019-09-06,,,,0,-144487.90
99977,PM-LT000037,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 09-1048,GL0012269,2019-09-06,,,,0,-146729.72
99981,PM-LT000037,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 09-1051,GL0013152,2019-09-06,,,,0,-161736.81
99969,PM-LT000037,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 09-1054,GL0011447,2019-09-06,,,,0,-164459.01
99965,PM-LT000037,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 09-1052,GL0011446,2019-09-06,,,,0,-167518.25
91700,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0011154,GL0015096,2019-09-30,2019-10-15,,,176103.03,0
100739,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000022,GL0015286,2019-10-07,,,,92555.04,0
100737,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000022,GL0014626,2019-10-07,,,,19514.08,0
100743,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000023,GL0016307,2019-10-22,,,,92555.04,0
100741,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000023,GL0015286,2019-10-22,,,,19514.08,0
99410,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0012042,GL0016244,2019-10-31,2019-11-22,,,177339.28,0
100747,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000024,GL0016335,2019-11-20,,,,92555.04,0
100745,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000024,GL0016307,2019-11-20,,,,19514.08,0
106054,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0012824,GL0017270,2019-11-30,2019-12-15,,,183436.95,0
106873,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000030,GL0017312,2019-12-16,,,,112069.12,0
111908,PM-LT000037,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0013523,GL0018192,2019-12-31,2020-01-15,,,193496.07,0
