ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
176666,PM-LT000102,IBEX GLOBAL,Payment,Cash in Bank (Peso),UFT0003154,GL0028376,2021-01-07,,B-004,Land Bank of the Philippines,1218147.92,0
168384,PM-LT000038,GLOBE TELECOM - Electricity,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000098,GL0026298,2021-01-07,,,,53174.00,0
176668,PM-LT000102,IBEX GLOBAL,Payment,Cash in Bank (Peso),UFT0003154,GL0028377,2021-01-07,,B-004,Land Bank of the Philippines,34077.36,0
167206,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Cash in Bank (Peso),UFT0002913,GL0026112,2021-01-07,,B-004,Land Bank of the Philippines,22470.00,0
167208,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Cash in Bank (Peso),UFT0002913,GL0026113,2021-01-07,,B-004,Land Bank of the Philippines,1456.28,0
167209,PM-LT000052,SAVE N` EARN SALES INC.,Payment,A/R  Non Trade External-AR Clearing,UFT0002913,GL0026113,2021-01-07,,B-004,Land Bank of the Philippines,0,-1456.28
167207,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables-RR Clearing,UFT0002913,GL0026112,2021-01-07,,B-004,Land Bank of the Philippines,0,-22470.00
168385,PM-LT000038,GLOBE TELECOM - Electricity,Payment,A/R  Non Trade External-ARNTI,IP0000098,GL0026298,2021-01-07,,,,0,-53174.00
172762,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000100,GL0027678,2021-01-08,,,,100689.12,0
172760,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal-ALTURAS MALL,IP0000100,GL0026774,2021-01-08,,,,16983.47,0
166519,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,Cash in Bank (Peso),PR028257,GL0026092,2021-01-08,,B-004,Land Bank of the Philippines,10700.00,0
166505,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0026121,2021-01-08,,B-004,Land Bank of the Philippines,6420.00,0
166495,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0020799,2021-01-08,,B-004,Land Bank of the Philippines,5350.00,0
166538,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),PR028259,GL0026094,2021-01-08,,B-004,Land Bank of the Philippines,5350.00,0
166499,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0026117,2021-01-08,,B-004,Land Bank of the Philippines,3210.00,0
166873,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Payment,Cash in Bank (Peso),UFT0002906,GL0026107,2021-01-08,,B-004,Land Bank of the Philippines,2673.00,0
166523,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028258,GL0025934,2021-01-08,,B-004,Land Bank of the Philippines,2500.00,0
166497,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0020801,2021-01-08,,B-004,Land Bank of the Philippines,2026.65,0
166503,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0026120,2021-01-08,,B-004,Land Bank of the Philippines,1796.30,0
166521,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,Cash in Bank (Peso),PR028257,GL0026093,2021-01-08,,B-004,Land Bank of the Philippines,1222.00,0
166501,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Cash in Bank (Peso),PR028255,GL0026118,2021-01-08,,B-004,Land Bank of the Philippines,760.65,0
166540,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),PR028259,GL0026095,2021-01-08,,B-004,Land Bank of the Philippines,341.00,0
166541,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,A/R  Non Trade External,PR028259,GL0026095,2021-01-08,,B-004,Land Bank of the Philippines,0,-341.00
166502,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,A/R  Non Trade External,PR028255,GL0026118,2021-01-08,,B-004,Land Bank of the Philippines,0,-760.65
166522,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,A/R  Non Trade External,PR028257,GL0026093,2021-01-08,,B-004,Land Bank of the Philippines,0,-1222.00
166504,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,A/R  Non Trade External,PR028255,GL0026120,2021-01-08,,B-004,Land Bank of the Philippines,0,-1796.30
166498,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,A/R  Non Trade External,PR028255,GL0020801,2021-01-08,,B-004,Land Bank of the Philippines,0,-2026.65
166524,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR028258,GL0025934,2021-01-08,,B-004,Land Bank of the Philippines,0,-2500.00
166874,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Payment,A/R  Non Trade External-AR Clearing,UFT0002906,GL0026107,2021-01-08,,B-004,Land Bank of the Philippines,0,-2673.00
166500,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Rent Receivables,PR028255,GL0026117,2021-01-08,,B-004,Land Bank of the Philippines,0,-3210.00
166496,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Rent Receivables,PR028255,GL0020799,2021-01-08,,B-004,Land Bank of the Philippines,0,-5350.00
166539,PM-LT000012,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables,PR028259,GL0026094,2021-01-08,,B-004,Land Bank of the Philippines,0,-5350.00
166506,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Rent Receivables,PR028255,GL0026121,2021-01-08,,B-004,Land Bank of the Philippines,0,-6420.00
166520,PM-LT000048,FORTUNE ENTERPRISES - NEW,Payment,Rent Receivables,PR028257,GL0026092,2021-01-08,,B-004,Land Bank of the Philippines,0,-10700.00
172761,PM-LT000015,GLOBE TELECOM - Rent,Payment,Rent Receivables-ARNTI,IP0000100,GL0026774,2021-01-08,,,,0,-16983.47
166875,PM-LT000098,NEARSOL PHILIPPINES INC.,Payment,Cash in Bank (Peso),UFT0002907,GL0026768,2021-01-11,,B-004,Land Bank of the Philippines,1138456.00,0
166957,PM-ST000002,JOJIES PA-INITANG BOL- ANON,Payment,Cash in Bank (Peso),PR028262,GL0025945,2021-01-12,,B-004,Land Bank of the Philippines,22470.00,0
166967,PM-LT000096,RICHER TEA,Payment,Cash in Bank (Peso),PR028265,GL0026103,2021-01-12,,B-004,Land Bank of the Philippines,21400.00,0
166959,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Cash in Bank (Peso),PR028263,GL0026108,2021-01-12,,B-004,Land Bank of the Philippines,10700.00,0
166969,PM-LT000096,RICHER TEA,Payment,Cash in Bank (Peso),PR028265,GL0026104,2021-01-12,,B-004,Land Bank of the Philippines,8141.20,0
166953,PM-LT000049,ROYAL AURA SKIN CARE AND WELLNESS SHOP,Payment,Cash in Bank (Peso),PR028260,GL0026097,2021-01-12,,B-004,Land Bank of the Philippines,8025.00,0
187746,PM-LT000045,ALIBABA,Payment,A/R Non Trade Internal-ISLAND CITY MALL,IP0000115,GL0026110,2021-01-12,,,,6420.00,0
166961,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Cash in Bank (Peso),PR028263,GL0026109,2021-01-12,,B-004,Land Bank of the Philippines,5428.00,0
187748,PM-LT000045,ALIBABA,Payment,A/R Non Trade Internal-ISLAND CITY MALL,IP0000115,GL0026111,2021-01-12,,,,3829.84,0
166955,PM-LT000049,ROYAL AURA SKIN CARE AND WELLNESS SHOP,Payment,Cash in Bank (Peso),PR028260,GL0026098,2021-01-12,,B-004,Land Bank of the Philippines,2522.00,0
166965,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028264,GL0026776,2021-01-12,,B-004,Land Bank of the Philippines,2150.00,0
166963,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR028264,GL0025934,2021-01-12,,B-004,Land Bank of the Philippines,350.00,0
166964,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR028264,GL0025934,2021-01-12,,B-004,Land Bank of the Philippines,0,-350.00
166956,PM-LT000049,ROYAL AURA SKIN CARE AND WELLNESS SHOP,Payment,A/R  Non Trade External,PR028260,GL0026098,2021-01-12,,B-004,Land Bank of the Philippines,0,-2522.00
187749,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External-ARNTI,IP0000115,GL0026111,2021-01-12,,,,0,-3829.84
166962,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,A/R  Non Trade External,PR028263,GL0026109,2021-01-12,,B-004,Land Bank of the Philippines,0,-5428.00
187747,PM-LT000045,ALIBABA,Payment,Rent Receivables-ARNTI,IP0000115,GL0026110,2021-01-12,,,,0,-6420.00
166954,PM-LT000049,ROYAL AURA SKIN CARE AND WELLNESS SHOP,Payment,Rent Receivables,PR028260,GL0026097,2021-01-12,,B-004,Land Bank of the Philippines,0,-8025.00
166970,PM-LT000096,RICHER TEA,Payment,A/R  Non Trade External,PR028265,GL0026104,2021-01-12,,B-004,Land Bank of the Philippines,0,-8141.20
166960,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Rent Receivables,PR028263,GL0026108,2021-01-12,,B-004,Land Bank of the Philippines,0,-10700.00
166968,PM-LT000096,RICHER TEA,Payment,Rent Receivables,PR028265,GL0026103,2021-01-12,,B-004,Land Bank of the Philippines,0,-21400.00
166958,PM-ST000002,JOJIES PA-INITANG BOL- ANON,Payment,Rent Receivables,PR028262,GL0025945,2021-01-12,,B-004,Land Bank of the Philippines,0,-22470.00
172839,PM-LT000015,GLOBE TELECOM - Rent,Payment,Cash in Bank (Peso),028276,GL0024357,2021-01-16,,B-004,Land Bank of the Philippines,117672.58,0
172835,PM-LT000015,GLOBE TELECOM - Rent,Payment,Cash in Bank (Peso),028280,GL0024352,2021-01-16,,B-004,Land Bank of the Philippines,115142.00,0
176902,PM-LT000015,GLOBE TELECOM - Rent,Payment,Cash in Bank (Peso),028278,GL0024355,2021-01-16,,B-004,Land Bank of the Philippines,115142.00,0
167790,PM-LT000015,GLOBE TELECOM - Rent,Payment,Cash in Bank (Peso),028281,GL0026774,2021-01-16,,B-004,Land Bank of the Philippines,100689.11,0
167794,PM-LT000038,GLOBE TELECOM - Electricity,Payment,Cash in Bank (Peso),028279,GL0025805,2021-01-16,,B-004,Land Bank of the Philippines,89122.00,0
167792,PM-LT000038,GLOBE TELECOM - Electricity,Payment,Cash in Bank (Peso),028275,GL0025060,2021-01-16,,B-004,Land Bank of the Philippines,78617.00,0
167738,PM-LT000038,GLOBE TELECOM - Electricity,Payment,Cash in Bank (Peso),028277,GL0024334,2021-01-16,,B-004,Land Bank of the Philippines,67991.00,0
167788,PM-LT000015,GLOBE TELECOM - Rent,Payment,Cash in Bank (Peso),028281,GL0025806,2021-01-16,,B-004,Land Bank of the Philippines,16983.48,0
167596,PM-LT000051,SYNCOM,Payment,Cash in Bank (Peso),PR028274,GL0025747,2021-01-16,,B-004,Land Bank of the Philippines,13375.00,0
167588,PM-LT000039,TECHNOCARE,Payment,Cash in Bank (Peso),PR028273,GL0026122,2021-01-16,,B-004,Land Bank of the Philippines,8025.00,0
167590,PM-LT000039,TECHNOCARE,Payment,Cash in Bank (Peso),PR028273,GL0026123,2021-01-16,,B-004,Land Bank of the Philippines,2610.00,0
176900,PM-LT000015,GLOBE TELECOM - Rent,Payment,Cash in Bank (Peso),028278,GL0024354,2021-01-16,,B-004,Land Bank of the Philippines,2530.59,0
172837,PM-LT000015,GLOBE TELECOM - Rent,Payment,Cash in Bank (Peso),028280,GL0024354,2021-01-16,,B-004,Land Bank of the Philippines,2277.59,0
167736,PM-LT000038,GLOBE TELECOM - Electricity,Payment,Cash in Bank (Peso),028277,GL0018710,2021-01-16,,B-004,Land Bank of the Philippines,1737.52,0
167598,PM-LT000051,SYNCOM,Payment,Cash in Bank (Peso),PR028274,GL0025749,2021-01-16,,B-004,Land Bank of the Philippines,1409.00,0
167599,PM-LT000051,SYNCOM,Payment,A/R  Non Trade External,PR028274,GL0025749,2021-01-16,,B-004,Land Bank of the Philippines,0,-1409.00
167737,PM-LT000038,GLOBE TELECOM - Electricity,Payment,A/R Non Trade Internal,028277,GL0018710,2021-01-16,,B-004,Land Bank of the Philippines,0,-1737.52
172838,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal,028280,GL0024354,2021-01-16,,B-004,Land Bank of the Philippines,0,-2277.59
176901,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R Non Trade Internal,028278,GL0024354,2021-01-16,,B-004,Land Bank of the Philippines,0,-2530.59
167591,PM-LT000039,TECHNOCARE,Payment,A/R  Non Trade External,PR028273,GL0026123,2021-01-16,,B-004,Land Bank of the Philippines,0,-2610.00
167589,PM-LT000039,TECHNOCARE,Payment,Rent Receivables,PR028273,GL0026122,2021-01-16,,B-004,Land Bank of the Philippines,0,-8025.00
