ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
176669,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income-URI Clearing,UFT0003154,GL0028377,2021-01-07,,B-004,Land Bank of the Philippines,0,-34077.36
176667,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income-Preop Clearing,UFT0003154,GL0028376,2021-01-07,,B-004,Land Bank of the Philippines,0,-1218147.92
172763,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income-ARNTI,IP0000100,GL0027678,2021-01-08,,,,0,-100689.12
166966,PM-LT000008,WATCH REPAIR SHOP,Payment,Unearned Rent Income,PR028264,GL0026776,2021-01-12,,B-004,Land Bank of the Philippines,0,-2150.00
168764,PM-LT000099,MUSASHI TAKOYAKI BOHOL,Payment,Unearned Rent Income,PR028288,GL0026994,2021-01-27,,B-004,Land Bank of the Philippines,0,-10700.00
172723,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income-URI Clearing,UFT0003052,GL0027672,2021-02-10,,B-004,Land Bank of the Philippines,0,-19.65
176693,PM-LT000099,MUSASHI TAKOYAKI BOHOL,Payment,Unearned Rent Income,B0012441,GL0026994,2021-02-28,,,,10700.00,0
174594,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,B0012240,GL0027672,2021-02-28,,,,19.65,0
181552,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income,B0012826,GL0028376,2021-03-31,,,,982377.36,0
180058,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0012672,GL0027678,2021-03-31,,,,100689.12,0
186487,PM-LT000053,CORE PACIFIC MONEY EXCHANGE CORP.,Payment,Unearned Rent Income,B0013189,GL0019392,2021-03-31,,,,6979.88,0
180492,PM-LT000008,WATCH REPAIR SHOP,Payment,Unearned Rent Income,B0012715,GL0025196,2021-03-31,,,,3223.74,0
180494,PM-LT000008,WATCH REPAIR SHOP,Payment,Unearned Rent Income,B0012715,GL0025853,2021-03-31,,,,2500.00,0
180498,PM-LT000008,WATCH REPAIR SHOP,Payment,Unearned Rent Income,B0012715,GL0026776,2021-03-31,,,,2150.00,0
179948,PM-LT000014,ABENSON - BILLBOARD,Payment,Unearned Rent Income,B0012652,GL0028156,2021-03-31,,,,19.65,0
183821,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income,B0012923,GL0028376,2021-04-30,,,,235770.56,0
183823,PM-LT000102,IBEX GLOBAL,Payment,Unearned Rent Income,B0012923,GL0028377,2021-04-30,,,,34077.36,0
186500,PM-LT000053,CORE PACIFIC MONEY EXCHANGE CORP.,Payment,Unearned Rent Income,B0013190,GL0019392,2021-04-30,,,,9070.12,0
188254,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income-ARNTI,IP0000118,GL0030138,2021-05-10,,,,0,-100436.15
188933,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0013317,GL0030138,2021-05-31,,,,100436.15,0
189630,PM-LT000097,SHA-WRAPS,Payment,Unearned Rent Income,B0013359,GL0026138,2021-05-31,,,,12840.00,0
201307,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income-ARNTI,IP0000130,GL0032239,2021-06-08,,,,0,-106319.78
222594,PM-LT000119,IBEX GLOBAL (2nd Floor),Payment,Unearned Rent Income-Preop Clearing,UFT0004312,GL0035185,2021-06-25,,B-004,Land Bank of the Philippines,0,-1787167.50
201308,PM-LT000015,GLOBE TELECOM - Rent,Payment,Unearned Rent Income,B0014307,GL0032239,2021-06-30,,,,106319.78,0
