ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
29407,PM-LT000015,GLOBE TELECOM - Rent,Invoice,A/R  Non Trade External,IC0003882,GL0004854,2018-10-31,2018-11-15,,,52168.00,0
29248,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Invoice,A/R  Non Trade External,IC0003868,GL0004832,2018-10-31,2018-11-15,,,8400.00,0
29265,PM-LT000002,TRONIX IMAGING CENTER - LG,Invoice,A/R  Non Trade External,IC0003873,GL0004837,2018-10-31,2018-11-15,,,2696.00,0
44453,PM-LT000010,LBC EXPRESS INC,Invoice,A/R  Non Trade External,IC0005706,GL0007306,2018-10-31,2018-11-15,,,2281.44,0
29409,PM-LT000015,GLOBE TELECOM - Rent,Invoice,A/R  Non Trade External,B0002097,GL0004855,2018-10-31,2018-10-10,,,2134.65,0
29283,PM-LT000009,LAND BANK OF THE PHILIPPINES,Invoice,A/R  Non Trade External,IC0003879,GL0004843,2018-10-31,2018-11-15,,,1384.00,0
29271,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,A/R  Non Trade External,IC0003875,GL0004839,2018-10-31,2018-11-15,,,744.00,0
29258,PM-LT000005,SAVE N EARN BUSINESS CENTER,Invoice,A/R  Non Trade External,IC0003871,GL0004835,2018-10-31,2018-11-15,,,556.64,0
29962,PM-LT000014,ABENSON - BILLBOARD,Invoice,A/R  Non Trade External,B0002140,GL0004925,2018-10-31,2018-10-04,,,64.20,0
29277,PM-LT000011,LYDIAS TICKETING OUTLET,Invoice,A/R  Non Trade External,IC0003877,GL0004841,2018-11-10,2018-11-20,,,1216.00,0
31108,PM-LT000011,LYDIAS TICKETING OUTLET,Payment,A/R  Non Trade External,PR027060,GL0004841,2018-11-15,,B-004,Land Bank of the Philippines,0,-1216.00
31387,PM-LT000015,GLOBE TELECOM - Rent,Payment,A/R  Non Trade External,PR027062,GL0004855,2018-11-15,,B-004,Land Bank of the Philippines,0,-2134.65
31641,PM-LT000005,SAVE N EARN BUSINESS CENTER,Payment,A/R  Non Trade External,PR027063,GL0004835,2018-11-16,,B-004,Land Bank of the Philippines,0,-556.64
44459,PM-LT000010,LBC EXPRESS INC,Payment,A/R  Non Trade External,PR027067,GL0007306,2018-11-22,,B-004,Land Bank of the Philippines,0,-2281.44
44374,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,A/R  Non Trade External,PR027071,GL0007294,2018-11-27,,B-004,Land Bank of the Philippines,0,-27.68
44376,PM-LT000009,LAND BANK OF THE PHILIPPINES,Payment,A/R  Non Trade External,PR027071,GL0004843,2018-11-27,,B-004,Land Bank of the Philippines,0,-1356.32
33772,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Payment,A/R  Non Trade External,PR027072,GL0004832,2018-11-27,,B-004,Land Bank of the Philippines,0,-8400.00
33369,PM-LT000015,GLOBE TELECOM - Rent,Invoice,A/R  Non Trade External,IC0004304,GL0005388,2018-11-30,2018-12-10,,,44616.00,0
33331,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Invoice,A/R  Non Trade External,IC0004295,GL0005379,2018-11-30,2018-12-10,,,8800.00,0
33093,PM-LT000002,TRONIX IMAGING CENTER - LG,Invoice,A/R  Non Trade External,IC0004241,GL0005321,2018-11-30,2018-12-10,,,2480.00,0
44541,PM-LT000010,LBC EXPRESS INC,Invoice,A/R  Non Trade External,IC0005715,GL0007318,2018-11-30,2018-12-10,,,1967.84,0
33371,PM-LT000015,GLOBE TELECOM - Rent,Invoice,A/R  Non Trade External,B0002341,GL0005389,2018-11-30,2018-10-10,,,1700.97,0
33087,PM-LT000009,LAND BANK OF THE PHILIPPINES,Invoice,A/R  Non Trade External,IC0004239,GL0005319,2018-11-30,2018-12-10,,,1248.00,0
33359,PM-LT000011,LYDIAS TICKETING OUTLET,Invoice,A/R  Non Trade External,IC0004301,GL0005385,2018-11-30,2018-12-10,,,1008.00,0
33409,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,A/R  Non Trade External,IC0004313,GL0005398,2018-11-30,2018-12-10,,,664.00,0
34019,PM-LT000008,WATCH REPAIR SHOP,Invoice,A/R  Non Trade External,IC0004436,GL0005535,2018-11-30,2018-12-10,,,500.00,0
33295,PM-LT000005,SAVE N EARN BUSINESS CENTER,Invoice,A/R  Non Trade External,IC0004286,GL0005370,2018-11-30,2018-12-10,,,431.20,0
44544,PM-LT000010,LBC EXPRESS INC,Invoice,A/R  Non Trade External,IC0005716,GL0007319,2018-11-30,2018-12-10,,,134.44,0
33287,PM-LT000014,ABENSON - BILLBOARD,Invoice,A/R  Non Trade External,B0002329,GL0005367,2018-11-30,2018-10-04,,,98.23,0
33289,PM-LT000014,ABENSON - BILLBOARD,Invoice,A/R  Non Trade External,B0002329,GL0005368,2018-11-30,2018-11-10,,,64.20,0
44371,PM-LT000009,LAND BANK OF THE PHILIPPINES,Invoice,A/R  Non Trade External,B0003108,GL0007294,2018-11-30,2018-11-15,,,27.68,0
34511,PM-LT000005,SAVE N EARN BUSINESS CENTER,Payment,A/R  Non Trade External,PR027077,GL0005370,2018-12-04,,B-004,Land Bank of the Philippines,0,-431.20
