ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
29652,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0003910,GL0004882,2018-09-24,2018-10-04,,,3210.00,0
29655,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Income,IC0003910,GL0004882,2018-09-24,2018-10-04,,,0,-3000.00
64157,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Unearned Rent Income,PR25026,GL0010591,2018-09-25,,,,0,-44358.52
29391,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0003880,GL0004852,2018-09-30,2018-10-10,,,106732.50,0
29394,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Income,IC0003880,GL0004852,2018-09-30,2018-10-10,,,0,-99750.00
29656,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0003911,GL0004883,2018-10-24,2018-11-10,,,3210.00,0
29659,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Income,IC0003911,GL0004883,2018-10-24,2018-11-10,,,0,-3000.00
29395,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0003881,GL0004853,2018-10-31,2018-11-15,,,106732.50,0
29407,PM-LT000015,GLOBE TELECOM - Rent,Invoice,A/R  Non Trade External,IC0003882,GL0004854,2018-10-31,2018-11-15,,,52168.00,0
64133,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Invoice,Rent Receivables,IC0007781,GL0010586,2018-10-31,2018-11-10,,,39682.97,0
64158,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Unearned Rent Income,B0004263,GL0010591,2018-10-31,,,,39682.97,0
29236,PM-LT000007,SYNCOM-TERMINAL CELLFONE GALLERY,Invoice,Rent Receivables,IC0003865,GL0004829,2018-10-31,2018-11-15,,,28376.38,0
29769,PM-LT000002,TRONIX IMAGING CENTER - LG,Invoice,Rent Receivables,IC0003932,GL0004904,2018-10-31,2018-11-15,,,24194.88,0
29759,PM-LT000010,LBC EXPRESS INC,Invoice,Rent Receivables,IC0003930,GL0004902,2018-10-31,2018-11-15,,,20124.84,0
29267,PM-LT000004,DUNKIN DONUTS,Invoice,Rent Receivables,IC0003874,GL0004838,2018-10-31,2018-11-15,,,18135.20,0
29273,PM-LT000008,WATCH REPAIR SHOP,Invoice,Rent Receivables,IC0003876,GL0004840,2018-10-31,2018-11-15,,,11459.23,0
29248,PM-LT000013,SMART COMMUNICATIONS INC - Electricity,Invoice,A/R  Non Trade External,IC0003868,GL0004832,2018-10-31,2018-11-15,,,8400.00,0
30005,PM-LT000011,LYDIAS TICKETING OUTLET,Invoice,Rent Receivables,IC0003951,GL0004930,2018-10-31,2018-11-15,,,7428.58,0
29779,PM-LT000003,FORTUNE ENTERPRISES,Invoice,Rent Receivables,IC0003934,GL0004906,2018-10-31,2018-11-15,,,5315.48,0
29265,PM-LT000002,TRONIX IMAGING CENTER - LG,Invoice,A/R  Non Trade External,IC0003873,GL0004837,2018-10-31,2018-11-15,,,2696.00,0
44453,PM-LT000010,LBC EXPRESS INC,Invoice,A/R  Non Trade External,IC0005706,GL0007306,2018-10-31,2018-11-15,,,2281.44,0
29765,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,Rent Receivables,IC0003931,GL0004903,2018-10-31,2018-11-15,,,2205.16,0
29409,PM-LT000015,GLOBE TELECOM - Rent,Invoice,A/R  Non Trade External,B0002097,GL0004855,2018-10-31,2018-10-10,,,2134.65,0
29283,PM-LT000009,LAND BANK OF THE PHILIPPINES,Invoice,A/R  Non Trade External,IC0003879,GL0004843,2018-10-31,2018-11-15,,,1384.00,0
29271,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,A/R  Non Trade External,IC0003875,GL0004839,2018-10-31,2018-11-15,,,744.00,0
29816,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0003939,GL0004912,2018-10-31,2018-11-15,,,724.84,0
29258,PM-LT000005,SAVE N EARN BUSINESS CENTER,Invoice,A/R  Non Trade External,IC0003871,GL0004835,2018-10-31,2018-11-15,,,556.64,0
29962,PM-LT000014,ABENSON - BILLBOARD,Invoice,A/R  Non Trade External,B0002140,GL0004925,2018-10-31,2018-10-04,,,64.20,0
