ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
256627,PM-LT000056,D BOAT FOOD HOUSE,Payment,Cash in Bank (Peso),PR0032231,GL0030247,2022-06-01,,B-004,Land Bank of the Philippines,8560.00,0
256629,PM-LT000056,D BOAT FOOD HOUSE,Payment,Cash in Bank (Peso),PR0032231,GL0030250,2022-06-01,,B-004,Land Bank of the Philippines,6436.00,0
256631,PM-LT000056,D BOAT FOOD HOUSE,Payment,Cash in Bank (Peso),PR0032231,GL0031097,2022-06-01,,B-004,Land Bank of the Philippines,5300.00,0
256625,PM-LT000056,D BOAT FOOD HOUSE,Payment,Cash in Bank (Peso),PR0032231,GL0029371,2022-06-01,,B-004,Land Bank of the Philippines,3381.00,0
256626,PM-LT000056,D BOAT FOOD HOUSE,Payment,A/R  Non Trade External,PR0032231,GL0029371,2022-06-01,,B-004,Land Bank of the Philippines,0,-3381.00
256632,PM-LT000056,D BOAT FOOD HOUSE,Payment,Rent Receivables,PR0032231,GL0031097,2022-06-01,,B-004,Land Bank of the Philippines,0,-5300.00
256630,PM-LT000056,D BOAT FOOD HOUSE,Payment,A/R  Non Trade External,PR0032231,GL0030250,2022-06-01,,B-004,Land Bank of the Philippines,0,-6436.00
256628,PM-LT000056,D BOAT FOOD HOUSE,Payment,Rent Receivables,PR0032231,GL0030247,2022-06-01,,B-004,Land Bank of the Philippines,0,-8560.00
256760,PM-LT000099,MUSASHI TAKOYAKI BOHOL,Payment,Cash in Bank (Peso),PR0032232,GL0029350,2022-06-03,,B-004,Land Bank of the Philippines,8197.00,0
256762,PM-LT000099,MUSASHI TAKOYAKI BOHOL,Payment,Cash in Bank (Peso),PR0032232,GL0029351,2022-06-03,,B-004,Land Bank of the Philippines,1003.00,0
