ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
38750,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR027115,GL0005534,2019-01-03,,B-004,Land Bank of the Philippines,1136.02,0
38752,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR027115,GL0005535,2019-01-03,,B-004,Land Bank of the Philippines,363.98,0
38753,PM-LT000008,WATCH REPAIR SHOP,Payment,A/R  Non Trade External,PR027115,GL0005535,2019-01-03,,B-004,Land Bank of the Philippines,0,-363.98
38751,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027115,GL0005534,2019-01-03,,B-004,Land Bank of the Philippines,0,-1136.02
39538,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR027117,GL0005997,2019-01-07,,B-004,Land Bank of the Philippines,1363.98,0
39536,PM-LT000008,WATCH REPAIR SHOP,Payment,Cash in Bank (Peso),PR027117,GL0005535,2019-01-07,,B-004,Land Bank of the Philippines,136.02,0
39537,PM-LT000008,WATCH REPAIR SHOP,Payment,A/R  Non Trade External,PR027117,GL0005535,2019-01-07,,B-004,Land Bank of the Philippines,0,-136.02
39539,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR027117,GL0005997,2019-01-07,,B-004,Land Bank of the Philippines,0,-1363.98
252649,PM-LT000036,SMART COMMUNICATIONS INC - Rent,Payment,Cash in Bank (Peso),PR27116,GL0039127,2019-01-08,,B-004,Land Bank of the Philippines,64200.00,0
44557,PM-LT000010,LBC EXPRESS INC,Payment,Cash in Bank (Peso),PR027114,GL0005324,2019-01-08,,B-004,Land Bank of the Philippines,38991.87,0
39738,PM-LT000005,SAVE N EARN BUSINESS CENTER,Payment,Cash in Bank (Peso),PR027118,GL0006001,2019-01-08,,B-004,Land Bank of the Philippines,38577.03,0
39712,PM-LT000014,ABENSON - BILLBOARD,Payment,Cash in Bank (Peso),PR027112,GL0005364,2019-01-08,,B-004,Land Bank of the Philippines,3085.82,0
44559,PM-LT000010,LBC EXPRESS INC,Payment,Cash in Bank (Peso),PR027114,GL0007318,2019-01-08,,B-004,Land Bank of the Philippines,1220.65,0
44555,PM-LT000010,LBC EXPRESS INC,Payment,Cash in Bank (Peso),PR027114,GL0007322,2019-01-08,,B-004,Land Bank of the Philippines,821.88,0
39740,PM-LT000005,SAVE N EARN BUSINESS CENTER,Payment,Cash in Bank (Peso),PR027118,GL0006002,2019-01-08,,B-004,Land Bank of the Philippines,478.24,0
39710,PM-LT000014,ABENSON - BILLBOARD,Payment,Cash in Bank (Peso),PR027112,GL0005990,2019-01-08,,B-004,Land Bank of the Philippines,61.72,0
39708,PM-LT000014,ABENSON - BILLBOARD,Payment,Cash in Bank (Peso),PR027112,GL0005988,2019-01-08,,B-004,Land Bank of the Philippines,33.85,0
