ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
231524,PM-LT000042,TRONIX IMAGING CENTER - NEW,Invoice Adjustment,Rent Income,IC0036546,GL0036102,2022-01-31,2022-02-10,,,516.12,0
231561,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,MI-Charges,IC0036884,GL0036453,2022-01-31,2022-02-10,,,0,-58.05
231558,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,MI-Aircon Charges,IC0036884,GL0036453,2022-01-31,2022-02-10,,,0,-72.54
231559,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,MI-Common Utilities,IC0036884,GL0036453,2022-01-31,2022-02-10,,,0,-87.30
229459,PM-LT000048,FORTUNE ENTERPRISES - NEW,Invoice,MI-Light and Power,IC0036513,GL0036066,2022-01-31,2022-02-10,,,0,-144.00
229460,PM-LT000048,FORTUNE ENTERPRISES - NEW,Invoice,MI-Charges,IC0036513,GL0036066,2022-01-31,2022-02-10,,,0,-200.00
229529,PM-LT000052,SAVE N` EARN SALES INC.,Invoice,MI-Charges,IC0036520,GL0036076,2022-01-31,2022-02-10,,,0,-200.00
229551,PM-LT000051,SYNCOM,Invoice,MI-Charges,IC0036526,GL0036082,2022-01-31,2022-02-10,,,0,-200.00
229428,PM-LT000053,CORE PACIFIC MONEY EXCHANGE CORP.,Invoice,MI-Charges,IC0036505,GL0036058,2022-01-31,2022-02-10,,,0,-250.00
229458,PM-LT000048,FORTUNE ENTERPRISES - NEW,Invoice,MI-Common Utilities,IC0036513,GL0036066,2022-01-31,2022-02-10,,,0,-250.00
229562,PM-LT000099,MUSASHI TAKOYAKI BOHOL,Invoice,MI-Charges,IC0036528,GL0036084,2022-01-31,2022-02-10,,,0,-250.00
229527,PM-LT000052,SAVE N` EARN SALES INC.,Invoice,MI-Common Utilities,IC0036520,GL0036076,2022-01-31,2022-02-10,,,0,-250.00
229549,PM-LT000051,SYNCOM,Invoice,MI-Common Utilities,IC0036526,GL0036082,2022-01-31,2022-02-10,,,0,-250.00
233567,PM-LT000008,WATCH REPAIR SHOP,Invoice,MI-Common Utilities,IC0037127,GL0036722,2022-01-31,2022-02-15,,,0,-250.00
