ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
302831,PM-LT000048,FORTUNE ENTERPRISES - NEW,Invoice Adjustment,Rent Income,IC0045550,GL0045951,2023-01-31,2023-02-10,,,10000.00,0
305458,PM-LT000008,WATCH REPAIR SHOP,Invoice,MI-Light and Power,IC0045984,GL0046400,2023-01-31,2023-02-10,,,0,-22.00
302839,PM-LT000181,TOUCHPOINT ENTERPRISES INC.,Invoice,MI-Light and Power,IC0045552,GL0045953,2023-01-31,2023-02-10,,,0,-33.00
302773,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,MI-Charges,IC0045540,GL0045941,2023-01-31,2023-02-10,,,0,-200.00
302730,PM-LT000052,SAVE N` EARN SALES INC.,Invoice,MI-Charges,IC0045532,GL0045933,2023-01-31,2023-02-10,,,0,-200.00
302725,PM-LT000051,SYNCOM,Invoice,MI-Charges,IC0045531,GL0045932,2023-01-31,2023-02-10,,,0,-200.00
302840,PM-LT000181,TOUCHPOINT ENTERPRISES INC.,Invoice,MI-Charges,IC0045552,GL0045953,2023-01-31,2023-02-10,,,0,-200.00
302747,PM-LT000053,CORE PACIFIC MONEY EXCHANGE CORP.,Invoice,MI-Charges,IC0045535,GL0045936,2023-01-31,2023-02-10,,,0,-250.00
302729,PM-LT000052,SAVE N` EARN SALES INC.,Invoice,MI-Light and Power,IC0045532,GL0045933,2023-01-31,2023-02-10,,,0,-286.00
302775,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,MI-Charges,IC0045541,GL0045942,2023-01-31,2023-02-10,,,0,-300.00
302898,PM-LT000054,JOJIES PA-INITANG BOL-ANON,Invoice,MI-Light and Power,IC0045565,GL0045966,2023-01-31,2023-02-10,,,0,-440.00
302724,PM-LT000051,SYNCOM,Invoice,MI-Light and Power,IC0045531,GL0045932,2023-01-31,2023-02-10,,,0,-451.00
302868,PM-LT000144,EDITA`S FOOD CORNER,Invoice,MI-Charges,IC0045558,GL0045959,2023-01-31,2023-02-10,,,0,-500.00
