ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
300186,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables-RR Clearing,PR0032438,GL0045102,2023-01-05,,B-004,Land Bank of the Philippines,3190.35,0
300187,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables,PR0032438,GL0045102,2023-01-05,,B-004,Land Bank of the Philippines,0,-3190.35
300181,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables-RR Clearing,UFT0006099,GL0045102,2023-01-05,,B-004,Land Bank of the Philippines,0,-3190.35
304058,PM-LT000015,GLOBE TELECOM - Rent,Payment,Rent Receivables-ARNTI,IP0000234,GL0045123,2023-01-09,,,,0,-5174.86
300156,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables-RR Clearing,PR0032435,GL0045079,2023-01-10,,B-004,Land Bank of the Philippines,16050.00,0
300174,PM-LT000045,RULLS CELLPHONE and ACCESSORIES,Payment,Rent Receivables-RR Clearing,PR0032437,GL0045074,2023-01-10,,B-004,Land Bank of the Philippines,10700.00,0
300166,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Rent Receivables-RR Clearing,PR0032436,GL0045078,2023-01-10,,B-004,Land Bank of the Philippines,8560.00,0
299303,PM-LT000118,PAT AND JANE FRANCHISING CORP.,Payment,Rent Receivables,PR0032523,GL0043303,2023-01-10,,B-004,Land Bank of the Philippines,0,-5350.00
299307,PM-LT000173,MARITASTE DINER,Payment,Rent Receivables,PR0032524,GL0044108,2023-01-10,,B-004,Land Bank of the Philippines,0,-6420.00
300167,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Rent Receivables,PR0032436,GL0045078,2023-01-10,,B-004,Land Bank of the Philippines,0,-8560.00
300165,PM-LT000042,TRONIX IMAGING CENTER - NEW,Payment,Rent Receivables-RR Clearing,UFT0006097,GL0045078,2023-01-10,,B-004,Land Bank of the Philippines,0,-8560.00
300175,PM-LT000045,RULLS CELLPHONE and ACCESSORIES,Payment,Rent Receivables,PR0032437,GL0045074,2023-01-10,,B-004,Land Bank of the Philippines,0,-10700.00
300173,PM-LT000045,RULLS CELLPHONE and ACCESSORIES,Payment,Rent Receivables-RR Clearing,UFT0006098,GL0045074,2023-01-10,,B-004,Land Bank of the Philippines,0,-10700.00
299295,PM-LT000181,TOUCHPOINT ENTERPRISES INC.,Payment,Rent Receivables,PR0032522,GL0045093,2023-01-10,,B-004,Land Bank of the Philippines,0,-10700.00
300157,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables,PR0032435,GL0045079,2023-01-10,,B-004,Land Bank of the Philippines,0,-16050.00
300155,PM-LT000052,SAVE N` EARN SALES INC.,Payment,Rent Receivables-RR Clearing,UFT0006096,GL0045079,2023-01-10,,B-004,Land Bank of the Philippines,0,-16050.00
300909,PM-LT000144,EDITA`S FOOD CORNER,Payment,Rent Receivables,PR0032525,GL0042456,2023-01-19,,B-004,Land Bank of the Philippines,0,-5000.00
300939,PM-LT000053,CORE PACIFIC MONEY EXCHANGE CORP.,Payment,Rent Receivables,PR0032527,GL0045071,2023-01-19,,B-004,Land Bank of the Philippines,0,-10700.00
300935,PM-LT000054,JOJIES PA-INITANG BOL-ANON,Payment,Rent Receivables,PR0032526,GL0045077,2023-01-19,,B-004,Land Bank of the Philippines,0,-12840.00
301295,PM-LT000008,WATCH REPAIR SHOP,Payment,Rent Receivables,PR0032531,GL0037394,2023-01-23,,B-004,Land Bank of the Philippines,0,-2000.00
301293,PM-LT000102,IBEX GLOBALSOLUTIONS(PHILIPPINES) INC.  3RD FLOOR,Payment,Rent Receivables,PR0032530,GL0045052,2023-01-23,,B-004,Land Bank of the Philippines,0,-1279055.32
301301,PM-LT000119,IBEX GLOBALSOLUTIONS(PHILIPPINES) INC.  (2nd Floor),Payment,Rent Receivables,PR0032532,GL0045053,2023-01-23,,B-004,Land Bank of the Philippines,0,-1787167.50
305055,PM-LT000043,LBC EXPRESS - NEW,Payment,Rent Receivables-RR Clearing,PR0032439,GL0045112,2023-01-24,,B-004,Land Bank of the Philippines,35310.00,0
305056,PM-LT000043,LBC EXPRESS - NEW,Payment,Rent Receivables,PR0032439,GL0045112,2023-01-24,,B-004,Land Bank of the Philippines,0,-35310.00
302808,PM-LT000043,LBC EXPRESS - NEW,Payment,Rent Receivables-RR Clearing,UFT0006205,GL0045112,2023-01-24,,B-004,Land Bank of the Philippines,0,-35310.00
301994,PM-LT000144,EDITA`S FOOD CORNER,Payment,Rent Receivables,PR0032533,GL0042456,2023-01-26,,B-004,Land Bank of the Philippines,0,-625.59
302444,PM-LT000118,PAT AND JANE FRANCHISING CORP.,Payment,Rent Receivables,PR0032535,GL0044112,2023-01-26,,B-004,Land Bank of the Philippines,0,-5350.00
302007,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Payment,Rent Receivables,PR0032534,GL0045110,2023-01-26,,B-004,Land Bank of the Philippines,0,-10700.00
302856,PM-LT000119,IBEX GLOBALSOLUTIONS(PHILIPPINES) INC.  (2nd Floor),Invoice,Rent Receivables,IC0045556,GL0045957,2023-01-31,2023-02-10,,,1787167.50,0
302761,PM-LT000102,IBEX GLOBALSOLUTIONS(PHILIPPINES) INC.  3RD FLOOR,Invoice,Rent Receivables,IC0045538,GL0045939,2023-01-31,2023-02-10,,,1279055.32,0
306230,PM-LT000037,JOLLIBEE,Invoice,Rent Receivables,IC0046080,GL0046510,2023-01-31,2023-02-15,,,148031.67,0
302748,PM-LT000015,GLOBE TELECOM - Rent,Invoice,Rent Receivables,IC0045536,GL0045937,2023-01-31,2023-02-10,,,129734.01,0
302791,PM-LT000043,LBC EXPRESS - NEW,Invoice,Rent Receivables,IC0045545,GL0045946,2023-01-31,2023-02-10,,,35310.00,0
305412,PM-LT000052,SAVE N` EARN SALES INC.,Invoice,Rent Receivables,IC0045974,GL0046390,2023-01-31,2023-02-10,,,16050.00,0
305408,PM-LT000051,SYNCOM,Invoice,Rent Receivables,IC0045973,GL0046389,2023-01-31,2023-02-10,,,16050.00,0
305420,PM-LT000054,JOJIES PA-INITANG BOL-ANON,Invoice,Rent Receivables,IC0045976,GL0046392,2023-01-31,2023-02-10,,,12840.00,0
305416,PM-LT000042,TRONIX IMAGING CENTER - NEW,Invoice,Rent Receivables,IC0045975,GL0046391,2023-01-31,2023-02-10,,,12840.00,0
305432,PM-LT000053,CORE PACIFIC MONEY EXCHANGE CORP.,Invoice,Rent Receivables,IC0045979,GL0046395,2023-01-31,2023-02-10,,,10700.00,0
302860,PM-LT000144,EDITA`S FOOD CORNER,Invoice,Rent Receivables,IC0045557,GL0045958,2023-01-31,2023-02-10,,,10700.00,0
302824,PM-LT000048,FORTUNE ENTERPRISES - NEW,Invoice,Rent Receivables,IC0045550,GL0045951,2023-01-31,2023-02-10,,,10700.00,0
302765,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,Rent Receivables,IC0045539,GL0045940,2023-01-31,2023-02-10,,,10700.00,0
305424,PM-LT000045,RULLS CELLPHONE and ACCESSORIES,Invoice,Rent Receivables,IC0045977,GL0046393,2023-01-31,2023-02-10,,,10700.00,0
302832,PM-LT000181,TOUCHPOINT ENTERPRISES INC.,Invoice,Rent Receivables,IC0045551,GL0045952,2023-01-31,2023-02-10,,,10700.00,0
302831,PM-LT000048,FORTUNE ENTERPRISES - NEW,Invoice Adjustment,Rent Income,IC0045550,GL0045951,2023-01-31,2023-02-10,,,10000.00,0
302880,PM-LT000012,PHILIPPINE NATIONAL BANK,Invoice,Rent Receivables,IC0045561,GL0045962,2023-01-31,2023-02-10,,,9399.52,0
302809,PM-LT000174,JM SHAWARMA,Invoice,Rent Receivables,IC0045547,GL0045948,2023-01-31,2023-02-10,,,8560.00,0
305877,PM-LT000173,MARITASTE DINER,Invoice,Rent Receivables,IC0046049,GL0046475,2023-01-31,2023-02-10,,,8560.00,0
305428,PM-LT000008,WATCH REPAIR SHOP,Invoice,Rent Receivables,IC0045978,GL0046394,2023-01-31,2023-02-10,,,8560.00,0
304887,PM-LT000100,LAND BANK OF THE PHILIPPINES NEW,Invoice,Rent Receivables,IC0045911,GL0046320,2023-01-31,2023-02-10,,,6693.75,0
305436,PM-LT000118,PAT AND JANE FRANCHISING CORP.,Invoice,Rent Receivables,IC0045980,GL0046396,2023-01-31,2023-02-10,,,5350.00,0
302781,PM-LT000014,ABENSON - BILLBOARD,Invoice,Rent Receivables,IC0045543,GL0045944,2023-01-31,2023-02-10,,,3210.00,0
302786,PM-LT000014,ABENSON - BILLBOARD,Payment,Rent Receivables,B0022023,GL0045944,2023-01-31,,,,0,-19.65
305458,PM-LT000008,WATCH REPAIR SHOP,Invoice,MI-Light and Power,IC0045984,GL0046400,2023-01-31,2023-02-10,,,0,-22.00
302839,PM-LT000181,TOUCHPOINT ENTERPRISES INC.,Invoice,MI-Light and Power,IC0045552,GL0045953,2023-01-31,2023-02-10,,,0,-33.00
302773,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,MI-Charges,IC0045540,GL0045941,2023-01-31,2023-02-10,,,0,-200.00
302730,PM-LT000052,SAVE N` EARN SALES INC.,Invoice,MI-Charges,IC0045532,GL0045933,2023-01-31,2023-02-10,,,0,-200.00
302725,PM-LT000051,SYNCOM,Invoice,MI-Charges,IC0045531,GL0045932,2023-01-31,2023-02-10,,,0,-200.00
302840,PM-LT000181,TOUCHPOINT ENTERPRISES INC.,Invoice,MI-Charges,IC0045552,GL0045953,2023-01-31,2023-02-10,,,0,-200.00
302747,PM-LT000053,CORE PACIFIC MONEY EXCHANGE CORP.,Invoice,MI-Charges,IC0045535,GL0045936,2023-01-31,2023-02-10,,,0,-250.00
302729,PM-LT000052,SAVE N` EARN SALES INC.,Invoice,MI-Light and Power,IC0045532,GL0045933,2023-01-31,2023-02-10,,,0,-286.00
302775,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,MI-Charges,IC0045541,GL0045942,2023-01-31,2023-02-10,,,0,-300.00
302898,PM-LT000054,JOJIES PA-INITANG BOL-ANON,Invoice,MI-Light and Power,IC0045565,GL0045966,2023-01-31,2023-02-10,,,0,-440.00
302724,PM-LT000051,SYNCOM,Invoice,MI-Light and Power,IC0045531,GL0045932,2023-01-31,2023-02-10,,,0,-451.00
302868,PM-LT000144,EDITA`S FOOD CORNER,Invoice,MI-Charges,IC0045558,GL0045959,2023-01-31,2023-02-10,,,0,-500.00
302814,PM-LT000174,JM SHAWARMA,Invoice,MI-Aircon Charges,IC0045548,GL0045949,2023-01-31,2023-02-10,,,0,-500.00
302899,PM-LT000054,JOJIES PA-INITANG BOL-ANON,Invoice,MI-Charges,IC0045565,GL0045966,2023-01-31,2023-02-10,,,0,-500.00
302803,PM-LT000043,LBC EXPRESS - NEW,Invoice,MI-Charges,IC0045546,GL0045947,2023-01-31,2023-02-10,,,0,-500.00
302770,PM-LT000047,LYDIA`S TICKETING OUTLET - NEW,Invoice,MI-Aircon Charges,IC0045540,GL0045941,2023-01-31,2023-02-10,,,0,-500.00
302780,PM-LT000173,MARITASTE DINER,Invoice,MI-Charges,IC0045542,GL0045943,2023-01-31,2023-02-10,,,0,-500.00
302823,PM-LT000118,PAT AND JANE FRANCHISING CORP.,Invoice,MI-Charges,IC0045549,GL0045950,2023-01-31,2023-02-10,,,0,-500.00
