ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
19738,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0002608,GL0003259,2018-08-31,2018-09-15,,,467275.52,0
19724,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0002607,GL0003258,2018-08-31,2018-09-15,,,254271.24,0
24574,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0003189,GL0004030,2018-09-30,2018-10-15,,,479695.71,0
24570,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0003188,GL0004029,2018-09-30,2018-10-15,,,243543.46,0
24584,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0003190,GL0004031,2018-09-30,2018-10-15,,,3500.00,0
29496,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0003891,GL0004864,2018-10-31,2018-11-15,,,353739.62,0
29492,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0003890,GL0004863,2018-10-31,2018-11-15,,,261115.89,0
51758,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV#10-1432,GL0003258,2018-10-31,,,,0,-254271.24
51760,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#10-1432,GL0003259,2018-10-31,,,,0,-467275.52
47918,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#11-686,GL0004031,2018-11-21,,,,0,-3500.00
47914,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV#11-686,GL0004029,2018-11-21,,,,0,-243543.46
47916,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#11-686,GL0004030,2018-11-21,,,,0,-479695.71
34595,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0004491,GL0005641,2018-11-30,2018-12-15,,,440503.48,0
34591,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0004490,GL0005640,2018-11-30,2018-12-15,,,264115.73,0
39068,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0005081,GL0006400,2018-12-31,2019-01-15,,,358038.98,0
39091,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0005085,GL0006404,2018-12-31,2019-01-15,,,346305.25,0
39127,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0005091,GL0006410,2018-12-31,2019-01-15,,,33956.72,0
44745,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0005727,GL0007335,2019-01-31,2019-02-15,,,429470.55,0
44741,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0005726,GL0007334,2019-01-31,2019-02-15,,,255277.56,0
57787,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV#01-1638,GL0004863,2019-01-31,,,,0,-261115.89
57791,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV#01-1638,GL0005640,2019-01-31,,,,0,-264115.73
57789,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#01-1638,GL0004864,2019-01-31,,,,0,-353739.62
57793,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#01-1638,GL0005641,2019-01-31,,,,0,-440503.48
51548,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0006400,GL0008742,2019-02-28,2019-03-15,,,403837.61,0
51544,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0006399,GL0008741,2019-02-28,2019-03-15,,,235460.51,0
57799,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#03-1725,GL0006410,2019-03-30,,,,0,-33956.72
57801,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV#03-1725,GL0007334,2019-03-30,,,,0,-255277.56
57797,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#03-1725,GL0006404,2019-03-30,,,,0,-346305.25
57795,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV#03-1725,GL0006400,2019-03-30,,,,0,-358038.98
57803,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#03-1725,GL0007335,2019-03-30,,,,0,-429470.55
57386,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0007056,GL0009651,2019-03-31,2019-04-15,,,366928.32,0
57382,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0007055,GL0009650,2019-03-31,2019-04-15,,,280523.11,0
61671,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0007623,GL0010363,2019-04-30,2019-05-15,,,400059.25,0
61667,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0007622,GL0010362,2019-04-30,2019-05-15,,,285304.62,0
67527,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0008331,GL0011292,2019-05-31,2019-06-15,,,463062.49,0
67523,AM-LT000001,CHOWKING,Invoice,Rent Receivables,IC0008330,GL0011291,2019-05-31,2019-06-15,,,339222.45,0
74925,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV# 06-1508,GL0008741,2019-06-08,,,,0,-235460.51
74929,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV# 06-1508,GL0009650,2019-06-08,,,,0,-280523.11
74933,AM-LT000001,CHOWKING,Payment,Rent Receivables,PRJV# 06-1508,GL0010362,2019-06-08,,,,0,-285304.62
