ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
41299,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Cash in Bank (Peso),AR#000445,GL0006616,2017-10-02,,B-008,PNB,45000.00,0
41300,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Security Deposit Payable,AR#000445,GL0006616,2017-10-02,,B-008,PNB,0,-45000.00
17237,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,Rent Receivables,IC0002174,GL0002718,2018-08-31,2018-09-10,,,16050.00,0
17241,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,A/R  Non Trade External,IC0002175,GL0002719,2018-08-31,2018-09-10,,,6320.00,0
17239,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,Creditable WHT Receivable,IC0002174,GL0002718,2018-08-31,2018-09-10,,,750.00,0
17243,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,MI-Charges,IC0002175,GL0002719,2018-08-31,2018-09-10,,,0,-500.00
17242,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,MI-Aircon Charges,IC0002175,GL0002719,2018-08-31,2018-09-10,,,0,-500.00
17244,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,MI-Common Utilities,IC0002175,GL0002719,2018-08-31,2018-09-10,,,0,-1000.00
17238,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,VAT Output,IC0002174,GL0002718,2018-08-31,2018-09-10,,,0,-1800.00
17245,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,MI-Light and Power,IC0002175,GL0002719,2018-08-31,2018-09-10,,,0,-4320.00
17240,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,Rent Income,IC0002174,GL0002718,2018-08-31,2018-09-10,,,0,-15000.00
20834,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Cash in Bank (Peso),PR0005521,GL0002718,2018-09-10,,B-008,PNB - Main,16050.00,0
20836,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Cash in Bank (Peso),PR0005521,GL0002719,2018-09-10,,B-008,PNB - Main,6320.00,0
20837,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,A/R  Non Trade External,PR0005521,GL0002719,2018-09-10,,B-008,PNB - Main,0,-6320.00
20835,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Rent Receivables,PR0005521,GL0002718,2018-09-10,,B-008,PNB - Main,0,-16050.00
23073,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,Rent Receivables,IC0002958,GL0003718,2018-09-30,2018-10-10,,,16050.00,0
23081,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,A/R  Non Trade External,IC0002960,GL0003720,2018-09-30,2018-10-10,,,6920.00,0
23075,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,Creditable WHT Receivable,IC0002958,GL0003718,2018-09-30,2018-10-10,,,750.00,0
23082,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,MI-Aircon Charges,IC0002960,GL0003720,2018-09-30,2018-10-10,,,0,-500.00
23083,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,MI-Charges,IC0002960,GL0003720,2018-09-30,2018-10-10,,,0,-500.00
23084,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,MI-Common Utilities,IC0002960,GL0003720,2018-09-30,2018-10-10,,,0,-1000.00
23074,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,VAT Output,IC0002958,GL0003718,2018-09-30,2018-10-10,,,0,-1800.00
23085,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,MI-Light and Power,IC0002960,GL0003720,2018-09-30,2018-10-10,,,0,-4920.00
23076,AM-LT000017,CHEF JOPHILS FOOD STALL,Invoice,Rent Income,IC0002958,GL0003718,2018-09-30,2018-10-10,,,0,-15000.00
25768,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Cash in Bank (Peso),PR0005592,GL0003718,2018-10-10,,B-008,PNB - Main,16050.00,0
25770,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Cash in Bank (Peso),PR0005592,GL0003720,2018-10-10,,B-008,PNB - Main,6920.00,0
25771,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,A/R  Non Trade External,PR0005592,GL0003720,2018-10-10,,B-008,PNB - Main,0,-6920.00
25769,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Rent Receivables,PR0005592,GL0003718,2018-10-10,,B-008,PNB - Main,0,-16050.00
